id_orgao_cluster;tipo_justica;Atuacao_Vara;Cluster_Novo;Desc_Cluster;Porte_Municipio;Porte_Tribunal;Classificacao_Acervo_2;Classificacao_PIB_per_capita;codtribunal;cod_orgao_julg;Classificacao_cluster;Desc_Cluster_com_duracao
22;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAL;6704;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 134 dias
23;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAL;6710;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 126 dias
24;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4780;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 126 dias
25;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4781;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 140 dias
26;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4782;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 150 dias
27;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4784;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 154 dias
28;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4785;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 122 dias
29;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4786;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 153 dias
30;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4787;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 145 dias
31;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4788;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 146 dias
32;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4789;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 495 dias
33;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4790;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 155 dias
34;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4791;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 142 dias
35;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4792;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 144 dias
36;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4793;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 129 dias
37;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4794;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 137 dias
38;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4795;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 141 dias
39;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4796;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 145 dias
40;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4797;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 144 dias
41;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4798;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 141 dias
42;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4799;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 140 dias
43;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;11738;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 146 dias
44;Estadual;Civel;Cluster 1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita;Medio_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAM;13092;0;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1907 dias
45;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4906;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 137 dias
46;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4907;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 138 dias
47;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJAM;4908;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 150 dias
48;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAM;5060;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1889 dias
49;Estadual;Civel;Cluster 1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita;Medio_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAM;5063;0;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 2234 dias
50;Estadual;Civel;Cluster 1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita;Medio_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAM;5067;0;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 2033 dias
51;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAP;13716;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1537 dias
52;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAP;13718;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1787 dias
53;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAP;6165;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1760 dias
54;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAP;6409;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1681 dias
55;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAP;6410;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1496 dias
56;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAP;6414;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1242 dias
57;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAP;43929;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1597 dias
58;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAP;16268;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1387 dias
59;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAP;16272;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1505 dias
60;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAP;16273;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1225 dias
61;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAP;16276;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1178 dias
62;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAP;43865;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1426 dias
63;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAP;6401;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1419 dias
64;Estadual;Civel;Cluster 6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita;Grande_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJAP;6402;5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de grande porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1291 dias
65;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJBA;17163;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 193 dias
66;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJBA;17166;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1686 dias
67;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJBA;17171;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 826 dias
68;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJBA;17176;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1953 dias
