"codtribunal","cod_orgao_julg"
"TJBA","17201"
"TJBA","17203"
"TJBA","17214"
"TJBA","17215"
"TJBA","17216"
"TJBA","17218"
"TJBA","17219"
"TJBA","17220"
"TJBA","17853"
"TJBA","17854"
"TJBA","17859"
"TJBA","17861"
"TJBA","17862"
"TJBA","17865"
"TJBA","17866"
"TJBA","17867"
"TJBA","17872"
"TJBA","17873"
"TJBA","17874"
"TJBA","17994"
"TJBA","18291"
"TJBA","18375"
"TJBA","18531"
"TJBA","18544"
"TJBA","18553"
"TJBA","18556"
"TJBA","3887"
"TJBA","3899"
"TJBA","3909"
"TJBA","3913"
"TJBA","3934"
"TJBA","3939"
"TJBA","3953"
"TJBA","4086"
"TJBA","4087"
"TJBA","4093"
"TJBA","4105"
"TJBA","4108"
"TJBA","4115"
"TJBA","4119"
"TJBA","4132"
"TJBA","4139"
"TJBA","4145"
"TJBA","4158"
"TJBA","4166"
"TJBA","4174"
"TJBA","4178"
"TJBA","4186"
"TJBA","4226"
"TJBA","4246"
"TJBA","4251"
"TJBA","4279"
"TJBA","4311"
"TJBA","4386"
"TJBA","4388"
"TJBA","4390"
"TJBA","4391"
"TJBA","4393"
"TJBA","4394"
"TJBA","4412"
"TJBA","4415"
"TJBA","4417"
"TJBA","4418"
"TJBA","4420"
"TJBA","4421"
"TJBA","4423"
"TJBA","4435"
"TJBA","4436"
"TJBA","4437"
"TJBA","4461"
"TJBA","4462"
"TJBA","4514"
"TJBA","4515"
"TJBA","4518"
"TJBA","4526"
"TJBA","4527"
"TJBA","4528"
"TJBA","4529"
"TJBA","4531"
"TJBA","4533"
"TJBA","4534"
"TJBA","4542"
"TJBA","4543"
"TJBA","4548"
"TJBA","4549"
"TJBA","4552"
"TJBA","4554"
"TJBA","4557"
"TJBA","4558"
"TJBA","4562"
"TJBA","4564"
"TJBA","4565"
"TJBA","4567"
"TJBA","4568"
"TJBA","4570"
"TJBA","4571"
"TJBA","4575"
"TJBA","4576"
"TJBA","4581"
"TJBA","4584"
"TJBA","4587"
"TJBA","4589"
"TJBA","4592"
"TJBA","4597"
"TJBA","4616"
"TJBA","4624"
"TJBA","4626"
"TJBA","4632"
"TJBA","4633"
"TJBA","4635"
"TJBA","4642"
"TJBA","4654"
"TJBA","4658"
"TJBA","4662"
"TJBA","4678"
"TJBA","4685"
"TJBA","4688"
"TJBA","4693"
"TJBA","4695"
"TJBA","4696"
"TJBA","4698"
"TJBA","4700"
"TJBA","4701"
"TJBA","4702"
"TJBA","4703"
"TJBA","4707"
"TJBA","4713"
"TJBA","4715"
"TJBA","4717"
"TJBA","4718"
"TJBA","4721"
"TJBA","4728"
"TJBA","4732"
"TJBA","4735"
"TJBA","4746"
"TJBA","4750"
"TJBA","4756"
"TJBA","4859"
"TJBA","4860"
"TJBA","4870"
"TJBA","4871"
"TJBA","4872"
"TJBA","4873"
"TJBA","4875"
"TJBA","4876"
"TJBA","4877"
"TJBA","4878"
"TJBA","4879"
"TJBA","4880"
"TJBA","4881"
"TJBA","4882"
"TJBA","4883"
"TJBA","4884"
"TJBA","4888"
"TJBA","4889"
"TJBA","4890"
"TJBA","4892"
"TJBA","4893"
"TJBA","4894"
"TJBA","4895"
"TJBA","4896"
"TJBA","4900"
"TJBA","4904"
"TJBA","4909"
"TJBA","4911"
"TJBA","4916"
"TJBA","4919"
"TJBA","4927"
"TJBA","49562"
"TJBA","49566"
"TJBA","49597"
"TJBA","49614"
"TJBA","49616"
"TJBA","49621"
"TJBA","49622"
"TJBA","49623"
"TJBA","49644"
"TJBA","49645"
"TJBA","49664"
"TJBA","49665"
"TJBA","49687"
"TJBA","49690"
"TJBA","49691"
"TJBA","49696"
"TJBA","49699"
"TJBA","49700"
"TJBA","49701"
"TJBA","49702"
"TJBA","49703"
"TJBA","49704"
"TJBA","49705"
"TJBA","49706"
"TJBA","49709"
"TJBA","49737"
"TJBA","49738"
"TJBA","49739"
"TJBA","49747"
"TJBA","49749"
"TJBA","49750"
"TJBA","49754"
"TJBA","49755"
"TJBA","49756"
"TJBA","49757"
"TJBA","49758"
"TJBA","49760"
"TJBA","49805"
"TJBA","49806"
"TJBA","49816"
"TJBA","49817"
"TJBA","49818"
"TJBA","49819"
"TJBA","49840"
"TJBA","49842"
"TJBA","49853"
"TJBA","49855"
"TJBA","49858"
"TJBA","49860"
"TJBA","49867"
"TJBA","49869"
"TJBA","49895"
"TJBA","49896"
"TJBA","49901"
"TJBA","49920"
"TJBA","49921"
"TJBA","49924"
"TJBA","49935"
"TJBA","49937"
"TJBA","49946"
"TJBA","49953"
"TJBA","49954"
"TJBA","49956"
"TJBA","49958"
"TJBA","49959"
"TJBA","49960"
"TJBA","49961"
"TJBA","49962"
"TJBA","49964"
"TJBA","49965"
"TJBA","49967"
"TJBA","49969"
"TJBA","49970"
"TJBA","49971"
"TJBA","49972"
"TJBA","49973"
"TJBA","49974"
"TJBA","49976"
"TJBA","49977"
"TJBA","49978"
"TJBA","49981"
"TJBA","49982"
"TJBA","49983"
"TJBA","49984"
"TJBA","49985"
"TJBA","49986"
"TJBA","49987"
"TJBA","49988"
"TJBA","50007"
"TJBA","50009"
"TJBA","50017"
"TJBA","50019"
"TJBA","5002"
"TJBA","50023"
"TJBA","50025"
"TJBA","5003"
"TJBA","50033"
"TJBA","50038"
"TJBA","5004"
"TJBA","5005"
"TJBA","5006"
"TJBA","5007"
"TJBA","50076"
"TJBA","50077"
"TJBA","5008"
"TJBA","50081"
"TJBA","50082"
"TJBA","50083"
"TJBA","50084"
"TJBA","5009"
"TJBA","50091"
"TJBA","50092"
"TJBA","50093"
"TJBA","5010"
"TJBA","50103"
"TJBA","5011"
"TJBA","5012"
"TJBA","5013"
"TJBA","5014"
"TJBA","5016"
"TJBA","5019"
"TJBA","5121"
"TJBA","5122"
"TJBA","5123"
"TJBA","51236"
"TJBA","5126"
"TJBA","5127"
"TJBA","5130"
"TJBA","5136"
"TJBA","5137"
"TJBA","5138"
"TJBA","5139"
"TJBA","5140"
"TJBA","5142"
"TJBA","5143"
"TJBA","5144"
"TJBA","5146"
"TJBA","5147"
"TJBA","5150"
"TJBA","5151"
"TJBA","5152"
"TJBA","5167"
"TJBA","5169"
"TJBA","5172"
"TJBA","51758"
"TJBA","5176"
"TJBA","5177"
"TJBA","5180"
"TJBA","5183"
"TJBA","5188"
"TJBA","5191"
"TJBA","5199"
"TJBA","5200"
"TJBA","5205"
"TJBA","5210"
"TJBA","5211"
"TJBA","5214"
"TJBA","5216"
"TJBA","5217"
"TJBA","5218"
"TJBA","5219"
"TJBA","5228"
"TJBA","5229"
"TJBA","5232"
"TJBA","5234"
"TJBA","5235"
"TJBA","5237"
"TJBA","5238"
"TJBA","5239"
"TJBA","5240"
"TJBA","5242"
"TJBA","5244"
"TJBA","5246"
"TJBA","5247"
"TJBA","5248"
"TJBA","5252"
"TJBA","5253"
"TJBA","5254"
"TJBA","5255"
"TJBA","5256"
"TJBA","5257"
"TJBA","5259"
"TJBA","5262"
"TJBA","5264"
"TJBA","5265"
"TJBA","5267"
"TJBA","5269"
"TJBA","5272"
"TJBA","5274"
"TJBA","5275"
"TJBA","5286"
"TJBA","5288"
"TJBA","5290"
"TJBA","5291"
"TJBA","5296"
"TJBA","5298"
"TJBA","5300"
"TJBA","5303"
"TJBA","5305"
"TJBA","5308"
"TJBA","5311"
"TJBA","5312"
"TJBA","5313"
"TJBA","5315"
"TJBA","5316"
"TJBA","5318"
"TJBA","5320"
"TJBA","5329"
"TJBA","5400"
"TJBA","5403"
"TJBA","5405"
"TJBA","5409"
"TJBA","5411"
"TJBA","5443"
"TJBA","5460"
"TJBA","5471"
"TJBA","5474"
"TJBA","5484"
"TJBA","5507"
"TJBA","5510"
"TJBA","5524"
"TJBA","5655"
"TJBA","5666"
"TJBA","5667"
"TJBA","5702"
"TJBA","5712"
"TJBA","6018"
"TJBA","6075"
"TJBA","6080"
"TJBA","6081"
"TJBA","6083"
"TJBA","6084"
"TJBA","6087"
"TJBA","6095"
"TJBA","6098"
"TJBA","6101"
"TJBA","6102"
"TJBA","6104"
"TJBA","6106"
"TJBA","6115"
"TJBA","6117"
"TJBA","6123"
"TJBA","6124"
"TJBA","6192"
"TJBA","6205"
"TJBA","6207"
"TJBA","6305"
"TJBA","6321"
"TJBA","6323"
"TJBA","6324"
"TJBA","6326"
"TJBA","6327"
"TJBA","6350"
"TJBA","6352"
"TJBA","6355"
"TJBA","6395"
"TJBA","6418"
"TJBA","6420"
"TJBA","6433"
"TJBA","6445"
"TJBA","6447"
"TJBA","6450"
"TJBA","6451"
"TJBA","6453"
"TJBA","6459"
"TJBA","6461"
"TJBA","6463"
"TJBA","6482"
"TJBA","6483"
"TJBA","6486"
"TJBA","6487"
"TJBA","6488"
"TJBA","6489"
"TJBA","6510"
"TJBA","6512"
"TJBA","6513"
"TJBA","6516"
"TJBA","6518"
"TJBA","6520"
"TJBA","6521"
"TJBA","6522"
"TJBA","6523"
"TJBA","6525"
"TJBA","6526"
"TJBA","6529"
"TJBA","6532"
"TJBA","6923"
"TJBA","70846"
"TJBA","72314"
"TJBA","72321"
"TJBA","72322"
"TJBA","72842"
"TJBA","72843"
"TJBA","72844"
"TJBA","72845"
"TJBA","72846"
"TJBA","72847"
"TJBA","72849"
"TJBA","72850"
"TJBA","76525"
"TJBA","76526"
"TJBA","77259"
"TJBA","77841"
"TJBA","77842"
"TJBA","78094"
"TJBA","7826"
"TJBA","7832"
"TJBA","7833"
"TJBA","7835"
"TJBA","7836"
"TJBA","7839"
"TJBA","7841"
"TJBA","7843"
"TJBA","7844"
"TJBA","7845"
"TJBA","7849"
"TJBA","7851"
"TJBA","7853"
"TJBA","7855"
"TJBA","7858"
"TJBA","7862"
"TJBA","7865"
"TJBA","7919"
"TJBA","7922"
"TJBA","7925"
"TJBA","7929"
"TJBA","7937"
"TJBA","79437"
"TJBA","79438"
"TJBA","79439"
"TJBA","79440"
"TJBA","79489"
"TJBA","79777"
"TJBA","79778"
"TJBA","79788"
"TJBA","79822"
"TJBA","79976"
"TJBA","80152"
"TJBA","80387"
"TJBA","81018"
"TJBA","81026"
"TJBA","81089"
"TJBA","81115"
"TJBA","81125"
"TJBA","81147"
"TJBA","81150"
"TJBA","81156"
"TJBA","81246"
"TJBA","81261"
"TJBA","81564"
"TJBA","8225"
"TJBA","8226"
"TJBA","8227"
"TJBA","8228"
"TJBA","8229"
"TJCE","10797"
"TJCE","10952"
"TJCE","10954"
"TJCE","10965"
"TJCE","10969"
"TJCE","10978"
"TJCE","10980"
"TJCE","10992"
"TJCE","10999"
"TJCE","11004"
"TJCE","11008"
"TJCE","11011"
"TJCE","11047"
"TJCE","11368"
"TJCE","12916"
"TJCE","13126"
"TJCE","13402"
"TJCE","13598"
"TJCE","13944"
"TJCE","13945"
"TJCE","13963"
"TJCE","13964"
"TJCE","13972"
"TJCE","13973"
"TJCE","13974"
"TJCE","13975"
"TJCE","13976"
"TJCE","13977"
"TJCE","14080"
"TJCE","14081"
"TJCE","14096"
"TJCE","14169"
"TJCE","14170"
"TJCE","14320"
"TJCE","14329"
"TJCE","14330"
"TJCE","14331"
"TJCE","14332"
"TJCE","14334"
"TJCE","14589"
"TJCE","15652"
"TJCE","16179"
"TJCE","16188"
"TJCE","16248"
"TJCE","16251"
"TJCE","16252"
"TJCE","16474"
"TJCE","16505"
"TJCE","16594"
"TJCE","16598"
"TJCE","16954"
"TJCE","16955"
"TJCE","16956"
"TJCE","16957"
"TJCE","16958"
"TJCE","16992"
"TJCE","17222"
"TJCE","17224"
"TJCE","17225"
"TJCE","17226"
"TJCE","17227"
"TJCE","17232"
"TJCE","17233"
"TJCE","17234"
"TJCE","17237"
"TJCE","17843"
"TJCE","17844"
"TJCE","17845"
"TJCE","17846"
"TJCE","18252"
"TJCE","18253"
"TJCE","18254"
"TJCE","18256"
"TJCE","18261"
"TJCE","18262"
"TJCE","18263"
"TJCE","18264"
"TJCE","18272"
"TJCE","18334"
"TJCE","50864"
"TJCE","50865"
"TJCE","50867"
"TJCE","50868"
"TJCE","50913"
"TJCE","50914"
"TJCE","50915"
"TJCE","50916"
"TJCE","50917"
"TJCE","50918"
"TJCE","50919"
"TJCE","50920"
"TJCE","50921"
"TJCE","50922"
"TJCE","50923"
"TJCE","50925"
"TJCE","50926"
"TJCE","50928"
"TJCE","50934"
"TJCE","50935"
"TJCE","72207"
"TJCE","72208"
"TJCE","74075"
"TJCE","74076"
"TJCE","74077"
"TJCE","78385"
"TJCE","78387"
"TJCE","78390"
"TJCE","78391"
"TJCE","78392"
"TJCE","78394"
"TJCE","78395"
"TJCE","78396"
"TJCE","78397"
"TJCE","78398"
"TJCE","78399"
"TJCE","78400"
"TJCE","78403"
"TJCE","78404"
"TJCE","78405"
"TJCE","78409"
"TJCE","78410"
"TJCE","78413"
"TJCE","78414"
"TJCE","78423"
"TJCE","78605"
"TJCE","79734"
"TJCE","79735"
"TJCE","79736"
"TJCE","79737"
"TJCE","79738"
"TJCE","79739"
"TJCE","79740"
"TJCE","79741"
"TJCE","79742"
"TJCE","79743"
"TJCE","79744"
"TJCE","79745"
"TJCE","79746"
"TJCE","79747"
"TJCE","79748"
"TJCE","79749"
"TJCE","79750"
"TJCE","79751"
"TJCE","79752"
"TJCE","79753"
"TJCE","79756"
"TJCE","79757"
"TJCE","79758"
"TJCE","79759"
"TJCE","79761"
"TJCE","79762"
"TJCE","79765"
"TJCE","79767"
"TJCE","79768"
"TJCE","79769"
"TJCE","79770"
"TJCE","79771"
"TJCE","81560"
"TJCE","81593"
"TJCE","81594"
"TJCE","81595"
"TJCE","81596"
"TJCE","81597"
"TJCE","81598"
"TJCE","81599"
"TJCE","81737"
"TJCE","8326"
"TJCE","8346"
"TJCE","8347"
"TJCE","8348"
"TJCE","8350"
"TJCE","8352"
"TJCE","8353"
"TJCE","8354"
"TJCE","8356"
"TJCE","8360"
"TJCE","8363"
"TJCE","8369"
"TJCE","8381"
"TJCE","8383"
"TJCE","8386"
"TJCE","8389"
"TJCE","8390"
"TJCE","8392"
"TJCE","8393"
"TJCE","8394"
"TJCE","8395"
"TJCE","8396"
"TJCE","8397"
"TJCE","8399"
"TJCE","8400"
"TJCE","8401"
"TJCE","8402"
"TJCE","8403"
"TJCE","8405"
"TJCE","8407"
"TJCE","8408"
"TJCE","8409"
"TJCE","8410"
"TJCE","8411"
"TJCE","8412"
"TJCE","8413"
"TJCE","8414"
"TJCE","8415"
"TJCE","8416"
"TJCE","8418"
"TJCE","8419"
"TJCE","8420"
"TJCE","8421"
"TJCE","8422"
"TJCE","8424"
"TJCE","8426"
"TJCE","8427"
"TJCE","8429"
"TJCE","8430"
"TJCE","8431"
"TJCE","8435"
"TJCE","8436"
"TJCE","8437"
"TJCE","8439"
"TJCE","8440"
"TJCE","8441"
"TJCE","8442"
"TJCE","8443"
"TJCE","8444"
"TJCE","8445"
"TJCE","8446"
"TJCE","8448"
"TJCE","8449"
"TJCE","8450"
"TJCE","8451"
"TJCE","8452"
"TJCE","8453"
"TJCE","8454"
"TJCE","8455"
"TJCE","8456"
"TJCE","8458"
"TJCE","8459"
"TJCE","8462"
"TJCE","8463"
"TJCE","8464"
"TJCE","8465"
"TJCE","8467"
"TJCE","8469"
"TJCE","8471"
"TJCE","8472"
"TJCE","8473"
"TJCE","8474"
"TJCE","8475"
"TJCE","8476"
"TJCE","8477"
"TJCE","8479"
"TJCE","8482"
"TJCE","8483"
"TJCE","8484"
"TJCE","8486"
"TJCE","8487"
"TJCE","8488"
"TJCE","8490"
"TJCE","8491"
"TJCE","8492"
"TJCE","8493"
"TJCE","8494"
"TJCE","8495"
"TJCE","8496"
"TJCE","8497"
"TJCE","8499"
"TJCE","8501"
"TJCE","8502"
"TJCE","8503"
"TJCE","8504"
"TJCE","8505"
"TJCE","8509"
"TJCE","8511"
"TJCE","8512"
"TJCE","8513"
"TJCE","8516"
"TJCE","8518"
"TJCE","8519"
"TJCE","8520"
"TJCE","8524"
"TJCE","8525"
"TJCE","8526"
"TJCE","8530"
"TJCE","8531"
"TJCE","8532"
"TJCE","8533"
"TJCE","8534"
"TJCE","8535"
"TJCE","8536"
"TJCE","8537"
"TJCE","8538"
"TJCE","8539"
"TJCE","8540"
"TJCE","8541"
"TJCE","8542"
"TJCE","8543"
"TJCE","8544"
"TJCE","8545"
"TJCE","8546"
"TJCE","8547"
"TJCE","8548"
"TJCE","8549"
"TJCE","8550"
"TJCE","8551"
"TJCE","8553"
"TJCE","8554"
"TJCE","8555"
"TJCE","8556"
"TJCE","8558"
"TJCE","8559"
"TJCE","8561"
"TJCE","8562"
"TJCE","8564"
"TJCE","8566"
"TJCE","8568"
"TJCE","8569"
"TJCE","8571"
"TJCE","8574"
"TJCE","8575"
"TJCE","8576"
"TJCE","8578"
"TJCE","8580"
"TJCE","8581"
"TJCE","8583"
"TJCE","8585"
"TJCE","8586"
"TJCE","8589"
"TJCE","8590"
"TJCE","8593"
"TJCE","8596"
"TJCE","8600"
"TJCE","8601"
"TJCE","8605"
"TJCE","8606"
"TJCE","8608"
"TJCE","8610"
"TJCE","8612"
"TJCE","8614"
"TJCE","8615"
"TJCE","8616"
"TJCE","8619"
"TJCE","8620"
"TJCE","8622"
"TJCE","8623"
"TJCE","8624"
"TJCE","8625"
"TJCE","8626"
"TJCE","8627"
"TJCE","8628"
"TJCE","8631"
"TJCE","8632"
"TJCE","8633"
"TJCE","8634"
"TJCE","8639"
"TJCE","8640"
"TJCE","8641"
"TJCE","8642"
"TJCE","8644"
"TJCE","8645"
"TJCE","8647"
"TJCE","8648"
"TJCE","8650"
"TJCE","8652"
"TJCE","8656"
"TJCE","8657"
"TJCE","8660"
"TJCE","8661"
"TJCE","8662"
"TJCE","8664"
"TJCE","8666"
"TJCE","8668"
"TJCE","8669"
"TJCE","8670"
"TJCE","8671"
"TJCE","8675"
"TJCE","8676"
"TJCE","8677"
"TJCE","8680"
"TJCE","8681"
"TJCE","8682"
"TJCE","8684"
"TJCE","8686"
"TJCE","8688"
"TJCE","8689"
"TJCE","8693"
"TJCE","8694"
"TJCE","8698"
"TJCE","8700"
"TJCE","8703"
"TJCE","8707"
"TJCE","8710"
"TJCE","8712"
"TJCE","8713"
"TJCE","8714"
"TJCE","8716"
"TJCE","8717"
"TJCE","8720"
"TJCE","8721"
"TJCE","8722"
"TJCE","8723"
"TJCE","8724"
"TJCE","8725"
"TJCE","8726"
"TJCE","8727"
"TJCE","8729"
"TJCE","8730"
"TJCE","8731"
"TJCE","8732"
"TJCE","8733"
"TJCE","8734"
"TJCE","8735"
"TJCE","8737"
"TJCE","8738"
"TJCE","8739"
"TJCE","8740"
"TJCE","8741"
"TJCE","8742"
"TJCE","8743"
"TJCE","8744"
"TJCE","8745"
