codtribunal;grau;cod_orgao_julg;tipo_justica;descricao;uf;Porte_Municipio;PIB_percapita;tipo_processo;Porte_Tribunal;Atuacao_Vara;Classificacao_Acervo_2;Median(numero_dias);Count*(npu);Sum(numero_dias)
TJAC;G1;3633;Estadual;ª VARA DA FAZENDA PÚBLICA;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Fazenda;Acervo Grande;239;103;54583
TJAC;G1;3633;Estadual;ª VARA DA FAZENDA PÚBLICA;AC;Grande;1.254.230.957.031;Execução Fiscal;PEQUENO;Fazenda;Acervo Grande;485;218;203371
TJAC;G1;3633;Estadual;ª VARA DA FAZENDA PÚBLICA;AC;Grande;1.254.230.957.031;Fazenda;PEQUENO;Fazenda;Acervo Grande;1231;18;23399
TJAC;G1;3636;Estadual;VARA DE REGISTROS PÚBLICOS, Órfãos e Sucessões e de Cartas Precatórias Cíveis;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Geral;Acervo Grande;66;99;12666
TJAC;G1;3636;Estadual;VARA DE REGISTROS PÚBLICOS, Órfãos e Sucessões e de Cartas Precatórias Cíveis;AC;Grande;1.254.230.957.031;Família;PEQUENO;Geral;Acervo Grande;180;88;15908
TJAC;G1;3638;Estadual;ª VARA DO TRIBUNAL DO JÚRI;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;598;67;55891
TJAC;G1;3639;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Civel Pura;Acervo Grande;2443;1;2443
TJAC;G1;6379;Estadual;VARA DE PROTEÇÃO A MULHER;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;1055;75;72432
TJAC;G1;74300;Estadual;VARA DE PROTEÇÃO À MULHER E EXECUÇÕES PENAIS;AC;M�dio;888.719.042.969;Criminal;PEQUENO;Criminal Pura;Acervo Grande;111;13;11524
TJAC;G1;74302;Estadual;VARA ÚNICA;AC;Pequeno;1.092.091.015.625;Civel;PEQUENO;Geral;Acervo Grande;62;16;1084
TJAC;G1;74302;Estadual;VARA ÚNICA;AC;Pequeno;1.092.091.015.625;Criminal;PEQUENO;Geral;Acervo Grande;29;17;561
TJAC;G1;79521;Estadual;Vara de Roubos e Extorsão;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;11;12;274
TJAC;G1;8148;Estadual;VARA ÚNICA;AC;Pequeno;699.166.015.625;Civel;PEQUENO;Geral;Acervo Grande;50;13;2606
TJAC;G1;8148;Estadual;VARA ÚNICA;AC;Pequeno;699.166.015.625;Criminal;PEQUENO;Geral;Acervo Grande;94;19;14619
TJAC;G1;8148;Estadual;VARA ÚNICA;AC;Pequeno;699.166.015.625;Execução Fiscal;PEQUENO;Geral;Acervo Grande;1940;1;1940
TJAC;G1;8149;Estadual;VARA ÚNICA;AC;Pequeno;1.234.540.039.062;Civel;PEQUENO;Geral;Acervo Grande;468;43;32825
TJAC;G1;8149;Estadual;VARA ÚNICA;AC;Pequeno;1.234.540.039.062;Criminal;PEQUENO;Geral;Acervo Grande;59;65;23763
TJAC;G1;8149;Estadual;VARA ÚNICA;AC;Pequeno;1.234.540.039.062;Execução Fiscal;PEQUENO;Geral;Acervo Grande;2828;18;43461
TJAC;G1;8149;Estadual;VARA ÚNICA;AC;Pequeno;1.234.540.039.062;Família;PEQUENO;Geral;Acervo Grande;166;3;456
TJAC;G1;8150;Estadual;VARA ÚNICA;AC;Pequeno;1.309.924.023.438;Civel;PEQUENO;Geral;Acervo Grande;53;18;7772
TJAC;G1;8150;Estadual;VARA ÚNICA;AC;Pequeno;1.309.924.023.438;Criminal;PEQUENO;Geral;Acervo Grande;120;17;14062
TJAC;G1;8150;Estadual;VARA ÚNICA;AC;Pequeno;1.309.924.023.438;Família;PEQUENO;Geral;Acervo Grande;63;1;63
TJAC;G1;8151;Estadual;VARA ÚNICA;AC;Pequeno;958.895.996.094;Civel;PEQUENO;Geral;Acervo Grande;120;36;19965
TJAC;G1;8151;Estadual;VARA ÚNICA;AC;Pequeno;958.895.996.094;Criminal;PEQUENO;Geral;Acervo Grande;66;30;16481
TJAC;G1;8151;Estadual;VARA ÚNICA;AC;Pequeno;958.895.996.094;Execução Fiscal;PEQUENO;Geral;Acervo Grande;977;8;9101
TJAC;G1;8151;Estadual;VARA ÚNICA;AC;Pequeno;958.895.996.094;Família;PEQUENO;Geral;Acervo Grande;313;7;2482
TJAC;G1;8151;Estadual;VARA ÚNICA;AC;Pequeno;958.895.996.094;Fazenda;PEQUENO;Geral;Acervo Grande;1851;4;7414
TJAC;G1;8152;Estadual;VARA ÚNICA;AC;Pequeno;819.170.019.531;Criminal;PEQUENO;Geral;Acervo Grande;80;8;9834
TJAC;G1;8152;Estadual;VARA ÚNICA;AC;Pequeno;819.170.019.531;Execução Fiscal;PEQUENO;Geral;Acervo Grande;1801;4;7589
TJAC;G1;8152;Estadual;VARA ÚNICA;AC;Pequeno;819.170.019.531;Sucessões;PEQUENO;Geral;Acervo Grande;66;1;66
TJAC;G1;8153;Estadual;VARA CÍVEL;AC;M�dio;741.814.990.234;Civel;PEQUENO;Civel Pura;Acervo Grande;2150;28;50789
TJAC;G1;8153;Estadual;VARA CÍVEL;AC;M�dio;741.814.990.234;Execução Fiscal;PEQUENO;Civel Pura;Acervo Grande;2619;11;27209
TJAC;G1;8153;Estadual;VARA CÍVEL;AC;M�dio;741.814.990.234;Família;PEQUENO;Civel Pura;Acervo Grande;1855;5;9848
TJAC;G1;8153;Estadual;VARA CÍVEL;AC;M�dio;741.814.990.234;Fazenda;PEQUENO;Civel Pura;Acervo Grande;1795;30;55041
TJAC;G1;8154;Estadual;VARA CRIMINAL;AC;M�dio;741.814.990.234;Criminal;PEQUENO;Criminal Pura;Acervo Grande;67;52;40867
TJAC;G1;8155;Estadual;VARA CÍVEL;AC;M�dio;762.933.984.375;Civel;PEQUENO;Civel Pura;Acervo Grande;2193;39;79476
TJAC;G1;8155;Estadual;VARA CÍVEL;AC;M�dio;762.933.984.375;Execução Fiscal;PEQUENO;Civel Pura;Acervo Grande;2565;6;14075
TJAC;G1;8155;Estadual;VARA CÍVEL;AC;M�dio;762.933.984.375;Família;PEQUENO;Civel Pura;Acervo Grande;46;2;2523
TJAC;G1;8156;Estadual;VARA CRIMINAL;AC;M�dio;762.933.984.375;Criminal;PEQUENO;Criminal Pura;Acervo Grande;88;32;24840
TJAC;G1;81694;Estadual; 2ª Vara Criminal;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;70;92;53796
TJAC;G2;33548;Estadual;CÂMARA CRIMINAL;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;79;520;120888
TJAC;G2;33549;Estadual;ª CÂMARA CÍVEL;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Civel Pura;Acervo Grande;278;168;87043
TJAC;G2;33550;Estadual;ª CÂMARA CÍVEL;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Civel Pura;Acervo Grande;104;48;5358
TJAC;G2;33550;Estadual;ª CÂMARA CÍVEL;AC;Grande;1.254.230.957.031;Família;PEQUENO;Civel Pura;Acervo Grande;59;1;59
TJAC;G2;33563;Estadual;TRIBUNAL PLENO JURISDICIONAL;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Geral;Acervo Grande;145;26;7071
TJAC;G2;33563;Estadual;TRIBUNAL PLENO JURISDICIONAL;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Geral;Acervo Grande;354;10;4462
TJAC;G2;33563;Estadual;TRIBUNAL PLENO JURISDICIONAL;AC;Grande;1.254.230.957.031;Fazenda;PEQUENO;Geral;Acervo Grande;526;2;2047
TJAC;G2;33563;Estadual;TRIBUNAL PLENO JURISDICIONAL;AC;Grande;1.254.230.957.031;STF;PEQUENO;Geral;Acervo Grande;109;1;109
TJAC;G2;74296;Estadual;Gabinete da Vice-Presidência;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;141;6;829
TJAC;JE;11674;Estadual;VARA CÍVEL;AC;Pequeno;963.433.984.375;Civel;PEQUENO;Civel Pura;Acervo Grande;193;79;19414
TJAC;JE;11674;Estadual;VARA CÍVEL;AC;Pequeno;963.433.984.375;Juizados Especiais Cíveis;PEQUENO;Civel Pura;Acervo Grande;93;177;25898
TJAC;JE;16317;Estadual;VARA ÚNICA;AC;Pequeno;853.891.015.625;Civel;PEQUENO;Geral;Acervo Grande;73;1;73
TJAC;JE;16426;Estadual;ª VARA DO TRIBUNAL DO JÚRI E AUDITORIA MILITAR;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Médio;51;9;488
TJAC;JE;17049;Estadual;VARA ÚNICA;AC;Pequeno;9114.25;Civel;PEQUENO;Geral;Acervo Grande;109;113;14638
TJAC;JE;17049;Estadual;VARA ÚNICA;AC;Pequeno;9114.25;Criminal;PEQUENO;Geral;Acervo Grande;154;38;8614
TJAC;JE;17049;Estadual;VARA ÚNICA;AC;Pequeno;9114.25;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;22;104;6359
TJAC;JE;17050;Estadual;VARA ÚNICA;AC;Pequeno;1.120.979.003.906;Civel;PEQUENO;Geral;Acervo Grande;90;15;2237
TJAC;JE;17050;Estadual;VARA ÚNICA;AC;Pequeno;1.120.979.003.906;Criminal;PEQUENO;Geral;Acervo Grande;92;49;9536
TJAC;JE;17050;Estadual;VARA ÚNICA;AC;Pequeno;1.120.979.003.906;Fazenda;PEQUENO;Geral;Acervo Grande;455;10;4993
TJAC;JE;17050;Estadual;VARA ÚNICA;AC;Pequeno;1.120.979.003.906;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;22;141;8357
TJAC;JE;17053;Estadual;JUIZADO ESPECIAL DA FAZENDA PÚBLICA;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Juizados civeis;Acervo Grande;117;9;1128
TJAC;JE;17053;Estadual;JUIZADO ESPECIAL DA FAZENDA PÚBLICA;AC;Grande;1.254.230.957.031;Juizados Especiais Cíveis;PEQUENO;Juizados civeis;Acervo Grande;69;181;13433
TJAC;JE;17054;Estadual;VARA ÚNICA;AC;Pequeno;996.500.976.562;Civel;PEQUENO;Geral;Acervo Grande;131;77;16266
TJAC;JE;17054;Estadual;VARA ÚNICA;AC;Pequeno;996.500.976.562;Criminal;PEQUENO;Geral;Acervo Grande;215;69;26720
TJAC;JE;17054;Estadual;VARA ÚNICA;AC;Pequeno;996.500.976.562;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;84;50;5428
TJAC;JE;3588;Estadual;VARA CRIMINAL;AC;Pequeno;963.433.984.375;Criminal;PEQUENO;Criminal Pura;Acervo Grande;54;87;9861
TJAC;JE;3604;Estadual;VARA CÍVEL;AC;Pequeno;1.102.471.972.656;Civel;PEQUENO;Civel Pura;Acervo Grande;176;50;14554
TJAC;JE;3604;Estadual;VARA CÍVEL;AC;Pequeno;1.102.471.972.656;Juizados Especiais Cíveis;PEQUENO;Civel Pura;Acervo Grande;98;82;26131
TJAC;JE;3605;Estadual;VARA CRIMINAL;AC;Pequeno;1.102.471.972.656;Criminal;PEQUENO;Criminal Pura;Acervo Grande;555;47;34669
TJAC;JE;3608;Estadual;VARA CÍVEL;AC;M�dio;1.027.362.988.281;Civel;PEQUENO;Civel Pura;Acervo Grande;355;193;86523
TJAC;JE;3608;Estadual;VARA CÍVEL;AC;M�dio;1.027.362.988.281;Fazenda;PEQUENO;Civel Pura;Acervo Grande;82;9;1327
TJAC;JE;3608;Estadual;VARA CÍVEL;AC;M�dio;1.027.362.988.281;Juizados Especiais Cíveis;PEQUENO;Civel Pura;Acervo Grande;158;111;31984
TJAC;JE;3609;Estadual;VARA CRIMINAL;AC;M�dio;1.027.362.988.281;Criminal;PEQUENO;Criminal Pura;Acervo Grande;171;76;24665
TJAC;JE;3614;Estadual;ª VARA CRIMINAL;AC;M�dio;888.719.042.969;Criminal;PEQUENO;Criminal Pura;Acervo Grande;78;114;34719
TJAC;JE;3616;Estadual;JUIZADO ESPECIAL CÍVEL E DE FAZENDA PÚBLICA;AC;M�dio;888.719.042.969;Civel;PEQUENO;Fazenda;Acervo Grande;78;46;24529
TJAC;JE;3616;Estadual;JUIZADO ESPECIAL CÍVEL E DE FAZENDA PÚBLICA;AC;M�dio;888.719.042.969;Fazenda;PEQUENO;Fazenda;Acervo Grande;1201;8;10093
TJAC;JE;3616;Estadual;JUIZADO ESPECIAL CÍVEL E DE FAZENDA PÚBLICA;AC;M�dio;888.719.042.969;Juizados Especiais Cíveis;PEQUENO;Fazenda;Acervo Grande;112;56;14064
TJAC;JE;3639;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Civel Pura;Acervo Grande;162;1170;338734
TJAC;JE;3639;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande;1.254.230.957.031;Juizados Especiais Cíveis;PEQUENO;Civel Pura;Acervo Grande;99;868;130505
TJAC;JE;3641;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Civel Pura;Acervo Grande;280;1146;408157
TJAC;JE;3641;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande;1.254.230.957.031;Juizados Especiais Cíveis;PEQUENO;Civel Pura;Acervo Grande;265;492;140955
TJAC;JE;3642;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande;1.254.230.957.031;Civel;PEQUENO;Civel Pura;Acervo Grande;207;1319;500223
TJAC;JE;3642;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande;1.254.230.957.031;Juizados Especiais Cíveis;PEQUENO;Civel Pura;Acervo Grande;217;629;160876
TJAC;JE;3644;Estadual;º JUIZADO ESPECIAL CRIMINAL;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;46;606;69691
TJAC;JE;3645;Estadual;º JUIZADO ESPECIAL CRIMINAL;AC;Grande;1.254.230.957.031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;85;585;104804
TJAC;JE;74302;Estadual;VARA ÚNICA;AC;Pequeno;1.092.091.015.625;Civel;PEQUENO;Geral;Acervo Grande;149;1;149
TJAC;JE;8148;Estadual;VARA ÚNICA;AC;Pequeno;699.166.015.625;Civel;PEQUENO;Geral;Acervo Grande;876;14;10719
TJAC;JE;8148;Estadual;VARA ÚNICA;AC;Pequeno;699.166.015.625;Criminal;PEQUENO;Geral;Acervo Grande;931;25;27344
TJAC;JE;8148;Estadual;VARA ÚNICA;AC;Pequeno;699.166.015.625;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;467;41;19962
TJAC;JE;8149;Estadual;VARA ÚNICA;AC;Pequeno;1.234.540.039.062;Civel;PEQUENO;Geral;Acervo Grande;72;26;3911
TJAC;JE;8149;Estadual;VARA ÚNICA;AC;Pequeno;1.234.540.039.062;Criminal;PEQUENO;Geral;Acervo Grande;221;19;8652
TJAC;JE;8149;Estadual;VARA ÚNICA;AC;Pequeno;1.234.540.039.062;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;55;56;7577
TJAC;JE;8150;Estadual;VARA ÚNICA;AC;Pequeno;1.309.924.023.438;Civel;PEQUENO;Geral;Acervo Grande;217;181;58615
TJAC;JE;8150;Estadual;VARA ÚNICA;AC;Pequeno;1.309.924.023.438;Criminal;PEQUENO;Geral;Acervo Grande;160;20;10420
TJAC;JE;8150;Estadual;VARA ÚNICA;AC;Pequeno;1.309.924.023.438;Fazenda;PEQUENO;Geral;Acervo Grande;194;1;194
TJAC;JE;8150;Estadual;VARA ÚNICA;AC;Pequeno;1.309.924.023.438;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;106;55;13998
TJAC;JE;8151;Estadual;VARA ÚNICA;AC;Pequeno;958.895.996.094;Civel;PEQUENO;Geral;Acervo Grande;507;25;12084
TJAC;JE;8151;Estadual;VARA ÚNICA;AC;Pequeno;958.895.996.094;Criminal;PEQUENO;Geral;Acervo Grande;544;23;13854
TJAC;JE;8151;Estadual;VARA ÚNICA;AC;Pequeno;958.895.996.094;Fazenda;PEQUENO;Geral;Acervo Grande;420;1;420
TJAC;JE;8151;Estadual;VARA ÚNICA;AC;Pequeno;958.895.996.094;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;188;29;7036
TJAC;JE;8152;Estadual;VARA ÚNICA;AC;Pequeno;819.170.019.531;Civel;PEQUENO;Geral;Acervo Grande;365;30;15436
TJAC;JE;8152;Estadual;VARA ÚNICA;AC;Pequeno;819.170.019.531;Criminal;PEQUENO;Geral;Acervo Grande;357;66;33629
TJAC;JE;8152;Estadual;VARA ÚNICA;AC;Pequeno;819.170.019.531;Fazenda;PEQUENO;Geral;Acervo Grande;1729;1;1729
TJAC;JE;8152;Estadual;VARA ÚNICA;AC;Pequeno;819.170.019.531;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;415;32;11756
TJAC;JE;8153;Estadual;VARA CÍVEL;AC;M�dio;741.814.990.234;Civel;PEQUENO;Civel Pura;Acervo Grande;157;232;710464
TJAC;JE;8153;Estadual;VARA CÍVEL;AC;M�dio;741.814.990.234;Juizados Especiais Cíveis;PEQUENO;Civel Pura;Acervo Grande;87;267;33776
TJAC;JE;8154;Estadual;VARA CRIMINAL;AC;M�dio;741.814.990.234;Criminal;PEQUENO;Criminal Pura;Acervo Grande;98;127;27050
TJAC;JE;8155;Estadual;VARA CÍVEL;AC;M�dio;762.933.984.375;Civel;PEQUENO;Civel Pura;Acervo Grande;302;140;56035
TJAC;JE;8155;Estadual;VARA CÍVEL;AC;M�dio;762.933.984.375;Fazenda;PEQUENO;Civel Pura;Acervo Grande;463;4;3782
