codtribunal;cod_orgao_julg;Classificacao_cluster
TJPA;6473;7
TJPA;6473;7
TJPA;6473;7
TJPA;6473;7
TJPA;6473;7
TJPA;6476;1
TJPA;6476;1
TJPA;6822;4
TJPA;6822;4
TJPA;6829;1
TJPA;6829;1
TJPA;6830;1
TJPA;6830;1
TJPA;6865;0
TJPA;6865;0
TJPA;6872;0
TJPA;6872;0
TJPA;6872;0
TJPA;6872;0
TJPA;6934;4
TJPA;6941;0
TJPA;6947;7
TJPA;6947;7
TJPA;6972;2
TJPA;6972;2
TJPA;6977;2
TJPA;7006;2
TJPA;7006;2
TJPA;7006;2
TJPA;7051;1
TJPA;7051;1
TJPA;72025;2
TJPA;72025;2
TJPA;72025;2
TJPA;72025;2
TJPA;7784;1
TJPA;7784;1
TJPA;7887;4
TJPA;7887;4
TJPA;81607;1
TJPA;81607;1
TJPA;81666;1
TJPA;23043;2
TJPA;23044;2
TJPA;23044;2
TJPA;23054;2
TJPA;13710;1
TJPA;17355;1
TJPA;23114;1
TJPA;23114;1
TJPA;23117;7
TJPA;3207;1
TJPA;3207;1
TJPA;3211;1
TJPA;3211;1
TJPA;3217;1
TJPA;3217;1
TJPA;3222;1
TJPA;3222;1
TJPA;3226;1
TJPA;3226;1
TJPA;3230;1
TJPA;3230;1
TJPA;3247;1
TJPA;3247;1
TJPA;3250;1
TJPA;3252;1
TJPA;3252;1
TJPA;3255;1
TJPA;3255;1
TJPA;3257;2
TJPA;3257;2
TJPA;3261;1
TJPA;3261;1
TJPA;3263;1
TJPA;3263;1
TJPA;3268;1
TJPA;3268;1
TJPA;3277;1
TJPA;3277;1
TJPA;7051;1
TJPA;7051;1
TJPA;81565;2
TJPA;81565;2
TJPA;8305;1
TJPA;8305;1
TJPA;8312;7
TJPA;8314;1
TJPA;8315;1
TJPA;8315;1
TJPA;23111;1
TJPB;16324;0
TJPB;16509;5
TJPB;21759;0
TJPB;4513;5
TJPB;5365;5
TJPB;5369;5
TJPB;5371;5
TJPB;5375;5
TJPB;5377;5
TJPB;5392;5
TJPB;5395;5
TJPB;5546;5
TJPB;5549;5
TJPB;5559;5
TJPB;5688;5
TJPB;6006;5
TJPB;6040;0
TJPB;6052;0
TJPB;6878;5
TJPB;7374;5
TJPB;7382;5
TJPB;7391;5
TJPB;7392;5
TJPB;7401;5
TJPB;7756;5
TJPB;21898;5
TJPB;21901;5
TJPB;21902;5
TJPB;21905;5
TJPB;21906;5
TJPB;21906;5
TJPB;21907;5
TJPB;21910;5
TJPB;21911;5
TJPB;21913;5
TJPB;21914;5
TJPB;21916;5
TJPB;16297;5
TJPB;16322;5
TJPB;16322;5
TJPB;16322;5
TJPB;18315;5
TJPB;5674;5
TJPB;5684;5
TJPB;5684;5
TJPB;5688;5
TJPB;5688;5
TJPB;5688;5
TJPB;6043;0
TJPB;6043;0
TJPB;6057;0
TJPB;6057;0
TJPB;6130;0
TJPB;6149;0
TJPB;6149;0
TJPB;6149;0
TJPB;6168;5
TJPB;6168;5
TJPB;6168;5
TJPB;6169;5
TJPB;6169;5
TJPB;6884;5
TJPB;6884;5
TJPB;7342;0
TJPB;7342;0
TJPB;7464;5
TJPB;7467;5
TJPB;7467;5
TJPB;74670;5
TJPB;74670;5
TJPE;17371;2
TJPE;17372;2
TJPE;17374;7
TJPE;17374;7
TJPE;17396;1
TJPE;18017;2
TJPE;18024;2
TJPE;18030;2
TJPE;18034;2
TJPE;18043;2
TJPE;18045;2
TJPE;18046;2
TJPE;18052;2
TJPE;18059;2
TJPE;18074;1
TJPE;18075;1
TJPE;18076;1
TJPE;18077;1
TJPE;6659;1
TJPE;6665;1
TJPE;6693;1
TJPE;6779;1
TJPE;6846;1
TJPE;6847;1
TJPE;6849;1
TJPE;6849;1
TJPE;6863;1
TJPE;6914;7
TJPE;6918;4
TJPE;6918;4
TJPE;6918;4
TJPE;6919;4
TJPE;6919;4
TJPE;6919;4
TJPE;6920;7
TJPE;6922;7
TJPE;6926;0
TJPE;6926;0
TJPE;6926;0
TJPE;6929;7
TJPE;6980;7
TJPE;6980;7
TJPE;6988;7
TJPE;7063;2
TJPE;7068;2
TJPE;7108;7
TJPE;7112;0
TJPE;7112;0
TJPE;7112;0
TJPE;7126;2
TJPE;7133;2
TJPE;7133;2
TJPE;7146;2
TJPE;7361;0
TJPE;7361;0
TJPE;7361;0
TJPE;7367;7
TJPE;7369;2
TJPE;7396;2
TJPE;7399;1
TJPE;7405;2
TJPE;7426;7
TJPE;7463;7
TJPE;7489;2
TJPE;7544;2
TJPE;7549;2
TJPE;7581;2
TJPE;7619;1
TJPE;7628;7
TJPE;7655;2
TJPE;7668;2
TJPE;7668;2
TJPE;7709;2
TJPE;7739;2
TJPE;7750;2
TJPE;9175;2
TJPE;9175;2
TJPE;70619;2
TJPE;70620;2
TJPE;70622;2
TJPE;70628;2
TJPE;70636;2
TJPE;70638;1
TJPE;70641;2
TJPE;70643;2
TJPE;70644;1
TJPE;70647;2
TJPE;70650;2
TJPE;70651;2
TJPE;70652;2
TJPE;70653;2
TJPE;70654;1
TJPE;70655;2
TJPE;70656;2
TJPE;70665;2
TJPE;70667;1
TJPE;70668;1
TJPE;16313;1
TJPE;16645;1
TJPE;17369;1
TJPE;17369;1
TJPE;17384;2
TJPE;17385;1
TJPE;17385;1
TJPE;17388;2
TJPE;17389;2
TJPE;17390;2
TJPE;17391;2
TJPE;17397;2
TJPE;17397;2
TJPE;17407;2
TJPE;17411;7
TJPE;6746;2
TJPE;6944;2
TJPE;7026;1
TJPE;7055;1
TJPE;70593;1
TJPE;70594;2
TJPE;70595;2
TJPE;72681;2
TJPE;7460;1
TJPE;7486;2
TJPE;7698;2
TJPE;74533;2
TJPE;74534;2
TJPI;11287;0
TJPI;11287;0
TJPI;11287;0
TJPI;11287;0
TJPI;11290;3
TJPI;11290;3
TJPI;11290;3
TJPI;11312;0
TJPI;11312;0
TJPI;11312;0
TJPI;11312;0
TJPI;11335;3
TJPI;11335;3
TJPI;11335;3
TJPI;11335;3
TJPI;11340;0
TJPI;11340;0
TJPI;11340;0
TJPI;11340;0
TJPI;11348;5
TJPI;11348;5
TJPI;11349;5
TJPI;14059;5
TJPI;14060;5
TJPI;17942;5
TJPI;17943;5
TJPI;5334;5
TJPI;5334;5
TJPI;5342;5
TJPI;5342;5
TJPI;6090;5
TJPI;6093;5
TJPI;6096;5
TJPI;6825;0
TJPI;6848;0
TJPI;6857;0
TJPI;6891;5
TJPI;6891;5
TJPI;6891;5
TJPI;6899;5
TJPI;6909;0
TJPI;7001;5
TJPI;7001;5
TJPI;7028;3
TJPI;72282;3
TJPI;64590;5
TJPI;64592;5
TJPI;64599;5
TJPI;78725;5
TJPI;7024;0
TJPI;72284;0
TJPR;8874;3
TJPR;9206;3
TJPR;10981;2
TJPR;10981;2
TJPR;10983;2
TJPR;10983;2
TJPR;10991;2
TJPR;10991;2
TJPR;10995;2
TJPR;11006;2
TJPR;11036;6
TJPR;11036;6
TJPR;11037;6
TJPR;11037;6
TJPR;11038;6
TJPR;11038;6
TJPR;11039;6
TJPR;11039;6
TJPR;11040;6
TJPR;11040;6
TJPR;16449;4
TJPR;16449;4
TJPR;8874;3
TJPR;8874;3
TJPR;8977;3
TJPR;8986;2
TJPR;9070;7
TJPR;9070;7
TJPR;9096;4
TJPR;9096;4
TJPR;9096;4
TJPR;9204;7
TJPR;9206;3
TJPR;9210;2
TJPR;9210;2
TJPR;9210;2
TJPR;9214;0
TJRJ;11839;2
TJRJ;7136;2
TJRJ;7215;6
TJRJ;7248;6
TJRJ;7271;5
TJRJ;7272;2
TJRJ;7293;6
TJRJ;7484;6
TJRJ;7510;2
TJRJ;7511;2
TJRJ;7529;2
TJRJ;7613;2
TJRJ;7637;2
TJRJ;7643;2
TJRJ;7656;2
TJRJ;7695;2
TJRJ;7702;2
TJRJ;7743;2
TJRJ;7760;2
TJRJ;7760;2
TJRJ;7764;2
TJRJ;7791;2
TJRJ;7824;2
TJRJ;7854;2
TJRJ;7860;2
TJRJ;7873;6
TJRJ;7874;2
TJRJ;7877;6
TJRJ;7894;2
TJRJ;8004;2
TJRJ;8038;2
TJRN;4439;5
TJRN;4705;5
TJRN;4709;5
TJRN;4712;5
TJRN;4716;5
TJRN;4719;5
TJRN;4719;5
TJRN;4724;5
TJRN;4725;5
TJRN;4726;5
TJRN;4729;5
TJRN;4731;5
TJRN;4733;5
TJRN;4738;5
TJRN;4741;5
TJRN;4743;5
TJRN;4744;5
TJRN;4747;5
TJRN;4764;5
TJRN;4764;5
TJRN;4765;5
TJRN;4765;5
TJRN;4766;5
TJRN;4766;5
TJRN;4767;5
TJRN;4778;5
TJRN;5614;0
TJRN;5614;0
TJRN;5629;3
TJRN;5629;3
TJRN;5629;3
TJRN;5642;0
TJRN;5642;0
TJRN;5650;0
TJRN;5650;0
TJRN;5650;0
TJRN;5650;0
TJRN;5669;0
TJRN;5669;0
TJRN;5669;0
TJRN;5694;5
TJRN;5697;5
TJRN;5701;5
TJRN;5705;5
TJRN;5815;0
TJRN;5815;0
TJRN;5815;0
TJRN;5815;0
TJRN;5829;0
TJRN;5829;0
TJRN;5837;0
TJRN;5837;0
TJRN;5837;0
TJRN;5857;0
TJRN;5857;0
TJRN;5857;0
TJRN;5877;5
TJRN;5877;5
TJRN;5880;5
TJRN;5881;5
TJRN;5881;5
TJRN;5896;0
TJRN;5896;0
TJRN;5965;3
TJRN;5965;3
TJRN;5965;3
TJRN;5967;0
TJRN;5967;0
TJRN;5967;0
TJRN;5967;0
TJRN;5992;3
TJRN;5992;3
TJRN;5992;3
TJRN;5998;3
TJRN;5998;3
TJRN;5998;3
TJRN;5998;3
TJRN;6003;3
TJRN;6003;3
TJRN;6003;3
TJRN;6004;5
TJRN;6004;5
TJRN;77276;5
TJRN;77277;5
TJRN;77278;5
TJRN;77279;5
TJRN;77279;5
TJRN;78887;5
TJRN;53356;5
TJRN;53356;5
TJRN;53357;5
TJRN;53358;5
TJRN;53358;5
TJRN;53359;5
TJRN;53360;5
TJRN;53360;5
TJRN;53361;5
TJRN;53364;5
TJRN;53364;5
TJRN;53365;5
TJRN;53367;5
TJRN;53368;5
TJRN;53369;5
TJRN;53369;5
TJRN;53370;5
TJRN;53372;5
TJRN;53373;5
TJRN;13282;5
TJRN;13282;5
TJRN;13283;5
TJRN;13283;5
TJRN;13284;5
TJRN;13284;5
TJRN;13285;5
TJRN;13285;5
TJRN;13286;5
TJRN;13288;5
TJRN;13288;5
TJRN;13289;5
TJRN;13289;5
TJRN;13290;5
TJRN;13290;5
TJRN;13291;5
TJRN;13291;5
TJRN;13292;5
TJRN;13292;5
TJRN;13293;5
TJRN;13293;5
TJRN;5153;5
TJRN;5153;5
TJRN;5992;3
TJRN;5998;3
TJRN;6003;3
TJRN;76746;5
TJRN;77266;5
TJRN;77266;5
TJRN;77267;5
TJRN;77267;5
TJRN;77268;5
TJRN;77268;5
TJRN;51693;5
TJRN;51694;5
TJRN;51695;5
TJRO;13324;0
TJRO;13324;0
TJRO;13324;0
TJRO;13325;0
TJRO;13325;0
TJRO;13326;1
TJRO;13326;1
TJRO;16562;1
TJRO;2792;1
TJRO;3346;1
TJRO;3346;1
TJRO;3349;1
TJRO;3356;1
TJRO;3356;1
TJRO;3358;1
TJRO;3420;0
TJRO;3420;0
TJRO;3420;0
TJRO;3420;0
TJRO;3420;0
TJRO;3421;0
TJRO;3421;0
TJRO;3421;0
TJRO;3422;0
TJRO;3422;0
TJRO;3422;0
TJRO;3423;0
TJRO;3423;0
TJRO;3423;0
TJRO;3423;0
TJRO;3427;0
TJRO;3427;0
TJRO;3427;0
TJRO;3430;0
TJRO;3430;0
TJRO;3430;0
TJRO;3430;0
TJRO;3431;0
TJRO;3431;0
TJRO;3431;0
TJRO;3434;0
TJRO;3434;0
TJRO;3434;0
TJRO;3434;0
TJRO;3434;0
TJRO;3435;0
TJRO;3435;0
TJRO;3435;0
TJRO;3436;0
TJRO;3436;0
TJRO;3436;0
TJRO;3437;0
TJRO;3437;0
TJRO;3437;0
TJRO;3437;0
TJRO;3439;0
TJRO;3444;0
TJRO;3444;0
TJRO;3444;0
TJRO;3444;0
TJRO;3444;0
TJRO;3445;0
TJRO;3445;0
TJRO;3445;0
TJRO;3447;0
TJRO;3447;0
TJRO;3447;0
TJRO;3448;0
TJRO;3449;0
TJRO;3449;0
TJRO;3449;0
TJRO;3453;0
TJRO;3453;0
TJRO;3453;0
TJRO;3456;0
TJRO;3456;0
TJRO;3456;0
TJRO;3456;0
TJRO;3457;0
TJRO;3465;1
TJRO;3469;1
TJRO;3469;1
TJRO;3477;1
TJRO;3477;1
TJRO;3482;1
TJRO;3482;1
TJRO;4440;5
TJRO;4440;5
TJRO;4440;5
TJRO;4440;5
TJRO;4441;5
TJRO;4441;5
TJRO;4441;5
TJRO;4442;5
TJRO;4442;5
TJRO;4443;5
TJRO;4443;5
TJRO;4443;5
TJRO;4444;5
TJRO;4444;5
TJRO;16566;2
TJRO;16567;2
TJRO;16572;2
TJRO;16574;1
TJRO;16575;2
TJRO;16576;2
TJRO;16577;2
TJRO;16579;2
TJRO;16581;2
TJRO;16583;2
TJRO;16584;2
TJRO;17836;1
TJRO;3426;0
TJRO;3426;0
TJRO;3426;0
TJRO;3429;0
TJRO;3429;0
TJRO;3429;0
TJRO;3430;0
TJRO;3430;0
TJRO;3439;0
TJRO;3439;0
TJRO;3439;0
TJRO;3443;0
TJRO;3443;0
TJRO;3443;0
TJRO;3443;0
TJRO;3444;0
TJRO;3444;0
TJRO;3444;0
TJRO;3445;0
TJRO;3445;0
TJRO;3452;0
TJRO;3452;0
TJRO;3452;0
TJRO;3459;0
TJRO;3459;0
TJRO;3459;0
TJRO;4448;5
TJRO;4448;5
TJRO;4448;5
TJRO;4463;1
TJRO;4463;1
TJRO;17836;1
TJRR;2765;1
TJRR;2765;1
TJRR;2765;1
TJRR;2766;1
TJRR;2766;1
TJRR;2767;1
TJRR;2767;1
TJRR;2767;1
TJRR;2767;1
TJRR;2767;1
