"codmunicipio","porte","pib","pib_percapita","pop_estimada","reg_metropolitana","desc_pibpercapita"
1303601,"Pequeno porte",569456171875,307713989258,18146,"N","Municipio com baixo PIB per capita"
1303700,"Pequeno porte",94013,30975300293,24481,"N","Municipio com baixo PIB per capita"
1303809,"Médio porte",202045265625,482381005859,37896,"N","Municipio com médio PIB per capita"
1303908,"Médio porte",1093492890625,331784008789,31422,"N","Municipio com baixo PIB per capita"
1303957,"Pequeno porte",3297034765625,355743994141,10705,"N","Municipio com baixo PIB per capita"
1304005,"Pequeno porte",6603521875,772975,8444,"S","Municipio com médio PIB per capita"
1304062,"Médio porte",202660984375,422668017578,52272,"N","Municipio com baixo PIB per capita"
1304104,"Pequeno porte",87235609375,438722998047,19077,"N","Municipio com baixo PIB per capita"
1304203,"Médio porte",2935635,453933984375,61453,"N","Municipio com médio PIB per capita"
1304237,"Pequeno porte",671530078125,331031005859,17079,"N","Municipio com baixo PIB per capita"
1304260,"Pequeno porte",6024265625,595989990234,11891,"N","Municipio com médio PIB per capita"
1304302,"Pequeno porte",694876171875,440352001953,17094,"N","Municipio com baixo PIB per capita"
1304401,"Pequeno porte",675279609375,364209008789,17837,"N","Municipio com baixo PIB per capita"
1400027,"Pequeno porte",711652890625,862713964844,9327,"N","Municipio com médio PIB per capita"
1400050,"Pequeno porte",1419543125,999325976562,16448,"S","Municipio com médio PIB per capita"
1400100,"Grande porte",4090497,1532590039062,284313,"S","Municipio com alto PIB per capita"
1400159,"Pequeno porte",1111370234375,1036145996094,10943,"S","Municipio com médio PIB per capita"
1400175,"Pequeno porte",1460910625,1223337988281,13902,"S","Municipio com médio PIB per capita"
1400209,"Pequeno porte",17084140625,888179980469,18398,"S","Municipio com médio PIB per capita"
1400233,"Pequeno porte",77312140625,1021430957031,8114,"S","Municipio com médio PIB per capita"
1400282,"Pequeno porte",711152734375,1137844042969,8696,"S","Municipio com médio PIB per capita"
1400308,"Pequeno porte",146580046875,1111465039062,14792,"S","Municipio com médio PIB per capita"
1400407,"Pequeno porte",7460890625,991216992188,8940,"N","Municipio com médio PIB per capita"
1400456,"Pequeno porte",934425703125,1013476953125,10433,"N","Municipio com médio PIB per capita"
1400472,"Pequeno porte",23152721875,872174023438,24279,"S","Municipio com médio PIB per capita"
1400506,"Pequeno porte",59372453125,984945019531,6769,"S","Municipio com médio PIB per capita"
1400605,"Pequeno porte",544173203125,910141015625,6750,"S","Municipio com médio PIB per capita"
1400704,"Pequeno porte",534291328125,673420019531,8375,"N","Municipio com médio PIB per capita"
1500107,"Grande porte",4562569375,326319995117,141100,"N","Municipio com baixo PIB per capita"
1500131,"Pequeno porte",428695,615322021484,6780,"N","Municipio com médio PIB per capita"
1500206,"Médio porte",24042215625,495706005859,53569,"N","Municipio com médio PIB per capita"
1500305,"Médio porte",10003840625,306556005859,35042,"N","Municipio com baixo PIB per capita"
1500347,"Médio porte",187433203125,600439990234,25057,"N","Municipio com médio PIB per capita"
1500404,"Médio porte",2081430625,364735009766,52626,"N","Municipio com baixo PIB per capita"
1500503,"Médio porte",3451535625,1106545019531,33614,"N","Municipio com médio PIB per capita"
1500602,"Médio porte",60837275,616074023438,99075,"N","Municipio com médio PIB per capita"
1500701,"Pequeno porte",625345625,228344995117,24759,"N","Municipio com baixo PIB per capita"
1500800,"Grande porte",32433695,641600976562,471980,"S","Municipio com médio PIB per capita"
1500859,"Pequeno porte",77226921875,378173999023,20543,"N","Municipio com baixo PIB per capita"
1500909,"Médio porte",111036953125,282414990234,40497,"N","Municipio com baixo PIB per capita"
1500958,"Médio porte",86019953125,385480004883,26546,"N","Municipio com baixo PIB per capita"
1501006,"Pequeno porte",54393734375,268398999023,15849,"N","Municipio com baixo PIB per capita"
1501105,"Pequeno porte",4575063671875,22442199707,23864,"N","Municipio com baixo PIB per capita"
1501204,"Médio porte",1059482578125,374388989258,36882,"N","Municipio com baixo PIB per capita"
1501253,"Pequeno porte",308763671875,782274023438,3431,"N","Municipio com médio PIB per capita"
1501303,"Médio porte",328729725,3551262890625,99859,"N","Municipio com alto PIB per capita"
1501402,"Grande porte",16526989,1149624023438,1393399,"S","Municipio com médio PIB per capita"
1501451,"Pequeno porte",683520703125,539437011719,16318,"S","Municipio com médio PIB per capita"
1501501,"Médio porte",5192431875,111399296875,51651,"S","Municipio com médio PIB per capita"
1501576,"Pequeno porte",6305315234375,463864990234,15298,"N","Municipio com médio PIB per capita"
1501600,"Pequeno porte",36021890625,299858007812,13630,"N","Municipio com baixo PIB per capita"
1501709,"Grande porte",3828075625,357563989258,113227,"N","Municipio com baixo PIB per capita"
1501725,"Pequeno porte",78731859375,398562011719,15690,"N","Municipio com baixo PIB per capita"
1501758,"Pequeno porte",327090234375,425456005859,7317,"N","Municipio com baixo PIB per capita"
1501782,"Médio porte",2825256875,541237011719,52493,"N","Municipio com médio PIB per capita"
1501808,"Médio porte",30033815625,297087988281,92860,"N","Municipio com baixo PIB per capita"
1501907,"Médio porte",73291046875,309845996094,25695,"N","Municipio com baixo PIB per capita"
1501956,"Médio porte",4720538671875,2514,26484,"N","Municipio com baixo PIB per capita"
1502004,"Pequeno porte",6280012890625,30767800293,20443,"N","Municipio com baixo PIB per capita"
1502103,"Grande porte",32873540625,280733007812,120896,"N","Municipio com baixo PIB per capita"
1502152,"Médio porte",8529671875,30820859375,26716,"N","Municipio com alto PIB per capita"
1502202,"Médio porte",40762425,632672021484,63639,"N","Municipio com médio PIB per capita"
1502301,"Médio porte",16023015625,303483007812,51893,"N","Municipio com baixo PIB per capita"
1502400,"Grande porte",1216351375,753172998047,173149,"S","Municipio com médio PIB per capita"
1502509,"Pequeno porte",683045390625,333094995117,21005,"N","Municipio com baixo PIB per capita"
1502608,"Pequeno porte",37286609375,326131005859,11381,"N","Municipio com baixo PIB per capita"
1502707,"Médio porte",230119125,487158984375,45557,"N","Municipio com médio PIB per capita"
1502756,"Médio porte",852605703125,383176000977,28216,"N","Municipio com baixo PIB per capita"
1502764,"Pequeno porte",818718359375,688577001953,10466,"N","Municipio com médio PIB per capita"
1502772,"Pequeno porte",85909015625,478762011719,18288,"N","Municipio com médio PIB per capita"
1502806,"Médio porte",556525234375,202056994629,28549,"N","Municipio com baixo PIB per capita"
1502855,"Pequeno porte",5183518359375,399223999023,12254,"N","Municipio com baixo PIB per capita"
1502905,"Médio porte",1060172265625,288497998047,34294,"N","Municipio com baixo PIB per capita"
1502939,"Médio porte",22966115625,587549023438,51319,"N","Municipio com médio PIB per capita"
1502954,"Médio porte",16143878125,551908984375,31786,"N","Municipio com médio PIB per capita"
1503002,"Pequeno porte",402365703125,205445996094,8177,"N","Municipio com baixo PIB per capita"
1503044,"Pequeno porte",17840546875,1141503027344,17768,"N","Municipio com médio PIB per capita"
1503077,"Médio porte",74992078125,293648999023,25034,"N","Municipio com baixo PIB per capita"
1503093,"Médio porte",1276242265625,437608984375,30436,"N","Municipio com baixo PIB per capita"
1503101,"Médio porte",79299140625,310842993164,29062,"N","Municipio com baixo PIB per capita"
1503200,"Médio porte",10698084375,303568994141,35887,"N","Municipio com baixo PIB per capita"
1503309,"Médio porte",15609275,273833007812,58077,"N","Municipio com baixo PIB per capita"
1503408,"Pequeno porte",3231824804688,311440991211,10037,"N","Municipio com baixo PIB per capita"
1503457,"Médio porte",220101859375,495770019531,51309,"N","Municipio com médio PIB per capita"
1503507,"Médio porte",813474296875,266259008789,31364,"N","Municipio com baixo PIB per capita"
1503606,"Médio porte",60447225,472804980469,97493,"N","Municipio com médio PIB per capita"
1503705,"Médio porte",18830525,4533,51220,"N","Municipio com médio PIB per capita"
1503754,"Pequeno porte",80748671875,194635998535,14103,"N","Municipio com baixo PIB per capita"
1503804,"Médio porte",221262140625,395817993164,51360,"N","Municipio com baixo PIB per capita"
1503903,"Médio porte",27250325,766966992188,47086,"N","Municipio com médio PIB per capita"
1504000,"Médio porte",782054921875,313235009766,25021,"N","Municipio com baixo PIB per capita"
1504059,"Médio porte",14447365625,496695019531,27904,"N","Municipio com médio PIB per capita"
1504109,"Pequeno porte",2332838085938,295483007812,8115,"N","Municipio com baixo PIB per capita"
1504208,"Grande porte",3058909,1506487988281,233669,"N","Municipio com alto PIB per capita"
1504307,"Médio porte",945027109375,321252001953,28376,"N","Municipio com baixo PIB per capita"
1504406,"Médio porte",957406484375,34179699707,26605,"N","Municipio com baixo PIB per capita"
1504422,"Grande porte",5187391875,512800976562,108246,"S","Municipio com médio PIB per capita"
1504455,"Médio porte",13471671875,568856982422,27328,"N","Municipio com médio PIB per capita"
1504505,"Pequeno porte",4926366796875,279004003906,24808,"N","Municipio com baixo PIB per capita"
1504604,"Médio porte",782083984375,31669699707,26731,"N","Municipio com baixo PIB per capita"
1504703,"Médio porte",234566484375,341934008789,70018,"N","Municipio com baixo PIB per capita"
1504802,"Médio porte",25314465625,395904003906,55462,"N","Municipio com baixo PIB per capita"
1504901,"Médio porte",72737625,237954003906,34204,"N","Municipio com baixo PIB per capita"
1504950,"Pequeno porte",69204703125,287610009766,20158,"N","Municipio com baixo PIB per capita"
1504976,"Pequeno porte",53906359375,357066992188,14645,"N","Municipio com baixo PIB per capita"
1505007,"Pequeno porte",4474925390625,352995996094,13670,"N","Municipio com baixo PIB per capita"
1505031,"Médio porte",150373875,699283007812,25124,"N","Municipio com médio PIB per capita"
1505064,"Médio porte",23776678125,426395996094,62050,"N","Municipio com baixo PIB per capita"
1505106,"Médio porte",205298015625,423914990234,49333,"N","Municipio com baixo PIB per capita"
1505205,"Médio porte",896073984375,334406005859,28595,"N","Municipio com baixo PIB per capita"
1505304,"Médio porte",8520714375,1451990039062,62794,"N","Municipio com alto PIB per capita"
1505403,"Pequeno porte",491833671875,310481005859,16311,"N","Municipio com baixo PIB per capita"
1505437,"Médio porte",218164859375,1022950976562,27359,"N","Municipio com médio PIB per capita"
1505486,"Médio porte",15820059375,377089990234,39979,"N","Municipio com baixo PIB per capita"
1505494,"Pequeno porte",302050859375,413712011719,7475,"N","Municipio com baixo PIB per capita"
1505502,"Médio porte",8788751875,902799023438,97819,"N","Municipio com médio PIB per capita"
1505536,"Grande porte",56179695,367723515625,153908,"N","Municipio com alto PIB per capita"
1505601,"Pequeno porte",2381772460938,300881005859,7854,"N","Municipio com baixo PIB per capita"
1505635,"Pequeno porte",7679075,584404980469,12697,"N","Municipio com médio PIB per capita"
1505650,"Pequeno porte",6346106640625,323912988281,23934,"N","Municipio com baixo PIB per capita"
1505700,"Médio porte",7608896875,287725,25999,"N","Municipio com baixo PIB per capita"
1505809,"Médio porte",16657746875,340336010742,52172,"N","Municipio com baixo PIB per capita"
1505908,"Médio porte",761429296875,271058007812,33956,"N","Municipio com baixo PIB per capita"
1506005,"Médio porte",1093583515625,411585986328,29349,"N","Municipio com baixo PIB per capita"
1506104,"Pequeno porte",3132678710938,284969995117,10268,"N","Municipio com baixo PIB per capita"
1506112,"Pequeno porte",477867421875,355054003906,12411,"N","Municipio com baixo PIB per capita"
1506138,"Médio porte",5737676875,855551953125,75556,"N","Municipio com médio PIB per capita"
1506161,"Pequeno porte",171342984375,982640039062,17697,"N","Municipio com médio PIB per capita"
1506187,"Médio porte",24498621875,512824023438,46964,"N","Municipio com médio PIB per capita"
1506195,"Médio porte",107944171875,299280004883,40087,"N","Municipio com baixo PIB per capita"
1506203,"Médio porte",156126578125,398444995117,37421,"N","Municipio com baixo PIB per capita"
1506302,"Pequeno porte",69514453125,383548999023,20183,"N","Municipio com baixo PIB per capita"
1506351,"Pequeno porte",5937112109375,402788989258,17141,"S","Municipio com baixo PIB per capita"
1506401,"Pequeno porte",223891171875,356514990234,8155,"N","Municipio com baixo PIB per capita"
1506500,"Médio porte",27784490625,499991015625,59466,"S","Municipio com médio PIB per capita"
1506559,"Pequeno porte",5842612890625,317239990234,19424,"N","Municipio com baixo PIB per capita"
1506583,"Pequeno porte",920458671875,517752001953,17206,"N","Municipio com médio PIB per capita"
1506609,"Pequeno porte",998881484375,430514990234,23026,"N","Municipio com baixo PIB per capita"
1506708,"Médio porte",28610603125,519881005859,56153,"N","Municipio com médio PIB per capita"
1506807,"Grande porte",1765658375,638193994141,294580,"S","Municipio com médio PIB per capita"
1506906,"Pequeno porte",2112781835938,332879003906,6141,"N","Municipio com baixo PIB per capita"
1507003,"Médio porte",104139125,387783007812,26674,"N","Municipio com baixo PIB per capita"
1507102,"Pequeno porte",5855158984375,347239990234,16891,"N","Municipio com baixo PIB per capita"
1507151,"Pequeno porte",927943046875,420587988281,23130,"N","Municipio com baixo PIB per capita"
1507201,"Médio porte",853056875,30550300293,29846,"N","Municipio com baixo PIB per capita"
1507300,"Médio porte",3738945,556324023438,91340,"N","Municipio com médio PIB per capita"
1507409,"Pequeno porte",5200466796875,442856982422,15060,"N","Municipio com baixo PIB per capita"
1507458,"Médio porte",1303224453125,520727001953,25587,"N","Municipio com médio PIB per capita"
1507466,"Pequeno porte",1729559179688,34330300293,5265,"N","Municipio com baixo PIB per capita"
1507474,"Pequeno porte",66196484375,332645996094,20647,"N","Municipio com baixo PIB per capita"
1507508,"Pequeno porte",4297730078125,360457006836,13155,"N","Municipio com baixo PIB per capita"
1507607,"Médio porte",171330625,382281005859,51567,"N","Municipio com baixo PIB per capita"
1507706,"Pequeno porte",5465415625,249859008789,22904,"N","Municipio com baixo PIB per capita"
1507755,"Pequeno porte",438721953125,782175,5047,"N","Municipio com médio PIB per capita"
1507805,"Pequeno porte",5010502734375,347132006836,13045,"N","Municipio com baixo PIB per capita"
1507904,"Pequeno porte",81680953125,363688989258,23001,"N","Municipio com baixo PIB per capita"
1507953,"Médio porte",3519101875,483925,79297,"N","Municipio com médio PIB per capita"
1507961,"Pequeno porte",2707878710938,255942993164,10262,"N","Municipio com baixo PIB per capita"
1507979,"Pequeno porte",5520280859375,344931005859,16949,"N","Municipio com baixo PIB per capita"
1508001,"Médio porte",22637946875,465733984375,56518,"N","Municipio com médio PIB per capita"
1508035,"Médio porte",695029765625,249786010742,27455,"N","Municipio com baixo PIB per capita"
1508050,"Pequeno porte",690216796875,402835009766,16875,"N","Municipio com baixo PIB per capita"
1508084,"Médio porte",2447800625,883970019531,33690,"N","Municipio com médio PIB per capita"
1508100,"Médio porte",2170090,2260275,97128,"N","Municipio com alto PIB per capita"
1508126,"Médio porte",172814859375,479775,43341,"N","Municipio com médio PIB per capita"
1508159,"Médio porte",1817088125,537887011719,44789,"N","Municipio com médio PIB per capita"
1508209,"Médio porte",1640925625,355139990234,47889,"N","Municipio com baixo PIB per capita"
1508308,"Médio porte",158801546875,286066992188,56716,"N","Municipio com baixo PIB per capita"
1508357,"Pequeno porte",680703671875,704370996094,13431,"N","Municipio com médio PIB per capita"
1508407,"Médio porte",41969609375,1035545019531,40573,"N","Municipio com médio PIB per capita"
1600055,"Pequeno porte",1097953046875,2757290039062,4380,"N","Municipio com alto PIB per capita"
1600105,"Pequeno porte",814561328125,1044041992188,8069,"N","Municipio com médio PIB per capita"
1600154,"Pequeno porte",1044789921875,1276937011719,10772,"N","Municipio com médio PIB per capita"
1600204,"Pequeno porte",107248828125,1154329980469,9000,"N","Municipio com médio PIB per capita"
1600212,"Pequeno porte",5068506640625,1089533007812,4696,"N","Municipio com médio PIB per capita"
1600238,"Pequeno porte",699377265625,1277400976562,5802,"N","Municipio com médio PIB per capita"
1600253,"Pequeno porte",3205008203125,878083984375,4265,"N","Municipio com médio PIB per capita"
1600279,"Médio porte",3230425,800462011719,39942,"N","Municipio com médio PIB per capita"
1600303,"Grande porte",4679694,1276916015625,398204,"S","Municipio com médio PIB per capita"
1600402,"Pequeno porte",1149130546875,784122021484,17032,"S","Municipio com médio PIB per capita"
1600501,"Pequeno porte",23048078125,1099516992188,20509,"N","Municipio com médio PIB per capita"
1600535,"Pequeno porte",144603140625,967179980469,16809,"N","Municipio com médio PIB per capita"
1600550,"Pequeno porte",321575078125,879100976562,3793,"N","Municipio com médio PIB per capita"
1600600,"Grande porte",1104524875,1136108984375,101262,"S","Municipio com médio PIB per capita"
1600709,"Pequeno porte",1199880234375,871436035156,12563,"N","Municipio com médio PIB per capita"
1600808,"Pequeno porte",993329140625,862340039062,12428,"N","Municipio com médio PIB per capita"
1700251,"Pequeno porte",1747670117188,752981982422,2391,"N","Municipio com médio PIB per capita"
1700301,"Pequeno porte",5716952734375,1356012988281,5162,"N","Municipio com alto PIB per capita"
1700350,"Pequeno porte",44565703125,765470996094,5671,"S","Municipio com médio PIB per capita"
1700400,"Pequeno porte",4067922265625,534900976562,7586,"N","Municipio com médio PIB per capita"
1700707,"Pequeno porte",1229686015625,1506783007812,8374,"S","Municipio com alto PIB per capita"
1701002,"Pequeno porte",5954140625,625829003906,9865,"N","Municipio com médio PIB per capita"
1701051,"Pequeno porte",1986026953125,601825976562,3175,"N","Municipio com médio PIB per capita"
1701101,"Pequeno porte",4061537109375,967033007812,4213,"S","Municipio com médio PIB per capita"
