codtribunal;grau;cod_orgao_julg;tipo_justica;descricao;uf;Porte_Municipio;PIB_percapita;tipo_processo;Porte_Tribunal;Atuacao_Vara;Classificacao_Acervo_2;mediana;qtd_npu;num_dias
TJAC;G1;17052;Estadual;VARA DE EXECUÇÃO FISCAL;AC;Grande_Porte;12542.30957031;Execução Fiscal;PEQUENO;Execucao fiscal;Acervo Grande;1078;64;70001
TJAC;G1;17054;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9965.00976562;Civel;PEQUENO;Geral;Acervo Grande;647;29;21996
TJAC;G1;17054;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9965.00976562;Criminal;PEQUENO;Geral;Acervo Grande;377;30;17775
TJAC;G1;17054;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9965.00976562;Execução Fiscal;PEQUENO;Geral;Acervo Grande;1087;8;9599
TJAC;G1;17054;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9965.00976562;Família;PEQUENO;Geral;Acervo Grande;426;5;1916
TJAC;G1;17054;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9965.00976562;Fazenda;PEQUENO;Geral;Acervo Grande;1361;7;10002
TJAC;G1;17054;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9965.00976562;Sucessões;PEQUENO;Geral;Acervo Grande;1199;2;2823
TJAC;G1;33547;Estadual;VARA ÚNICA;AC;Pequeno_Porte;11379.61035156;Família;PEQUENO;Geral;Acervo Médio;151;1;151
TJAC;G1;3588;Estadual;VARA CRIMINAL;AC;Pequeno_Porte;9634.33984375;Criminal;PEQUENO;Criminal Pura;Acervo Grande;1171;26;28833
TJAC;G1;3591;Estadual;CENTRAL DE EXECUÇÕES DE PENAS ALTERNATIVAS;AC;Pequeno_Porte;9634.33984375;Criminal;PEQUENO;Criminal Pura;Acervo Grande;800;44;38966
TJAC;G1;3604;Estadual;VARA CÍVEL;AC;Pequeno_Porte;11024.71972656;Civel;PEQUENO;Civel Pura;Acervo Grande;1512;11;12784
TJAC;G1;3604;Estadual;VARA CÍVEL;AC;Pequeno_Porte;11024.71972656;Execução Fiscal;PEQUENO;Civel Pura;Acervo Grande;2160;3;6329
TJAC;G1;3605;Estadual;VARA CRIMINAL;AC;Pequeno_Porte;11024.71972656;Criminal;PEQUENO;Criminal Pura;Acervo Grande;1488;7;9170
TJAC;G1;3608;Estadual;VARA CÍVEL;AC;Medio_Porte;10273.62988281;Civel;PEQUENO;Civel Pura;Acervo Grande;136;2;281
TJAC;G1;3609;Estadual;VARA CRIMINAL;AC;Medio_Porte;10273.62988281;Criminal;PEQUENO;Criminal Pura;Acervo Grande;1884;12;17567
TJAC;G1;3612;Estadual;ª VARA CÍVEL;AC;Medio_Porte;8887.19042969;Civel;PEQUENO;Civel Pura;Acervo Grande;623;106;80185
TJAC;G1;3612;Estadual;ª VARA CÍVEL;AC;Medio_Porte;8887.19042969;Execução Fiscal;PEQUENO;Civel Pura;Acervo Grande;784;27;23947
TJAC;G1;3612;Estadual;ª VARA CÍVEL;AC;Medio_Porte;8887.19042969;Família;PEQUENO;Civel Pura;Acervo Grande;173;11;2782
TJAC;G1;3612;Estadual;ª VARA CÍVEL;AC;Medio_Porte;8887.19042969;Fazenda;PEQUENO;Civel Pura;Acervo Grande;1181;19;23765
TJAC;G1;3613;Estadual;ª VARA CÍVEL;AC;Medio_Porte;8887.19042969;Civel;PEQUENO;Civel Pura;Acervo Grande;750;90;74092
TJAC;G1;3613;Estadual;ª VARA CÍVEL;AC;Medio_Porte;8887.19042969;Execução Fiscal;PEQUENO;Civel Pura;Acervo Grande;757;60;62332
TJAC;G1;3613;Estadual;ª VARA CÍVEL;AC;Medio_Porte;8887.19042969;Família;PEQUENO;Civel Pura;Acervo Grande;284;37;16200
TJAC;G1;3613;Estadual;ª VARA CÍVEL;AC;Medio_Porte;8887.19042969;Sucessões;PEQUENO;Civel Pura;Acervo Grande;408;4;1976
TJAC;G1;3614;Estadual;ª VARA CRIMINAL;AC;Medio_Porte;8887.19042969;Criminal;PEQUENO;Criminal Pura;Acervo Grande;921;79;73665
TJAC;G1;3615;Estadual;ª VARA CRIMINAL;AC;Medio_Porte;8887.19042969;Criminal;PEQUENO;Criminal Pura;Acervo Grande;435;99;54980
TJAC;G1;3621;Estadual;ª VARA CÍVEL;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Civel Pura;Acervo Grande;681;471;411381
TJAC;G1;3622;Estadual;ª VARA CÍVEL;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Civel Pura;Acervo Grande;791;431;399106
TJAC;G1;3623;Estadual;ª VARA CÍVEL;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Civel Pura;Acervo Grande;762;454;399342
TJAC;G1;3623;Estadual;ª VARA CÍVEL;AC;Grande_Porte;12542.30957031;Fazenda;PEQUENO;Civel Pura;Acervo Grande;2335;1;2335
TJAC;G1;3624;Estadual;ª VARA CÍVEL;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Civel Pura;Acervo Grande;623;377;306324
TJAC;G1;3624;Estadual;ª VARA CÍVEL;AC;Grande_Porte;12542.30957031;Fazenda;PEQUENO;Civel Pura;Acervo Grande;2024;7;14608
TJAC;G1;3625;Estadual;ª VARA CRIMINAL;AC;Grande_Porte;12542.30957031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;914;137;133962
TJAC;G1;3626;Estadual;Vara de Delitos de Organizações Criminosas;AC;Grande_Porte;12542.30957031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;663;120;116087
TJAC;G1;3627;Estadual;ª VARA CRIMINAL;AC;Grande_Porte;12542.30957031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;1136;100;114157
TJAC;G1;3628;Estadual;ª VARA CRIMINAL;AC;Grande_Porte;12542.30957031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;708;135;116428
TJAC;G1;3629;Estadual;VARA DE EXECUÇÕES PENAIS;AC;Grande_Porte;12542.30957031;Criminal;PEQUENO;Criminal Pura;Acervo Médio;2520;9;19774
TJAC;G1;3632;Estadual;ª VARA DA FAZENDA PÚBLICA;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Fazenda;Acervo Grande;668;54;42224
TJAC;G1;3632;Estadual;ª VARA DA FAZENDA PÚBLICA;AC;Grande_Porte;12542.30957031;Execução Fiscal;PEQUENO;Fazenda;Acervo Grande;598;343;323520
TJAC;G1;3632;Estadual;ª VARA DA FAZENDA PÚBLICA;AC;Grande_Porte;12542.30957031;Fazenda;PEQUENO;Fazenda;Acervo Grande;695;6;5746
TJAC;G1;3633;Estadual;ª VARA DA FAZENDA PÚBLICA;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Fazenda;Acervo Grande;282;89;44595
TJAC;G1;3633;Estadual;ª VARA DA FAZENDA PÚBLICA;AC;Grande_Porte;12542.30957031;Execução Fiscal;PEQUENO;Fazenda;Acervo Grande;471;189;132205
TJAC;G1;3633;Estadual;ª VARA DA FAZENDA PÚBLICA;AC;Grande_Porte;12542.30957031;Fazenda;PEQUENO;Fazenda;Acervo Grande;1231;18;23399
TJAC;G1;3636;Estadual;VARA DE REGISTROS PÚBLICOS, Órfãos e Sucessões e de Cartas Precatórias Cíveis;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Geral;Acervo Grande;154;29;9189
TJAC;G1;3636;Estadual;VARA DE REGISTROS PÚBLICOS, Órfãos e Sucessões e de Cartas Precatórias Cíveis;AC;Grande_Porte;12542.30957031;Família;PEQUENO;Geral;Acervo Grande;223;59;14733
TJAC;G1;3638;Estadual;ª VARA DO TRIBUNAL DO JÚRI;AC;Grande_Porte;12542.30957031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;813;44;43100
TJAC;G1;3639;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Civel Pura;Acervo Grande;2443;1;2443
TJAC;G1;6379;Estadual;VARA DE PROTEÇÃO A MULHER;AC;Grande_Porte;12542.30957031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;1065;63;71658
TJAC;G1;74300;Estadual;VARA DE PROTEÇÃO À MULHER E EXECUÇÕES PENAIS;AC;Medio_Porte;8887.19042969;Criminal;PEQUENO;Criminal Pura;Acervo Grande;128;2;292
TJAC;G1;74302;Estadual;VARA ÚNICA;AC;Pequeno_Porte;10920.91015625;Civel;PEQUENO;Geral;Acervo Grande;130;1;130
TJAC;G1;8148;Estadual;VARA ÚNICA;AC;Pequeno_Porte;6991.66015625;Civel;PEQUENO;Geral;Acervo Grande;269;2;2159
TJAC;G1;8148;Estadual;VARA ÚNICA;AC;Pequeno_Porte;6991.66015625;Criminal;PEQUENO;Geral;Acervo Grande;134;4;4709
TJAC;G1;8148;Estadual;VARA ÚNICA;AC;Pequeno_Porte;6991.66015625;Execução Fiscal;PEQUENO;Geral;Acervo Grande;1940;1;1940
TJAC;G1;8149;Estadual;VARA ÚNICA;AC;Pequeno_Porte;12345.40039062;Civel;PEQUENO;Geral;Acervo Grande;752;27;25691
TJAC;G1;8149;Estadual;VARA ÚNICA;AC;Pequeno_Porte;12345.40039062;Criminal;PEQUENO;Geral;Acervo Grande;1509;17;21910
TJAC;G1;8149;Estadual;VARA ÚNICA;AC;Pequeno_Porte;12345.40039062;Execução Fiscal;PEQUENO;Geral;Acervo Grande;1428;8;11099
TJAC;G1;8149;Estadual;VARA ÚNICA;AC;Pequeno_Porte;12345.40039062;Família;PEQUENO;Geral;Acervo Grande;166;2;371
TJAC;G1;8150;Estadual;VARA ÚNICA;AC;Pequeno_Porte;13099.24023438;Civel;PEQUENO;Geral;Acervo Grande;138;4;4281
TJAC;G1;8150;Estadual;VARA ÚNICA;AC;Pequeno_Porte;13099.24023438;Criminal;PEQUENO;Geral;Acervo Grande;195;6;5139
TJAC;G1;8151;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9588.95996094;Civel;PEQUENO;Geral;Acervo Grande;699;17;13127
TJAC;G1;8151;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9588.95996094;Criminal;PEQUENO;Geral;Acervo Grande;500;10;9546
TJAC;G1;8151;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9588.95996094;Execução Fiscal;PEQUENO;Geral;Acervo Grande;977;7;6200
TJAC;G1;8151;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9588.95996094;Família;PEQUENO;Geral;Acervo Grande;313;7;2482
TJAC;G1;8151;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9588.95996094;Fazenda;PEQUENO;Geral;Acervo Grande;1851;4;7414
TJAC;G1;8152;Estadual;VARA ÚNICA;AC;Pequeno_Porte;8191.70019531;Criminal;PEQUENO;Geral;Acervo Grande;2042;2;4404
TJAC;G1;8152;Estadual;VARA ÚNICA;AC;Pequeno_Porte;8191.70019531;Execução Fiscal;PEQUENO;Geral;Acervo Grande;1801;4;7589
TJAC;G1;8153;Estadual;VARA CÍVEL;AC;Medio_Porte;7418.14990234;Civel;PEQUENO;Civel Pura;Acervo Grande;2150;14;30247
TJAC;G1;8153;Estadual;VARA CÍVEL;AC;Medio_Porte;7418.14990234;Execução Fiscal;PEQUENO;Civel Pura;Acervo Grande;1932;5;9446
TJAC;G1;8153;Estadual;VARA CÍVEL;AC;Medio_Porte;7418.14990234;Família;PEQUENO;Civel Pura;Acervo Grande;1728;4;7133
TJAC;G1;8153;Estadual;VARA CÍVEL;AC;Medio_Porte;7418.14990234;Fazenda;PEQUENO;Civel Pura;Acervo Grande;1795;29;52304
TJAC;G1;8154;Estadual;VARA CRIMINAL;AC;Medio_Porte;7418.14990234;Criminal;PEQUENO;Criminal Pura;Acervo Grande;1941;12;24701
TJAC;G1;8155;Estadual;VARA CÍVEL;AC;Medio_Porte;7629.33984375;Civel;PEQUENO;Civel Pura;Acervo Grande;2066;23;45257
TJAC;G1;8155;Estadual;VARA CÍVEL;AC;Medio_Porte;7629.33984375;Execução Fiscal;PEQUENO;Civel Pura;Acervo Grande;1528;3;5621
TJAC;G1;8155;Estadual;VARA CÍVEL;AC;Medio_Porte;7629.33984375;Família;PEQUENO;Civel Pura;Acervo Grande;2477;1;2477
TJAC;G1;8156;Estadual;VARA CRIMINAL;AC;Medio_Porte;7629.33984375;Criminal;PEQUENO;Criminal Pura;Acervo Grande;190;10;11948
TJAC;G1;81694;Estadual; 2ª Vara Criminal;AC;Grande_Porte;12542.30957031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;1204;41;49061
TJAC;G2;33548;Estadual;CÂMARA CRIMINAL;AC;Grande_Porte;12542.30957031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;232;206;98542
TJAC;G2;33549;Estadual;ª CÂMARA CÍVEL;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Civel Pura;Acervo Grande;322;127;65657
TJAC;G2;33550;Estadual;ª CÂMARA CÍVEL;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Civel Pura;Acervo Grande;147;17;2554
TJAC;G2;33563;Estadual;TRIBUNAL PLENO JURISDICIONAL;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Geral;Acervo Grande;211;19;6488
TJAC;G2;33563;Estadual;TRIBUNAL PLENO JURISDICIONAL;AC;Grande_Porte;12542.30957031;Criminal;PEQUENO;Geral;Acervo Grande;547;7;4220
TJAC;G2;33563;Estadual;TRIBUNAL PLENO JURISDICIONAL;AC;Grande_Porte;12542.30957031;Fazenda;PEQUENO;Geral;Acervo Grande;526;2;2047
TJAC;G2;74296;Estadual;Gabinete da Vice-Presidência;AC;Grande_Porte;12542.30957031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;142;5;743
TJAC;JE;11674;Estadual;VARA CÍVEL;AC;Pequeno_Porte;9634.33984375;Civel;PEQUENO;Civel Pura;Acervo Grande;240;57;18495
TJAC;JE;11674;Estadual;VARA CÍVEL;AC;Pequeno_Porte;9634.33984375;Juizados Especiais Cíveis;PEQUENO;Civel Pura;Acervo Grande;214;74;19101
TJAC;JE;16426;Estadual;ª VARA DO TRIBUNAL DO JÚRI E AUDITORIA MILITAR;AC;Grande_Porte;12542.30957031;Criminal;PEQUENO;Criminal Pura;Acervo Médio;120;1;120
TJAC;JE;17049;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9114.25;Civel;PEQUENO;Geral;Acervo Grande;169;56;11149
TJAC;JE;17049;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9114.25;Criminal;PEQUENO;Geral;Acervo Grande;224;23;7973
TJAC;JE;17049;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9114.25;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;158;8;3546
TJAC;JE;17050;Estadual;VARA ÚNICA;AC;Pequeno_Porte;11209.79003906;Civel;PEQUENO;Geral;Acervo Grande;258;5;1602
TJAC;JE;17050;Estadual;VARA ÚNICA;AC;Pequeno_Porte;11209.79003906;Criminal;PEQUENO;Geral;Acervo Grande;245;18;7837
TJAC;JE;17050;Estadual;VARA ÚNICA;AC;Pequeno_Porte;11209.79003906;Fazenda;PEQUENO;Geral;Acervo Grande;630;9;4987
TJAC;JE;17050;Estadual;VARA ÚNICA;AC;Pequeno_Porte;11209.79003906;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;213;20;5451
TJAC;JE;17053;Estadual;JUIZADO ESPECIAL DA FAZENDA PÚBLICA;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Juizados civeis;Acervo Grande;142;5;743
TJAC;JE;17053;Estadual;JUIZADO ESPECIAL DA FAZENDA PÚBLICA;AC;Grande_Porte;12542.30957031;Juizados Especiais Cíveis;PEQUENO;Juizados civeis;Acervo Grande;132;45;6330
TJAC;JE;17054;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9965.00976562;Civel;PEQUENO;Geral;Acervo Grande;184;46;13875
TJAC;JE;17054;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9965.00976562;Criminal;PEQUENO;Geral;Acervo Grande;261;56;25847
TJAC;JE;17054;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9965.00976562;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;156;10;2739
TJAC;JE;3588;Estadual;VARA CRIMINAL;AC;Pequeno_Porte;9634.33984375;Criminal;PEQUENO;Criminal Pura;Acervo Grande;181;24;6155
TJAC;JE;3604;Estadual;VARA CÍVEL;AC;Pequeno_Porte;11024.71972656;Civel;PEQUENO;Civel Pura;Acervo Grande;232;34;13463
TJAC;JE;3604;Estadual;VARA CÍVEL;AC;Pequeno_Porte;11024.71972656;Juizados Especiais Cíveis;PEQUENO;Civel Pura;Acervo Grande;389;38;23867
TJAC;JE;3605;Estadual;VARA CRIMINAL;AC;Pequeno_Porte;11024.71972656;Criminal;PEQUENO;Criminal Pura;Acervo Grande;616;43;34526
TJAC;JE;3608;Estadual;VARA CÍVEL;AC;Medio_Porte;10273.62988281;Civel;PEQUENO;Civel Pura;Acervo Grande;370;174;82482
TJAC;JE;3608;Estadual;VARA CÍVEL;AC;Medio_Porte;10273.62988281;Fazenda;PEQUENO;Civel Pura;Acervo Grande;671;1;671
TJAC;JE;3608;Estadual;VARA CÍVEL;AC;Medio_Porte;10273.62988281;Juizados Especiais Cíveis;PEQUENO;Civel Pura;Acervo Grande;331;66;28984
TJAC;JE;3609;Estadual;VARA CRIMINAL;AC;Medio_Porte;10273.62988281;Criminal;PEQUENO;Criminal Pura;Acervo Grande;398;47;23416
TJAC;JE;3614;Estadual;ª VARA CRIMINAL;AC;Medio_Porte;8887.19042969;Criminal;PEQUENO;Criminal Pura;Acervo Grande;423;49;31478
TJAC;JE;3616;Estadual;JUIZADO ESPECIAL CÍVEL E DE FAZENDA PÚBLICA;AC;Medio_Porte;8887.19042969;Civel;PEQUENO;Fazenda;Acervo Grande;945;9;6928
TJAC;JE;3616;Estadual;JUIZADO ESPECIAL CÍVEL E DE FAZENDA PÚBLICA;AC;Medio_Porte;8887.19042969;Fazenda;PEQUENO;Fazenda;Acervo Grande;1201;8;10093
TJAC;JE;3616;Estadual;JUIZADO ESPECIAL CÍVEL E DE FAZENDA PÚBLICA;AC;Medio_Porte;8887.19042969;Juizados Especiais Cíveis;PEQUENO;Fazenda;Acervo Grande;172;28;12805
TJAC;JE;3639;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Civel Pura;Acervo Grande;308;707;303672
TJAC;JE;3639;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande_Porte;12542.30957031;Juizados Especiais Cíveis;PEQUENO;Civel Pura;Acervo Grande;216;386;101723
TJAC;JE;3641;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Civel Pura;Acervo Grande;296;1055;401356
TJAC;JE;3641;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande_Porte;12542.30957031;Juizados Especiais Cíveis;PEQUENO;Civel Pura;Acervo Grande;295;358;130774
TJAC;JE;3642;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Civel Pura;Acervo Grande;332;940;438744
TJAC;JE;3642;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande_Porte;12542.30957031;Juizados Especiais Cíveis;PEQUENO;Civel Pura;Acervo Grande;295;387;137632
TJAC;JE;3644;Estadual;º JUIZADO ESPECIAL CRIMINAL;AC;Grande_Porte;12542.30957031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;231;172;55654
TJAC;JE;3645;Estadual;º JUIZADO ESPECIAL CRIMINAL;AC;Grande_Porte;12542.30957031;Criminal;PEQUENO;Criminal Pura;Acervo Grande;206;260;94847
TJAC;JE;74302;Estadual;VARA ÚNICA;AC;Pequeno_Porte;10920.91015625;Civel;PEQUENO;Geral;Acervo Grande;149;1;149
TJAC;JE;8148;Estadual;VARA ÚNICA;AC;Pequeno_Porte;6991.66015625;Civel;PEQUENO;Geral;Acervo Grande;889;12;10642
TJAC;JE;8148;Estadual;VARA ÚNICA;AC;Pequeno_Porte;6991.66015625;Criminal;PEQUENO;Geral;Acervo Grande;880;24;24697
TJAC;JE;8148;Estadual;VARA ÚNICA;AC;Pequeno_Porte;6991.66015625;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;467;41;19962
TJAC;JE;8149;Estadual;VARA ÚNICA;AC;Pequeno_Porte;12345.40039062;Civel;PEQUENO;Geral;Acervo Grande;225;10;3271
TJAC;JE;8149;Estadual;VARA ÚNICA;AC;Pequeno_Porte;12345.40039062;Criminal;PEQUENO;Geral;Acervo Grande;569;13;8157
TJAC;JE;8149;Estadual;VARA ÚNICA;AC;Pequeno_Porte;12345.40039062;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;286;19;5952
TJAC;JE;8150;Estadual;VARA ÚNICA;AC;Pequeno_Porte;13099.24023438;Civel;PEQUENO;Geral;Acervo Grande;288;150;56732
TJAC;JE;8150;Estadual;VARA ÚNICA;AC;Pequeno_Porte;13099.24023438;Criminal;PEQUENO;Geral;Acervo Grande;504;18;10256
TJAC;JE;8150;Estadual;VARA ÚNICA;AC;Pequeno_Porte;13099.24023438;Fazenda;PEQUENO;Geral;Acervo Grande;194;1;194
TJAC;JE;8150;Estadual;VARA ÚNICA;AC;Pequeno_Porte;13099.24023438;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;482;20;11605
TJAC;JE;8151;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9588.95996094;Civel;PEQUENO;Geral;Acervo Grande;507;22;12012
TJAC;JE;8151;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9588.95996094;Criminal;PEQUENO;Geral;Acervo Grande;654;20;13736
TJAC;JE;8151;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9588.95996094;Fazenda;PEQUENO;Geral;Acervo Grande;420;1;420
TJAC;JE;8151;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9588.95996094;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;213;26;6829
TJAC;JE;8152;Estadual;VARA ÚNICA;AC;Pequeno_Porte;8191.70019531;Civel;PEQUENO;Geral;Acervo Grande;365;28;12403
TJAC;JE;8152;Estadual;VARA ÚNICA;AC;Pequeno_Porte;8191.70019531;Criminal;PEQUENO;Geral;Acervo Grande;399;60;33353
TJAC;JE;8152;Estadual;VARA ÚNICA;AC;Pequeno_Porte;8191.70019531;Fazenda;PEQUENO;Geral;Acervo Grande;1729;1;1729
TJAC;JE;8152;Estadual;VARA ÚNICA;AC;Pequeno_Porte;8191.70019531;Juizados Especiais Cíveis;PEQUENO;Geral;Acervo Grande;415;32;11756
TJAC;JE;8153;Estadual;VARA CÍVEL;AC;Medio_Porte;7418.14990234;Civel;PEQUENO;Civel Pura;Acervo Grande;201;150;46317
TJAC;JE;8153;Estadual;VARA CÍVEL;AC;Medio_Porte;7418.14990234;Juizados Especiais Cíveis;PEQUENO;Civel Pura;Acervo Grande;160;95;21666
TJAC;JE;8154;Estadual;VARA CRIMINAL;AC;Medio_Porte;7418.14990234;Criminal;PEQUENO;Criminal Pura;Acervo Grande;251;57;23940
TJAC;JE;8155;Estadual;VARA CÍVEL;AC;Medio_Porte;7629.33984375;Civel;PEQUENO;Civel Pura;Acervo Grande;351;125;55054
TJAC;JE;8155;Estadual;VARA CÍVEL;AC;Medio_Porte;7629.33984375;Fazenda;PEQUENO;Civel Pura;Acervo Grande;463;4;3782
TJAC;JE;8155;Estadual;VARA CÍVEL;AC;Medio_Porte;7629.33984375;Juizados Especiais Cíveis;PEQUENO;Civel Pura;Acervo Grande;284;76;29299
TJAC;JE;8156;Estadual;VARA CRIMINAL;AC;Medio_Porte;7629.33984375;Criminal;PEQUENO;Criminal Pura;Acervo Grande;476;50;35990
TJAC;TR;33567;Estadual;ª TURMA RECURSAL;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Civel Pura;Acervo Grande;145;30;10346
TJAC;TR;33572;Estadual;ª TURMA RECURSAL;AC;Grande_Porte;12542.30957031;Civel;PEQUENO;Civel Pura;Acervo Grande;177;36;6995
TJAL;G1;5756;Estadual;VARA DO ÚNICO OFÍCIO DE CAMPO ALEGRE;AL;Medio_Porte;3862.84008789;Civel;PEQUENO;Geral;Acervo Grande;126;3;378
TJAL;G1;5756;Estadual;VARA DO ÚNICO OFÍCIO DE CAMPO ALEGRE;AL;Medio_Porte;3862.84008789;Criminal;PEQUENO;Geral;Acervo Grande;127;1;127
TJAL;G1;5756;Estadual;VARA DO ÚNICO OFÍCIO DE CAMPO ALEGRE;AL;Medio_Porte;3862.84008789;Família;PEQUENO;Geral;Acervo Grande;116;1;116
TJAL;G1;5789;Estadual;VARA DO ÚNICO OFÍCIO DE COLÔNIA LEOPOLDINA;AL;Pequeno_Porte;5281.18017578;Civel;PEQUENO;Geral;Acervo Médio;116;1;116
TJAL;G1;5794;Estadual;VARA DO ÚNICO OFÍCIO DE FEIRA GRANDE;AL;Pequeno_Porte;3070.32006836;Criminal;PEQUENO;Geral;Acervo Médio;120;1;120
