classeProcessual;codigoLocalidade;orgaoJulgador_codigoOrgao;assunto_codigoNacional;codigo_ultima_movimentacao;mes_ajuizamento;alvo_processos_mais_rapidos;G1;G2;JE;TR;CRIMINAL;CIVIL;JUIZADOS;EXECUTIVOS;OUTROS;PEQUENO;MÉDIO;GRANDE
40;1302603;4793;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4789;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4799;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4789;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4796;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4782;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4793;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4789;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4794;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4789;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4793;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4793;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4781;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4781;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4796;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4796;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4792;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4794;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4794;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4793;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4794;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4781;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4792;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4781;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4781;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4794;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4793;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4794;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4793;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4794;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4794;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4794;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4787;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4780;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4789;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4796;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4793;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
40;1302603;4796;7703;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
81;1302603;4791;9582;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
81;1302603;4784;9582;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
81;1302603;4789;10481;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
98;1303403;5094;7664;246;1;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
111;1302603;4797;7681;22;4;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
111;1302603;4797;7681;22;11;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
156;1302603;4822;10422;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
157;1302603;4793;9163;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
241;1302603;75553;10342;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
241;1302603;75553;10342;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
241;1302603;74447;10859;22;3;RAPIDO;1;0;0;0;0;1;0;0;0;1;0;0
241;1302603;74447;4841;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
241;1302603;75553;10342;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
241;1302603;75553;11810;22;3;RAPIDO;1;0;0;0;0;1;0;0;0;1;0;0
241;1302603;74447;4841;22;3;RAPIDO;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;74447;6239;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;74447;6239;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;74447;899;22;3;RAPIDO;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;74447;7780;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;74447;10500;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;4850;6239;22;3;RAPIDO;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;74447;6239;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;74447;10859;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;74447;9160;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;74447;7664;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;74447;899;22;3;RAPIDO;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;74447;899;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;74447;6239;22;3;RAPIDO;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;74447;5802;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;74447;5804;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
261;1302603;74447;7664;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
278;1302603;4835;3632;22;3;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
279;1302603;76533;3370;22;3;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
279;1302603;76533;10949;22;4;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
279;1302603;76533;10949;22;4;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
279;1302603;76533;3416;22;4;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
279;1302603;4060;3664;22;4;RAPIDO;1;0;0;0;1;0;0;0;0;1;0;0
280;1302603;4847;287;22;3;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
280;1302603;4849;3372;22;3;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
280;1302603;4805;4355;22;4;RAPIDO;1;0;0;0;1;0;0;0;0;1;0;0
280;1302603;4814;4355;22;4;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;1302603;74447;3443;22;3;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;1302603;74447;287;22;3;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;1302603;74447;287;22;3;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;1302603;74447;287;22;3;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;1302603;74447;287;22;3;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;1302603;74447;10846;22;4;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;1302603;74447;11417;22;4;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;1302603;74447;3419;22;4;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;1302603;74447;10949;22;4;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;1302603;74447;899;22;4;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;1302603;74447;287;22;4;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;1302603;74447;287;22;4;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;1302603;74447;287;22;4;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;1302603;74447;10949;22;4;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
355;1302603;74447;3417;22;4;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
436;1302603;75553;7779;22;3;NORMAL;1;0;0;0;0;0;1;0;0;1;0;0
436;1302603;75553;10671;22;3;NORMAL;1;0;0;0;0;0;1;0;0;1;0;0
1116;1302603;4841;6017;22;5;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1116;1302603;4841;6017;22;7;RAPIDO;1;0;0;0;0;0;0;1;0;1;0;0
1682;1302603;4839;7732;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
1727;1302603;4848;3372;22;3;NORMAL;1;0;0;0;1;0;0;0;0;1;0;0
1727;1302603;4804;4310;22;4;RAPIDO;1;0;0;0;1;0;0;0;0;1;0;0
12154;1302603;4789;7698;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
12154;1302603;4780;4980;22;4;RAPIDO;1;0;0;0;0;1;0;0;0;1;0;0
12154;1302603;4787;10462;22;4;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
12154;1302603;4798;9596;22;5;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
12154;1302603;4791;10462;22;5;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
12154;1302603;4799;10462;22;5;RAPIDO;1;0;0;0;0;1;0;0;0;1;0;0
12372;1302603;4854;7664;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
12372;1302603;4854;7664;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
12372;1302603;4855;7664;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
12541;1302603;4854;4904;22;3;NORMAL;1;0;0;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
22;1302603;4907;7779;22;1;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
37;1302603;4907;9163;22;3;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
156;1302603;4913;9163;22;3;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
156;1302603;4908;11811;22;3;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
156;1302603;4908;7780;22;3;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
156;1302603;4908;10671;22;3;NORMAL;0;0;1;0;0;1;0;0;0;1;0;0
278;1302504;13092;3396;246;5;NORMAL;0;0;1;0;1;0;0;0;0;1;0;0
278;1302603;4920;3402;22;3;NORMAL;0;0;1;0;1;0;0;0;0;1;0;0
278;1302603;4922;10750;22;3;NORMAL;0;0;1;0;1;0;0;0;0;1;0;0
278;1302603;4922;10750;22;3;NORMAL;0;0;1;0;1;0;0;0;0;1;0;0
278;1302603;4923;3581;22;3;NORMAL;0;0;1;0;1;0;0;0;0;1;0;0
278;1302603;4923;3396;22;3;NORMAL;0;0;1;0;1;0;0;0;0;1;0;0
278;1302603;4922;3402;22;4;NORMAL;0;0;1;0;1;0;0;0;0;1;0;0
278;1302603;4922;3390;22;4;NORMAL;0;0;1;0;1;0;0;0;0;1;0;0
278;1302603;4923;10750;22;4;NORMAL;0;0;1;0;1;0;0;0;0;1;0;0
278;1304062;5079;5885;246;3;NORMAL;0;0;1;0;1;0;0;0;0;1;0;0
293;1302504;13092;3621;246;4;NORMAL;0;0;1;0;1;0;0;0;0;1;0;0
436;1302504;13092;9580;246;2;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302504;13092;9606;246;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302504;13092;9580;246;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302504;13092;7691;246;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302504;13092;7691;246;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302504;13092;10433;246;4;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302504;13092;10433;246;4;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302504;13092;9587;246;4;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4905;9518;22;4;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4905;8859;22;4;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4905;1855;22;7;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4905;7681;22;10;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;11677;10431;22;4;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;11677;10431;22;4;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;11677;10431;22;5;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;11677;10431;22;5;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4905;7681;22;5;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;11677;10431;22;5;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4905;7681;22;6;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4905;1855;22;7;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4914;6226;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4910;6226;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;11738;11811;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4907;11811;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4908;10443;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4907;11811;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4908;4832;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4908;10435;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;11738;6226;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4905;6226;22;3;RAPIDO;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4910;11974;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4905;9596;22;3;RAPIDO;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4910;7780;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4908;11811;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4908;7761;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4905;9178;22;3;RAPIDO;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4907;11811;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4908;11811;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4908;6226;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4907;6226;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;11738;6226;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4908;7621;22;3;NORMAL;0;0;1;0;0;0;1;0;0;1;0;0
436;1302603;4905;11811;22;3;RAPIDO;0;0;1;0;0;0;1;0;0;1;0;0
