siglaTribunal;grau;classeProcessual;codigoLocalidade;numero;orgaoJulgador_codigoOrgao;assunto_codigoNacional;NATUREZA;Porte;duracao_F3;mes_ajuizamento;NATUREZA (#1);Count*(duracao_F3);Mean(duracao_F3);Median(duracao_F3);G1;G2;JE;TR;CRIMINAL;CIVIL;JUIZADOS;EXECUTIVOS;OUTROS;PEQUENO;MÉDIO;GRANDE
TJAP;G1;156;1600279;18619020108030008;6157;10439;CIVIL;PEQUENO;488;7;CIVIL;1;488;488;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;156;1600303;75709820088030000;6164;9163;CIVIL;PEQUENO;893;3;CIVIL;5;1620.8000000000002;1617;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;156;1600303;41513620098030000;6167;9148;CIVIL;PEQUENO;1314;2;CIVIL;228;1433.6578947368423;1614;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;156;1600303;161481620098030016;6164;9612;CIVIL;PEQUENO;1481;5;CIVIL;1;1481;1481;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;156;1600303;332314520098030020;6164;9163;CIVIL;PEQUENO;1536;9;CIVIL;5;1620.8000000000002;1617;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;156;1600303;429069520108030020;6164;7703;CIVIL;PEQUENO;40;12;CIVIL;2;695.5;695.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;156;1600303;202830320118030016;6166;7770;CIVIL;PEQUENO;84;6;CIVIL;3;58.333333333333336;84;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;156;1600303;202830320118030016;6166;8960;CIVIL;PEQUENO;84;6;CIVIL;2;84;84;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;156;1600303;405522920128030020;6162;7703;CIVIL;PEQUENO;1351;10;CIVIL;2;695.5;695.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;156;1600600;15833920128030002;6410;10431;CIVIL;PEQUENO;1356;3;CIVIL;2;1356;1356;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;156;1600600;15833920128030002;6410;10431;CIVIL;PEQUENO;1356;3;CIVIL;2;1356;1356;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600253;6468020138030006;6155;4960;CIVIL;PEQUENO;354;6;CIVIL;12;1584.8333333333335;1035.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600253;6476520138030006;6155;4960;CIVIL;PEQUENO;1042;6;CIVIL;12;1584.8333333333335;1035.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600279;16505420108030008;6160;9149;CIVIL;PEQUENO;430;7;CIVIL;1;430;430;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;198313220078030016;6162;4970;CIVIL;PEQUENO;1715;7;CIVIL;18;2181.333333333333;1659.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;28716420088030000;6164;4980;CIVIL;PEQUENO;237;1;CIVIL;25;3369.239999999999;3614;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;167305020088030016;6164;4980;CIVIL;PEQUENO;366;6;CIVIL;25;3369.239999999999;3614;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;81933120098030000;6167;9587;CIVIL;PEQUENO;735;3;CIVIL;4;1798;1116;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;489775020098030020;6167;4980;CIVIL;PEQUENO;1179;12;CIVIL;25;3369.239999999999;3614;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;489792020098030020;6164;4980;CIVIL;PEQUENO;1660;12;CIVIL;25;3369.239999999999;3614;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;207675220108030016;6164;4970;CIVIL;PEQUENO;1816;6;CIVIL;18;2181.333333333333;1659.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;223385820108030016;6164;4970;CIVIL;PEQUENO;424;6;CIVIL;18;2181.333333333333;1659.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;272284020108030016;6164;4980;CIVIL;PEQUENO;755;8;CIVIL;25;3369.239999999999;3614;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;342964120108030020;6162;9587;CIVIL;PEQUENO;544;9;CIVIL;4;1798;1116;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;8804820118030001;6164;4970;CIVIL;PEQUENO;710;1;CIVIL;18;2181.333333333333;1659.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;9099820118030000;6162;4960;CIVIL;PEQUENO;1525;1;CIVIL;12;1584.8333333333335;1035.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;21155020118030000;6162;9580;CIVIL;PEQUENO;2274;1;CIVIL;2;1237;1237;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;56611620118030000;6164;4980;CIVIL;PEQUENO;2464;2;CIVIL;25;3369.239999999999;3614;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;167625020118030016;6164;4970;CIVIL;PEQUENO;510;5;CIVIL;18;2181.333333333333;1659.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;464505720118030020;6167;4970;CIVIL;PEQUENO;1117;12;CIVIL;18;2181.333333333333;1659.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;58072320128030000;6162;7703;CIVIL;PEQUENO;2583;2;CIVIL;3;2952.6666666666665;2583;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;148931820128030016;6162;4970;CIVIL;PEQUENO;232;4;CIVIL;18;2181.333333333333;1659.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;151495820128030016;6162;4970;CIVIL;PEQUENO;2397;4;CIVIL;18;2181.333333333333;1659.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;345937720128030020;6167;4972;CIVIL;PEQUENO;958;8;CIVIL;4;2282;1647.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;35490620138030000;6167;4960;CIVIL;PEQUENO;2358;1;CIVIL;12;1584.8333333333335;1035.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;36807820138030000;6162;7703;CIVIL;PEQUENO;409;1;CIVIL;3;2952.6666666666665;2583;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;190344620138030016;6162;9596;CIVIL;PEQUENO;472;5;CIVIL;4;911;945;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;309888920138030020;6164;9596;CIVIL;PEQUENO;128;7;CIVIL;4;911;945;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;360172320138030020;6164;9596;CIVIL;PEQUENO;1626;8;CIVIL;4;911;945;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;372323420138030020;6166;4960;CIVIL;PEQUENO;69;8;CIVIL;12;1584.8333333333335;1035.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;472882920138030020;13718;7717;CIVIL;PEQUENO;26;10;CIVIL;28;2728.8214285714284;2203.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600303;199833620148030016;6167;4960;CIVIL;PEQUENO;970;4;CIVIL;12;1584.8333333333335;1035.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600600;19997020138030000;6410;4960;CIVIL;PEQUENO;1029;3;CIVIL;12;1584.8333333333335;1035.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;159;1600600;28440520138030000;6410;4960;CIVIL;PEQUENO;912;4;CIVIL;12;1584.8333333333335;1035.5;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;198;1600303;449598320098030020;6162;7660;CIVIL;PEQUENO;860;11;CIVIL;2;860;860;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;198;1600303;449598320098030020;6162;7660;CIVIL;PEQUENO;860;11;CIVIL;2;860;860;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;198;1600303;245057720128030016;6164;7779;CIVIL;PEQUENO;334;6;CIVIL;2;334;334;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;198;1600303;245057720128030016;6164;9045;CIVIL;PEQUENO;334;6;CIVIL;2;334;334;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;198;1600303;245057720128030016;6164;9045;CIVIL;PEQUENO;334;6;CIVIL;2;334;334;1;0;0;0;0;1;0;0;0;1;0;0
TJAP;G1;280;1600279;10343020208030008;6160;7929;CRIMINAL;PEQUENO;1;5;CRIMINAL;32;1594;506.5;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;282;1600303;165257920128030016;6398;3372;CRIMINAL;PEQUENO;881;5;CRIMINAL;38;2460.5526315789475;1167;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;283;1600154;12319620088030010;16409;287;CRIMINAL;PEQUENO;48;11;CRIMINAL;502;1254.2549800796808;447;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;283;1600154;2223120108030010;16409;287;CRIMINAL;PEQUENO;1;4;CRIMINAL;502;1254.2549800796808;447;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;283;1600303;376033720098030020;6171;5566;CRIMINAL;PEQUENO;70;9;CRIMINAL;22;1780.7727272727275;1104;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;283;1600303;76459820128030000;13396;3632;CRIMINAL;PEQUENO;724;3;CRIMINAL;17;1176.8823529411761;724;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;283;1600303;300607520128030020;6171;5566;CRIMINAL;PEQUENO;548;7;CRIMINAL;22;1780.7727272727275;1104;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;283;1600808;12161920118030012;6417;1209;CRIMINAL;PEQUENO;13;11;CRIMINAL;35;2093.2857142857138;1197;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;283;1600808;12161920118030012;6417;4263;CRIMINAL;PEQUENO;13;11;CRIMINAL;2;13;13;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;283;1600808;12161920118030012;6417;4263;CRIMINAL;PEQUENO;13;11;CRIMINAL;2;13;13;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;300;1600279;22279520118030008;6157;3608;CRIMINAL;PEQUENO;211;8;CRIMINAL;16;1731.1875;2258;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;16082620108030000;6399;7791;CRIMINAL;PEQUENO;1737;1;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;60763320108030000;6399;7791;CRIMINAL;PEQUENO;1426;2;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;65281920108030008;6399;7791;CRIMINAL;PEQUENO;345;2;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;81020420108030000;6399;7791;CRIMINAL;PEQUENO;2641;3;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;83368320108030000;6399;7791;CRIMINAL;PEQUENO;121;3;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;91968420108030000;6399;7791;CRIMINAL;PEQUENO;1440;3;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;93492020108030000;6399;7791;CRIMINAL;PEQUENO;480;3;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;102445420108030016;6399;7791;CRIMINAL;PEQUENO;155;3;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;102611720108030000;6399;7791;CRIMINAL;PEQUENO;846;3;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;114079320108030000;6399;7791;CRIMINAL;PEQUENO;2094;4;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;122817820108030000;6399;7791;CRIMINAL;PEQUENO;324;4;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;147899420108030016;6399;7791;CRIMINAL;PEQUENO;576;4;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;152766420108030016;6399;7791;CRIMINAL;PEQUENO;1017;4;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;161557120108030016;6399;7791;CRIMINAL;PEQUENO;214;5;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;162145920108030016;6399;7791;CRIMINAL;PEQUENO;942;5;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;192995320108030016;6399;7791;CRIMINAL;PEQUENO;811;5;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;198252020108030016;6399;7791;CRIMINAL;PEQUENO;1139;6;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;211450820108030016;6399;7791;CRIMINAL;PEQUENO;477;6;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;213174720108030016;6399;7791;CRIMINAL;PEQUENO;986;6;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;219289720108030016;6399;7791;CRIMINAL;PEQUENO;1135;6;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;220268220108030016;6399;7791;CRIMINAL;PEQUENO;1674;6;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;245132520108030016;6399;7791;CRIMINAL;PEQUENO;292;7;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;252173820108030016;6399;7791;CRIMINAL;PEQUENO;1568;7;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;300795220108030020;6399;1209;CRIMINAL;PEQUENO;1416;8;CRIMINAL;4;817;760.5;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;315717920108030020;6399;7791;CRIMINAL;PEQUENO;2135;9;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;332846820108030020;6399;7791;CRIMINAL;PEQUENO;1163;9;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;337906520108030020;6399;7791;CRIMINAL;PEQUENO;1179;9;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;351235220108030020;6399;7791;CRIMINAL;PEQUENO;688;10;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;375190220108030020;6399;7791;CRIMINAL;PEQUENO;411;10;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;391958220108030020;6399;7791;CRIMINAL;PEQUENO;805;11;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;395664620108030020;6399;7791;CRIMINAL;PEQUENO;1471;11;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;397353320108030020;6399;7791;CRIMINAL;PEQUENO;338;11;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;399795920108030020;6399;7791;CRIMINAL;PEQUENO;2405;11;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;409946320108030020;6399;7791;CRIMINAL;PEQUENO;166;11;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;418096020108030020;6399;7791;CRIMINAL;PEQUENO;206;11;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;431900620108030020;6399;7791;CRIMINAL;PEQUENO;368;12;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;435564520108030020;6399;7791;CRIMINAL;PEQUENO;945;12;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;439488220108030020;6399;7791;CRIMINAL;PEQUENO;683;12;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600303;439851220108030020;6399;7791;CRIMINAL;PEQUENO;525;12;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600600;59106920088030000;6412;7942;CRIMINAL;PEQUENO;36;4;CRIMINAL;67;1384.76119402985;1362;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600600;225375020108030016;6412;7791;CRIMINAL;PEQUENO;2869;6;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600600;245797320088030016;6411;7942;CRIMINAL;PEQUENO;371;11;CRIMINAL;67;1384.76119402985;1362;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600600;245797320088030016;6411;7942;CRIMINAL;PEQUENO;371;11;CRIMINAL;67;1384.76119402985;1362;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600600;428211220108030020;6412;7791;CRIMINAL;PEQUENO;2507;12;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;386;1600600;439444520108030020;6411;7791;CRIMINAL;PEQUENO;1091;12;CRIMINAL;307;1602.1302931596092;1432;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;417;1600303;173964620118030016;6172;3417;CRIMINAL;PEQUENO;28;5;CRIMINAL;2;28;28;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;417;1600303;173964620118030016;6172;4305;CRIMINAL;PEQUENO;28;5;CRIMINAL;2;28;28;1;0;0;0;1;0;0;0;0;1;0;0
TJAP;G1;1116;1600055;237220118030010;16409;6017;EXECUTIVOS;PEQUENO;1687;1;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600055;4348120128030010;16409;6017;EXECUTIVOS;PEQUENO;301;11;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600055;1824420138030010;16409;14;EXECUTIVOS;PEQUENO;288;5;EXECUTIVOS;9;500.99999999999994;288;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600055;3590820138030010;6415;14;EXECUTIVOS;PEQUENO;327;10;EXECUTIVOS;9;500.99999999999994;288;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600055;5080420138030010;16409;14;EXECUTIVOS;PEQUENO;1123;12;EXECUTIVOS;9;500.99999999999994;288;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600105;11514820118030004;6147;6017;EXECUTIVOS;PEQUENO;758;9;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600204;2212620088030007;6151;6017;EXECUTIVOS;PEQUENO;89;5;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600204;8485920108030007;6151;14;EXECUTIVOS;PEQUENO;1787;11;EXECUTIVOS;9;500.99999999999994;288;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600204;2697720118030007;6151;6017;EXECUTIVOS;PEQUENO;913;4;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600204;6161320118030007;6151;6017;EXECUTIVOS;PEQUENO;1323;7;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600204;6179520118030007;6151;6017;EXECUTIVOS;PEQUENO;966;7;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600279;41191020098030008;78603;5946;EXECUTIVOS;PEQUENO;1393;11;EXECUTIVOS;5;1769;1797;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600279;41442320098030008;78603;6017;EXECUTIVOS;PEQUENO;746;11;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600279;17954220128030008;78603;6017;EXECUTIVOS;PEQUENO;611;6;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600279;34805020138030008;78603;14;EXECUTIVOS;PEQUENO;108;10;EXECUTIVOS;9;500.99999999999994;288;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600279;17558920148030008;78603;14;EXECUTIVOS;PEQUENO;75;5;EXECUTIVOS;9;500.99999999999994;288;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600303;99489020098030000;6164;5946;EXECUTIVOS;PEQUENO;1797;3;EXECUTIVOS;5;1769;1797;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600303;11795920108030000;6164;5946;EXECUTIVOS;PEQUENO;186;1;EXECUTIVOS;5;1769;1797;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600303;39813020108030000;6164;6017;EXECUTIVOS;PEQUENO;567;2;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600303;101287220108030000;6164;5952;EXECUTIVOS;PEQUENO;315;3;EXECUTIVOS;13;405.38461538461536;379;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600303;35635820118030000;6164;6017;EXECUTIVOS;PEQUENO;885;1;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600303;103093920118030000;6164;6017;EXECUTIVOS;PEQUENO;1260;3;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600303;216428520118030016;6164;6017;EXECUTIVOS;PEQUENO;762;6;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600303;261350820118030016;6164;6017;EXECUTIVOS;PEQUENO;682;8;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600303;266495820118030016;6164;6017;EXECUTIVOS;PEQUENO;485;8;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600303;267206020118030016;6162;6017;EXECUTIVOS;PEQUENO;1419;8;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600303;267266720118030016;6164;6017;EXECUTIVOS;PEQUENO;1429;8;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600303;182778620128030016;6164;6017;EXECUTIVOS;PEQUENO;2626;5;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600303;380476520128030020;6164;6017;EXECUTIVOS;PEQUENO;1247;9;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600303;412287420128030020;6164;6017;EXECUTIVOS;PEQUENO;293;10;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600501;399720098030009;13703;6017;EXECUTIVOS;PEQUENO;270;1;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600501;35618820118030000;13703;6017;EXECUTIVOS;PEQUENO;105;6;EXECUTIVOS;402;2372.646766169158;2320.5;1;0;0;0;0;0;0;1;0;1;0;0
TJAP;G1;1116;1600600;69288820098030000;6409;5916;EXECUTIVOS;PEQUENO;675;9;EXECUTIVOS;2;1819.5;1819.5;1;0;0;0;0;0;0;1;0;1;0;0
