codtribunal;cod_orgao_julg;desc_orgao_julg;tipo_justica;uf;tipo_processo_classificacao_2;Porte;atuacao_class_2;Classificacao_Arcevo_1;Classificacao_Acervo_2;Median(numero_dias);Count*(npu)
TJAC;3645;2º Juizado Especial Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;206;260
TJAC;6379;Vara de Proteção à Mulher;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1065;63
TJAC;8148;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;880;28
TJAC;8148;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;480;56
TJAC;8149;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;725;30
TJAC;8149;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;411;66
TJAC;8150;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;297;174
TJAC;8151;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;544;30
TJAC;8151;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;378;84
TJAC;8152;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;400;62
TJAC;8152;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;402;65
TJAC;8153;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;213;297
TJAC;8154;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;266;69
TJAC;8155;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;368;228
TJAC;8156;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;476;60
TJAC;81694;2ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1204;41
TJAM;13092;JUIZADO ESPECIAL CIVEL E CRIMINAL DE MANACAPURU;Estadual;AM;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1791;77
TJAM;13092;JUIZADO ESPECIAL CIVEL E CRIMINAL DE MANACAPURU;Estadual;AM;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;2017;79
TJAM;4780;1ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Grande;Acervo Grande;120;22
TJAM;4793;14ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Grande;Acervo Grande;132;33
TJAM;4908;8º VARA DO JUIZADO ESPECIAL CÍVEL;Estadual;AM;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;152;44
TJAM;5060;VARA DO JUIZADO ESPECIAL CÍVEL E CRIMINAL DE PARINTINS;Estadual;AM;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1860;36
TJAM;5065;VARA DO JUIZADO ESPECIAL CÍVEL E CRIMINAL DE COARI;Estadual;AM;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;1860;33
TJAM;5079;1ª VARA DA COMARCA DE TABATINGA;Estadual;AM;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;2335;31
TJAM;74447;CENTRAL DE PRECATÓRIAS;Estadual;AM;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;135;42
TJAM;74447;CENTRAL DE PRECATÓRIAS;Estadual;AM;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;156;40
TJAM;76533;Central de Inquéritos Policiais da Comarca de Manaus;Estadual;AM;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;142;23
TJAP;11712;JUIZADO MICRO EMPRESA E EMPRESA DE PEQUENO PORTE;Estadual;AP;Cível;PEQUENO;Cível;Acervo Pequeno;Acervo Pequeno;1015;366
TJAP;11714;VARA DO JUIZADO ESPECIAL CÍVEL, CRIMINAL E FAZENDA PÚBLICA;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;964;146
TJAP;13396;5ª VARA CRIMINAL DE MACAPÁ;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1827;103
TJAP;13605;4ª VARA CRIMINAL DE MACAPÁ;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1469;259
TJAP;13697;JUIZADO DE VIOLÊNCIA DOMÉSTICA - MCP;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1513;27
TJAP;13703;2ª VARA DA COMARCA DE OIAPOQUE;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1448;144
TJAP;13716;3ª VARA CÍVEL DE SANTANA;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1528;195
TJAP;13718;6ª VARA CÍVEL E DE FAZENDA PÚBLICA DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1845;635
TJAP;13719;4ª VARA DE FAMÍLIA, ORFÃOS E SUCESSÕES DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Médio;Acervo Médio;1565;24
TJAP;16268;4ª VARA DO JUIZADO ESPECIAL CÍVEL - CENTRO-MICRO;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1414;154
TJAP;16272;3ª VARA DO JUIZADO ESPECIAL CÍVEL - CENTRO;Estadual;AP;Cível;PEQUENO;Cível;Acervo Grande;Acervo Grande;1417;150
TJAP;16273;2ª VARA DO JUIZADO ESPECIAL CÍVEL - CENTRO;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1039;223
TJAP;16275;1º JUIZADO ESPECIAL DE FAZENDA PÚBLICA;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1092;1273
TJAP;16276;1ª VARA DO JUIZADO ESPECIAL CÍVEL - CENTRO;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1080;168
TJAP;16409;VARA ÚNICA DE PEDRA BRANCA DO AMAPARI;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1674;52
TJAP;16409;VARA ÚNICA DE PEDRA BRANCA DO AMAPARI;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1763;107
TJAP;43864;2ª VARA DO TRIBUNAL DO JÚRI DE MACAPÁ;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Pequeno;Acervo Pequeno;1354;30
TJAP;43865;5ª VARA DO JUIZADO ESPECIAL CÍVEL - NORTE;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1323;1293
TJAP;43924;SECÇÃO ÚNICA;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;121;32
TJAP;43929;TRIBUNAL PLENO;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1636;52
TJAP;6147;VARA ÚNICA DE AMAPÁ;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1534;49
TJAP;6147;VARA ÚNICA DE AMAPÁ;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1836;103
TJAP;6151;VARA ÚNICA DE CALÇOENE;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Grande;Acervo Grande;1594;46
TJAP;6151;VARA ÚNICA DE CALÇOENE;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1494;98
TJAP;6155;VARA ÚNICA DE FERREIRA GOMES;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1424;72
TJAP;6155;VARA ÚNICA DE FERREIRA GOMES;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1661;129
TJAP;6157;1ª VARA DE LARANJAL DO JARI;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Grande;Acervo Grande;1507;37
TJAP;6157;1ª VARA DE LARANJAL DO JARI;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1612;35
TJAP;6160;2ª VARA DE LARANJAL DO JARI;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Grande;Acervo Grande;1561;36
TJAP;6160;2ª VARA DE LARANJAL DO JARI;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1541;39
TJAP;6162;1ª VARA CÍVEL E DE FAZENDA PÚBLICA DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1266;1340
TJAP;6164;2ª VARA CÍVEL E DE FAZENDA PÚBLICA DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1847;799
TJAP;6165;3ª VARA CÍVEL E DE FAZENDA PÚBLICA DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1849;680
TJAP;6166;4ª VARA CÍVEL E DE FAZENDA PÚBLICA DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1823;528
TJAP;6167;5ª VARA CÍVEL E DE FAZENDA PÚBLICA DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1818;839
TJAP;6171;1ª VARA CRIMINAL DE MACAPÁ;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1355;229
TJAP;6172;2ª VARA CRIMINAL DE MACAPÁ;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1609;445
TJAP;6177;1ª VARA DE FAMÍLIA, ÓRFÃOS E SUCESSÕES DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Médio;Acervo Médio;1651;25
TJAP;6396;3ª VARA DE FAMÍLIA, ÓRFÃOS E SUCESSÕES DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Médio;Acervo Médio;1487;22
TJAP;6398;1ª VARA DO TRIBUNAL DO JÚRI DE MACAPÁ;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;1807;83
TJAP;6399;EXECUÇÃO PENAL;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;2111;73
TJAP;6401;6ª VARA DO JUIZADO ESPECIAL CÍVEL - SUL;Estadual;AP;Cível;PEQUENO;Cível;Acervo Grande;Acervo Grande;1366;254
TJAP;6402;7ª VARA DO JUIZADO ESPECIAL CÍVEL - UNIFAP;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1186;198
TJAP;6404;VARA UNICA DE MAZAGAO;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1705;99
TJAP;6404;VARA UNICA DE MAZAGAO;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1296;137
TJAP;6406;1ª VARA DA COMARCA DE OIAPOQUE;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1525;115
TJAP;6407;VARA ÚNICA DE PORTO GRANDE;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1621;151
TJAP;6407;VARA ÚNICA DE PORTO GRANDE;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1401;131
TJAP;6409;1ª VARA CÍVEL DE SANTANA;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1651;211
TJAP;6410;2ª VARA CÍVEL DE SANTANA;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1497;264
TJAP;6411;1ª VARA CRIMINAL DE SANTANA;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1627;262
TJAP;6412;2ª VARA CRIMINAL DE SANTANA;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;1638;136
TJAP;6414;JUIZADO ESPECIAL CIVEL E CRIMINAL;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1122;293
TJAP;6416;VARA ÚNICA DE TARTARUGALZINHO;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1256;25
TJAP;6416;VARA ÚNICA DE TARTARUGALZINHO;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1477;82
TJAP;6417;VARA ÚNICA DE VITÓRIA DO JARI;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Grande;Acervo Grande;1517;30
TJAP;6417;VARA ÚNICA DE VITÓRIA DO JARI;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1504;149
TJAP;75533;3ª VARA CRIMINAL E DE AUDITORIA MILITAR;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1694;462
TJAP;78603;3ª VARA DE LARANJAL DO JARI;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1726;78
TJAP;78853;2º JUIZADO ESPECIAL DE FAZENDA PÚBLICA;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1531;102
TJBA;49959;2ª TURMA RECURSAL;Estadual;BA;Cível;MÉDIO;Cível;Acervo Inadministrável;Acervo Grande;145;24
TJBA;49964;4ª TURMA RECURSAL;Estadual;BA;Cível;MÉDIO;Cível;Acervo Inadministrável;Acervo Grande;145;33
TJBA;49971;PRIMEIRA CÂMARA CRIMINAL 1ª TURMA;Estadual;BA;Criminal;MÉDIO;Criminal;Acervo Médio;Acervo Médio;119;50
TJBA;49972;PRIMEIRA CÂMARA CRIMINAL 2ª TURMA;Estadual;BA;Criminal;MÉDIO;Criminal;Acervo Médio;Acervo Médio;118;24
TJCE;14170;2ª VARA DA COMARCA DE MOMBAÇA;Estadual;CE;Criminal;MÉDIO;Mista;Acervo Inadministrável;Acervo Grande;2366;24
TJCE;50867;1ª TURMA RECURSAL - JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS;Estadual;CE;Cível;MÉDIO;Mista;Acervo Grande;Acervo Grande;2108;55
TJCE;50867;1� TURMA RECURSAL - JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS;Estadual;CE;Cível;MÉDIO;Mista;Acervo Grande;Acervo Grande;2079;25
TJCE;50868;2� TURMA RECURSAL - JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS;Estadual;CE;Cível;MÉDIO;Mista;Acervo Grande;Acervo Grande;2075;96
TJCE;50913;1ª CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2063;49
TJCE;50913;1� CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2046;76
TJCE;50914;2ª CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2059;74
TJCE;50915;3ª CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2057;46
TJCE;50915;3� CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2050;36
TJCE;50916;4ª CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2215;63
TJCE;50916;4� CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2213;73
TJCE;50918;6ª CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2056;61
TJCE;50918;6� CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2039;21
TJCE;50921;1� CAMARA CRIMINAL;Estadual;CE;Criminal;MÉDIO;Criminal;Acervo Grande;Acervo Grande;166;60
TJCE;50922;2� CAMARA CRIMINAL;Estadual;CE;Criminal;MÉDIO;Criminal;Acervo Grande;Acervo Grande;163;53
TJCE;72208;3� TURMA RECURSAL - JUIZADO ESPECIAL DA FAZENDA PUBLICA;Estadual;CE;Cível;MÉDIO;Cível;Acervo Inadministrável;Acervo Grande;2084;46
TJCE;81560;3� CAMARA CRIMINAL;Estadual;CE;Criminal;MÉDIO;Criminal;Acervo Grande;Acervo Grande;166;33
TJCE;8393;VARA UNICA DA COMARCA DE PEDRA BRANCA;Estadual;CE;Criminal;MÉDIO;Mista;Acervo Médio;Acervo Médio;1984;40
TJCE;8393;VARA UNICA DA COMARCA DE PEDRA BRANCA;Estadual;CE;Cível;MÉDIO;Mista;Acervo Médio;Acervo Médio;2013;25
TJCE;8537;VARA UNICA DA COMARCA DE GUARACIABA DO NORTE;Estadual;CE;Cível;MÉDIO;Mista;Acervo Médio;Acervo Médio;2258;42
TJCE;8566;2� VARA CIVEL DA COMARCA DE CAUCAIA;Estadual;CE;Cível;MÉDIO;Cível;Acervo Médio;Acervo Médio;181;22
TJCE;8676;VARA UNICA DA COMARCA DE TAMBORIL;Estadual;CE;Cível;MÉDIO;Mista;Acervo Grande;Acervo Grande;1993;21
TJCE;8727;2� VARA DA COMARCA DE TIANGUA;Estadual;CE;Criminal;MÉDIO;Mista;Acervo Médio;Acervo Médio;1953;21
TJCE;8740;2� VARA DA COMARCA DE NOVA RUSSAS;Estadual;CE;Cível;MÉDIO;Mista;Acervo Médio;Acervo Médio;2024;24
TJDFT;12923;VARA DE EXECU??ES DAS PENAS E MEDIDAS ALTERNATIVAS DO DF;Estadual;DF;Criminal;MÉDIO;Criminal;Acervo Inadministrável;Acervo Grande;2252;124
TJDFT;14328;SECRETARIA DO CONSELHO ESPECIAL E DA MAGISTRATURA;Estadual;DF;Cível;MÉDIO;Mista;Acervo Inadministrável;Acervo Grande;2344;26
TJDFT;16814;SECRETARIA DA TERCEIRA TURMA CRIMINAL;Estadual;DF;Criminal;MÉDIO;Criminal;Acervo Inadministrável;Acervo Grande;141;61
TJDFT;16815;SECRETARIA DA PRIMEIRA TURMA CRIMINAL;Estadual;DF;Criminal;MÉDIO;Criminal;Acervo Inadministrável;Acervo Grande;147;92
TJDFT;16816;SECRETARIA DA SEXTA TURMA C?VEL;Estadual;DF;Cível;MÉDIO;Cível;Acervo Inadministrável;Acervo Grande;149;110
TJDFT;16817;SECRETARIA DA QUARTA TURMA C?VEL;Estadual;DF;Cível;MÉDIO;Cível;Acervo Inadministrável;Acervo Grande;1535;129
TJDFT;16818;SECRETARIA DA SEGUNDA TURMA C?VEL;Estadual;DF;Cível;MÉDIO;Cível;Acervo Inadministrável;Acervo Grande;1921;110
TJDFT;16819;SECRETARIA DA PRIMEIRA TURMA C?VEL;Estadual;DF;Cível;MÉDIO;Cível;Acervo Inadministrável;Acervo Grande;1996;94
TJDFT;16837;SECRETARIA DA SEGUNDA TURMA CRIMINAL;Estadual;DF;Criminal;MÉDIO;Mista;Acervo Inadministrável;Acervo Grande;140;110
TJDFT;16914;SECRETARIA DA TERCEIRA TURMA C?VEL;Estadual;DF;Cível;MÉDIO;Cível;Acervo Inadministrável;Acervo Grande;1985;112
TJDFT;17837;SECRETARIA DA QUINTA TURMA C?VEL;Estadual;DF;Cível;MÉDIO;Cível;Acervo Inadministrável;Acervo Grande;1581;96
TJDFT;18000;SECRETARIA DA SEGUNDA C?MARA C?VEL;Estadual;DF;Cível;MÉDIO;Cível;Acervo Médio;Acervo Médio;1971;28
TJDFT;43067;VARA DE EXECU??ES DAS PENAS EM REGIME ABERTO;Estadual;DF;Criminal;MÉDIO;Criminal;Acervo Inadministrável;Acervo Grande;2352;52
TJDFT;43142;SERVI?O DE RECURSOS CONSTITUCIONAIS;Estadual;DF;Criminal;MÉDIO;Mista;Acervo Inadministrável;Acervo Grande;2054;127
TJDFT;43142;SERVI?O DE RECURSOS CONSTITUCIONAIS;Estadual;DF;Cível;MÉDIO;Mista;Acervo Inadministrável;Acervo Grande;2013;874
TJDFT;43157;SECRETARIA DA 1? TURMA RECURSAL;Estadual;DF;Cível;MÉDIO;Mista;Acervo Inadministrável;Acervo Grande;130;24
TJDFT;43158;SECRETARIA DA 2? TURMA RECURSAL;Estadual;DF;Cível;MÉDIO;Mista;Acervo Inadministrável;Acervo Grande;130;27
TJDFT;43159;SECRETARIA DA 3? TURMA RECURSAL;Estadual;DF;Cível;MÉDIO;Mista;Acervo Inadministrável;Acervo Grande;146;32
TJDFT;60795;PRESIDENCIA;Estadual;DF;Criminal;MÉDIO;Mista;Acervo Inadministrável;Acervo Grande;144;35
TJDFT;60795;PRESIDENCIA;Estadual;DF;Cível;MÉDIO;Mista;Acervo Inadministrável;Acervo Grande;1535;175
TJDFT;6549;1? VARA C?VEL DE BRAS?LIA;Estadual;DF;Cível;MÉDIO;Cível;Acervo Inadministrável;Acervo Grande;2079;45
TJDFT;6551;2? VARA C?VEL DE BRAS?LIA;Estadual;DF;Cível;MÉDIO;Cível;Acervo Inadministrável;Acervo Grande;2095;33
