cod_orgao_julg;Median(numero_dias);Count*(npu)
12874;2101;39
12875;2104;25
12876;2257;29
12877;2099;21
12878;1938;24
12879;1832;12
12880;1794;3
12881;1811;10
12882;1963;16
12884;2471;1
12885;1914;1
12886;1938;7
12888;1768;3
12889;1760;3
12890;1782;7
12891;2120;7
12892;1907;10
12893;2087;52
12894;2051;54
12895;1808;9
12896;151;6
12897;1966;8
12898;2087;15
12899;2110;3
1290;130;13
12900;2203;12
12901;2060;47
12902;2232;26
12903;1940;11
12904;1959;82
12905;122;3
12906;1874;20
12907;1939;10
12909;2505;3
12910;775;25
12914;118;1
12916;179;8
12923;2252;124
12925;2020;8
12927;1918;6
12928;2136;3
12930;2367;4
12931;1973;1
12932;124;2
12933;2170;8
12934;2007;2
12935;2542;1
12936;2379;4
12937;2085;6
12938;1981;4
12939;2349;11
12940;1878;2
12943;2001;4
12944;1980;5
12946;2019;4
12947;1837;4
12949;1954;1
12950;2182;3
12951;1872;4
12952;2228;5
12953;2162;17
12954;2289;8
12955;2011;6
12957;1905;4
12958;2309;6
12959;1847;4
12960;1855;4
12961;2219;9
12962;2179;5
12963;1843;2
12994;149;2
12995;1652;3
12998;959;14
12999;2503;784
13000;2238;1
13011;2427;6
1307;126;2
13092;1912;156
13101;130;1
13109;137;2
13121;138;2
13122;1589;8
13126;1981;16
13146;122;1
13149;1833;14
13150;1500;5
13156;2485;5
13163;785;1
13181;141;3
13184;151;2
13236;2129;4
13240;2365;11
13275;2303;7
13277;147;16
13281;2496;1
13282;148;6
13283;127;11
13284;127;8
13285;127;3
13286;155;5
13287;174;1
13288;140;9
13289;140;15
13290;138;8
13291;135;8
13292;141;4
13293;149;9
13295;1740;1
13296;138;9
13297;137;7
13298;159;2
13301;309;1
13302;284;2
13307;380;2
13308;799;2
13315;125;1
13319;2066;1
13324;2177;80
13325;2127;182
13326;1896;197
13327;1914;59
13351;127;1
13358;139;2
13360;1703;21
13365;965;2
13367;433;2
13373;459;1
13375;2204;9
13380;1423;11
13381;123;2
13385;2324;1
13386;2289;4
13387;2251;7
13391;148;1
13396;1827;103
13401;2399;1
13402;2300;6
13559;2451;14
13562;127;1
13573;2056;4
13574;2037;3
13575;2119;2
13578;246;1
13592;202;20
13596;2254;7
13597;2260;19
13598;140;4
13600;1063;1
13605;1469;259
13674;116;2
13677;1946;1
13685;153;6
13691;2176;116
13693;196;1
13694;141;1
13696;1642;5
13697;1513;29
13701;141;36
13703;1407;146
13710;154;3
13711;1093;45
13716;1528;195
13718;1845;635
13719;1565;24
13720;2078;9
13721;866;17
13722;121;4
13726;134;2
13737;242;2
13739;2300;5
13740;127;1
13743;1642;8
13745;199;1
13746;126;1
13754;1940;12
13788;2222;7
13791;149;1
13792;129;2
13794;116;2
13799;2339;2
13804;312;9
13811;2204;8
13814;160;1
13815;134;5
13817;118;2
13818;152;2
13821;131;3
13822;142;9
13824;1712;1
13838;1231;1
13839;1369;2
13843;2145;9
13844;1896;8
13845;1848;9
13846;1992;5
13848;2290;3
13850;1921;2
13855;118;4
13858;124;2
13859;138;1
13860;142;1
13866;2170;15
13867;2010;20
13869;1661;14
13873;2331;4
13877;1875;11
13881;163;8
13882;145;2
13884;142;2
13889;119;1
13892;2299;8
13893;133;1
13894;168;3
13895;2072;14
13899;133;1
13900;152;2
13905;2184;3
13906;125;4
13907;1547;2
13908;2438;14
13910;120;4
13919;2545;1
13920;131;6
13923;145;2
13930;1854;6
13931;136;50
13933;1809;12
13935;132;1
13944;134;1
13945;170;9
13959;1617;6
13960;133;1
13961;134;1
13968;2325;12
13974;147;1
13975;2554;2
13976;2561;4
13977;2147;25
13978;2140;7
13979;117;1
13983;1779;3
13986;214;5
13989;2172;13
13990;2109;25
13991;2233;22
13992;2138;19
13993;2029;31
13994;2216;28
13995;2100;36
13996;2305;31
13997;2253;21
13998;2073;37
13999;2050;19
14000;2075;28
14002;2028;11
14003;1973;8
14004;2045;13
14005;2144;15
14006;2114;12
14007;2514;5
14008;2001;4
14009;2043;4
14010;1273;1
14012;2047;4
14013;2114;21
14021;371;4
14030;118;1
14031;128;3
14032;120;1
14033;128;2
14036;124;2
14038;2133;7
14039;1949;42
14041;431;2
14042;126;1
14043;125;2
14044;221;4
14045;130;2
14046;131;3
14047;305;4
14048;261;3
14049;318;7
14050;401;6
14051;271;5
14052;330;2
14053;315;3
14057;2100;20
14059;1196;112
14060;1024;110
14061;1904;11
14062;1131;14
14068;115;2
14070;2192;2
14072;150;2
14075;1041;79
14076;139;1
14080;2028;22
14081;1846;2
14085;2281;10
14086;131;2
14099;138;5
14104;2060;5
14105;144;7
14111;2247;4
14113;2541;3
14114;1671;3
14116;129;1
14117;127;6
14120;161;1
14123;922;9
14135;1977;4
14136;151;1
14137;117;2
14145;133;2
14146;115;1
14147;145;5
14148;121;1
14152;1745;13
14157;123;4
14159;133;1
14161;267;4
14165;2343;16
14167;1885;69
14169;1826;2
14170;2287;41
14190;160;1
14192;140;1
14194;118;1
14196;373;5
14222;1476;1
14233;134;5
14238;1507;18
14239;161;3
14240;1883;2
14241;2051;16
14244;136;2
14246;2474;2
14247;2121;2
14250;129;4
14254;1876;1
14255;131;16
14256;2521;5
14257;2472;3
14258;1464;1
14259;126;8
14260;141;15
14262;2514;1
14263;1548;31
14264;2575;13
14265;118;7
14266;1729;2
14267;2521;9
14268;2025;1
14269;1484;1
14271;119;6
14272;1534;40
14273;2471;45
14275;2514;3
14278;116;4
14280;146;6
14281;142;2
14285;2525;6
14287;127;8
14288;1817;2
14290;2501;3
14291;2114;4
14292;168;4
14293;2490;14
14295;1674;6
14296;1921;11
14298;118;8
14299;123;4
14300;169;2
14304;120;2
14306;116;2
14309;2051;29
14310;160;1
14311;416;3
14312;117;4
14314;2184;7
14318;146;3
14320;162;5
14328;2344;27
14329;144;4
14332;2483;1
14335;1825;20
14336;1637;30
14337;1367;1
14338;1190;17
14339;844;2
14340;742;62
14341;804;21
14342;596;14
14343;1387;62
14344;953;150
14345;1829;26
14347;985;66
14348;626;6
14350;2248;1
14351;799;33
14352;1295;6
14353;1298;50
14355;874;48
14356;1688;6
14357;785;34
14358;1197;9
14359;1155;21
14361;991;24
14362;2075;7
14364;912;7
14366;1017;15
14369;1127;51
14371;1756;14
14373;1711;6
14375;2270;1
14377;1678;30
14378;967;5
14379;1131;40
14381;2114;108
14383;2358;3
14384;1380;75
14385;1073;13
14386;1353;7
14391;1019;7
14395;1273;6
14397;1245;21
14400;1787;39
14402;959;22
14403;2018;4
14405;1212;14
14408;119;2
14414;153;2
14419;145;1
14420;135;1
14425;130;6
14427;140;2
14428;1882;1
14437;115;1
14441;132;6
14454;116;2
14485;125;6
14491;120;2
14496;136;2
14508;136;3
14512;1376;12
14513;1597;2
14514;1953;9
14515;1629;6
14516;1561;33
14517;1689;30
14518;1336;12
14519;1620;19
14520;1518;11
14521;1644;22
14522;1329;24
14523;1826;7
14524;1933;71
14525;1271;4
14526;1548;21
14527;1483;8
14528;1025;2
14529;1737;31
14530;1447;20
14531;1246;6
14532;1280;2
14533;1448;7
14534;2394;45
14535;1601;5
14536;1601;9
14537;2214;53
14538;1518;17
14539;1404;18
14541;1457;4
14542;175;6
14543;1978;1
14544;2275;50
14545;153;10
14546;1530;39
14547;1408;13
14549;2248;11
14550;1310;10
14551;2226;83
14552;1537;8
14554;1754;43
14555;1576;61
14556;1001;5
14559;1401;4
14560;130;19
14561;1599;29
14562;2491;8
14563;1548;13
14564;1651;15
14565;1534;28
14603;118;3
14604;143;4
14605;2565;10
14606;2484;1
14608;2222;11
14609;2027;5
14610;2016;11
14611;1757;2
14612;2567;9
14613;1826;6
14614;1980;9
14615;120;4
14618;2597;25
14619;169;5
14620;122;3
14621;2046;2
14622;1949;4
14623;2219;3
14625;2026;3
14626;1886;4
14627;2283;2
14629;2037;5
14631;2163;13
14632;134;2
14633;2103;4
14635;1960;13
14636;1789;9
14637;2258;11
14638;1792;3
14639;2436;3
14641;248;2
14642;1802;1
14644;2057;9
14646;1980;3
14647;2257;45
14649;2129;1
14652;2311;1
14653;1982;4
14654;1794;7
14655;1736;1
14656;2421;2
14658;2099;29
14659;121;3
14662;1827;14
14663;2081;1
14666;2225;23
14667;149;6
14668;2333;39
14671;123;8
14672;2016;1
14673;1947;1
14675;1912;3
14676;2491;25
14678;2578;1
14679;2174;35
14680;2515;41
14681;2471;1
14683;2151;2
14684;1845;16
14686;2211;13
14687;2055;1
14689;2025;11
14690;2448;48
14691;2175;12
14692;2107;2
14693;1974;7
14694;2575;4
14695;2146;20
14696;2574;10
14698;1747;1
14699;2167;9
14700;2220;10
14701;2342;6
14702;2156;7
14703;2581;58
14704;1921;1
14705;2013;51
14706;2387;5
14707;157;2
14716;2332;2
14717;130;2
14720;130;4
14723;2205;1
14724;2192;1
14728;1838;2
14733;1958;2
14734;2515;1
14739;1869;1
14740;115;2
14746;139;8
14747;117;8
14748;128;10
14749;1810;2
14752;2562;1
14754;2242;2
14758;143;10
14759;125;8
14760;2137;1
14766;2486;2
14767;128;5
14771;2276;2
14772;126;3
14773;2199;1
14781;148;6
14783;133;3
14785;2170;1
14786;129;2
14787;115;2
14788;117;12
14790;128;4
14794;115;14
14796;1861;1
14815;117;8
14822;123;22
14826;2071;1
14829;1890;1
14834;2126;1
14837;118;2
14839;1953;1
14840;119;1
14842;130;2
14843;127;12
14848;2521;7
14849;2015;1
14850;119;2
14851;139;4
14852;1929;1
14858;2097;3
14860;2177;1
14863;148;2
14869;2060;1
14872;1910;2
14873;132;8
14874;2303;1
14882;145;2
14889;1944;2
14894;2484;3
14895;1848;1
14897;127;9
14898;129;2
14900;1834;1
14902;1912;1
14907;136;2
14909;1996;3
14917;115;6
14919;977;2
14921;137;2
14922;1350;11
14926;1743;2
14927;2183;30
14930;2217;1
14931;2148;5
14937;115;2
14938;2044;1
14941;125;12
14945;142;6
14949;1240;2
14955;1449;2
14971;921;1
14974;941;2
14977;1856;2
14978;1212;7
14979;1202;2
14985;1962;1
14986;1554;11
14987;1772;6
14988;2522;2
14989;2588;1
14996;1849;3
15000;1445;6
15001;1366;8
15003;1634;25
15004;858;2
15006;2477;3
15008;771;2
15009;850;3
15010;1350;12
15011;1243;3
15012;1278;3
15015;1649;6
15016;1004;8
15017;997;118
15018;1649;9
15019;1441;44
15021;1667;1
15022;1491;20
15023;1166;4
15024;1802;7
15026;2297;12
15027;989;4
15028;787;18
15031;147;8
15037;2306;1
15038;1638;12
15040;1173;15
15041;1063;3
15044;958;1
15045;1034;8
15046;136;2
15049;1821;2
15050;1826;35
15051;1960;1
15054;2241;1
15057;1394;10
15059;125;3
15060;1338;14
15064;130;2
15066;1086;12
15067;1702;2
15071;2485;1
15072;1281;1
15076;2275;1
15078;1948;3
15079;1172;9
15080;1385;3
15082;1602;11
15084;1658;7
15085;1422;7
15086;2007;10
15087;1622;4
15092;877;2
15093;2186;3
15094;1596;11
15096;1995;2
15100;1148;24
15102;1121;40
15104;980;14
15105;1248;5
15106;1746;7
15107;1430;1
15113;136;6
15120;2183;1
15127;144;2
15128;1118;14
15129;2205;4
15130;1827;3
15134;1496;15
15137;123;6
15142;1690;2
15143;1516;1
15144;1091;30
15145;1844;2
15146;868;63
15149;1681;21
15151;1878;2
15152;965;11
15154;1613;1
15165;2254;1
15175;924;46
15177;1228;13
15178;1204;45
15179;1163;8
15180;1617;12
15181;1281;16
15182;1102;11
15183;1882;9
15185;2408;5
15186;1712;4
15188;1209;3
15198;2587;1
15199;2198;1
15201;1545;5
15204;970;2
15209;2343;3
15211;1037;7
15213;2191;3
15214;2006;38
15216;1009;2
15217;1305;10
15218;1101;28
15220;1141;4
15221;2038;1
15222;2233;1
15223;1034;5
15229;1038;3
15232;1217;3
15235;1210;12
15237;2148;3
15238;1796;2
15241;2047;4
15242;1029;4
15244;1644;1
15249;1917;3
15251;1629;1
15252;1278;3
15262;994;34
15263;1691;1
15264;1430;18
15265;924;2
15272;1906;3
15276;118;9
15281;1385;12
15282;977;1
15285;131;4
15293;1149;9
15294;1850;3
15295;1405;14
15296;2262;1
15298;149;1
15299;2502;1
15303;140;11
15311;1850;2
15314;120;4
15320;126;4
15324;2369;1
15332;2477;2
15334;1963;1
15335;1879;3
15336;2293;2
15338;1847;2
15344;144;2
15345;2256;3
15347;126;2
15350;138;2
15353;1873;2
15357;1960;1
15360;2593;5
15363;2318;1
15365;2108;1
15371;1948;1
15373;147;3
15377;120;3
15378;1872;3
15380;139;2
15390;128;8
15393;133;18
15394;121;2
15404;125;3
15405;125;2
15406;123;3
15409;116;4
15416;136;8
15417;143;4
15418;128;2
15421;140;2
15423;137;6
15429;133;2
15430;142;5
15431;125;2
15439;138;8
15441;124;9
15446;127;4
15451;132;4
15453;137;12
15463;133;6
15467;132;6
15472;125;4
15474;146;2
15475;120;2
15479;140;4
15484;132;4
15485;123;2
15494;134;4
15497;132;1
15498;134;2
15505;119;4
15506;128;2
15511;123;4
15512;131;2
15514;140;4
15515;160;2
15516;131;4
15520;118;2
15526;116;4
15527;174;2
15528;118;4
15530;123;2
15531;155;2
15532;121;4
15533;160;2
15535;119;6
15536;136;18
15538;160;2
15539;126;2
15543;116;2
15547;126;4
15550;118;2
15556;124;4
15557;119;2
15559;161;2
15566;141;12
15567;146;2
15568;119;2
15574;134;2
15576;128;10
15581;132;2
15584;157;2
15588;151;2
15590;120;4
15592;116;4
15594;129;4
15601;996;5
15602;837;110
15603;883;9
15604;513;13
15605;923;8
15606;1143;2
15607;152;18
15608;916;9
15609;611;9
15610;2345;1
15611;131;12
15612;2256;1
15613;294;10
15615;1118;8
15616;945;11
15618;715;46
15619;130;7
15620;276;1
15621;390;10
15622;410;6
15623;1853;11
15624;1046;71
15625;1159;12
15626;1525;1
15627;1424;3
15628;524;16
15630;155;7
15632;115;7
15634;126;2
15635;915;6
15639;127;2
15640;124;1
15644;124;1
15650;125;1
15681;1551;3
15690;121;24
15693;128;8
15695;2001;3
15705;148;1
15724;140;20
1573;119;16
15735;133;14
15740;141;36
15750;160;4
15751;159;4
15756;127;2
15758;121;8
15765;127;24
15766;116;12
15768;146;2
15771;125;32
15775;140;20
15788;131;8
15804;127;8
15808;149;8
15809;125;8
15810;161;4
15811;143;2
15812;173;4
15815;117;10
15818;153;8
15834;172;12
15835;131;32
15845;125;8
15848;119;8
15855;146;32
15870;179;6
15874;168;12
15878;174;4
15879;171;4
15883;134;10
15886;146;8
15887;149;24
15893;133;16
15902;130;8
15913;155;8
15918;132;2
15919;126;8
15922;116;8
15930;145;8
15937;146;4
15938;122;8
15943;133;8
15950;120;12
15953;124;2
15963;124;66
15965;134;8
15970;133;8
15978;138;34
15988;116;8
15996;154;18
16004;133;8
16006;119;8
16010;136;8
16019;158;2
16023;126;2
16026;1470;64
16027;315;19
16028;752;27
16029;842;169
16030;1042;24
16031;575;36
16032;762;19
16033;317;41
16034;617;57
16035;533;26
16037;1826;11
16041;1844;29
16042;2385;4
16043;2314;21
16044;130;2
16047;2150;1
16049;1733;1
16051;1962;83
16055;173;28
16057;2549;1
16058;2327;5
16059;2556;7
16060;142;2
16061;120;10
16062;2169;8
16065;134;6
16068;2024;79
16069;119;16
16070;122;4
16071;127;2
16072;128;5
16073;1457;49
16074;122;12
16075;122;6
16078;2169;5
16080;130;3
16081;1763;8
16084;1974;33
16085;2278;19
16086;122;9
16089;145;12
1609;126;1
16090;1842;19
16091;2080;9
16093;160;6
16094;134;2
16097;141;46
16106;174;36
16107;1846;1
16110;118;8
16111;133;14
16112;164;14
16113;128;10
16117;1594;78
16120;2416;3
16122;132;25
16125;131;17
16126;147;6
16132;1366;21
16134;124;16
16135;137;10
16136;142;4
16144;1674;1
16145;2448;14
16146;133;24
16151;1606;11
16155;163;4
16156;136;3
16158;2469;10
16160;130;2
16162;124;10
16164;2292;96
16165;2222;10
16166;2264;8
16167;2317;16
16170;1674;22
16172;2198;49
16173;1402;29
16174;1696;1
16175;118;4
16176;133;10
16177;2374;13
16178;2382;15
16179;115;2
16180;174;8
16184;1927;63
16188;2190;5
16189;1294;4
16190;2062;6
16191;2285;1
16193;2374;51
16195;1658;2
16197;2305;2
16198;2230;42
16199;2314;1
16200;2052;1
16201;1635;9
16202;2208;4
16204;2524;1
16205;1290;2
16206;1555;11
16207;157;4
16208;2080;1
16210;2181;2
16211;2248;34
16212;2290;1
16214;1417;11
16215;124;2
16219;2536;8
16221;1854;28
16223;2439;56
16225;2120;2
16227;1078;69
16230;2217;39
16231;2402;41
16232;2376;34
16234;2273;1
16235;2379;1
16236;141;41
16238;1439;1
16239;2428;46
16241;1470;3
16242;2314;3
16243;2222;36
16244;125;14
16246;119;2
16249;1967;4
16251;165;4
16252;1917;12
16256;133;2
16263;175;5
16266;149;1
16268;1414;154
16272;1417;150
16273;1039;223
16275;1092;1273
16276;1080;168
16297;2285;1
16298;2304;7
16300;1755;4
16313;130;2
16315;120;4
16317;1869;4
16322;144;27
16324;134;3
16326;2423;1
16328;119;4
16329;117;4
1633;126;6
16330;144;6
16332;125;5
16333;1462;14
16334;122;12
16335;124;23
16336;1836;1
16343;158;6
16345;139;2
16346;131;2
16347;2135;1
16348;126;2
16349;123;2
16351;1434;2
16352;132;4
16359;124;1
16360;1842;1
16365;125;2
16370;143;15
16373;2165;1
16378;117;6
16379;1830;1
16382;126;1
16383;120;1
16409;1709;159
1641;135;2
16415;142;1
16419;2121;2
16421;290;14
16423;1304;14
16426;120;1
16427;155;9
16428;2533;1
16429;1036;1
16431;1197;3
16437;118;1
16445;125;3
16447;130;7
16449;120;2
16451;129;1
16462;2416;1
16468;1876;4
16469;2148;26
16474;179;2
16475;2519;5
16487;126;1
16494;124;8
16495;2099;11
16496;1999;15
16497;2088;12
16498;132;1
16500;139;5
16501;1862;6
16502;141;14
16503;149;4
16505;141;7
16509;139;4
16510;123;2
16511;1601;1
16514;2078;29
16515;124;9
16518;148;4
16529;118;2
16530;160;1
16533;136;12
16534;2460;1
16536;877;26
16544;2484;1
16546;117;1
16547;2518;1
16548;123;17
16552;125;1
16553;116;2
16554;125;6
16555;125;3
16562;145;4
16563;1858;1
16566;122;1
