codtribunal;grau;cod_orgao_julg;desc_orgao_julg;tipo_justica;uf;tipo_processo_classificacao_2;Porte;atuacao_class_2;Classificacao_Arcevo_1;Classificacao_Acervo_2;Median(numero_dias);Count*(npu);Sum(numero_dias);Mean(numero_dias)
TJAC;G1;3613;2ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;702;191;154600;809.424083769634
TJAC;G1;3614;1ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;921;79;73665;932.4683544303797
TJAC;G1;3615;2ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;435;81;43792;540.6419753086419
TJAC;G1;3615;Central de Execução de Penas Alternativas;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;432;18;11188;621.5555555555554
TJAC;G1;3621;1ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;681;471;411381;873.4203821656049
TJAC;G1;3622;2ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;791;431;399106;926.0000000000001
TJAC;G1;3623;3ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;762;455;401677;882.8065934065938
TJAC;G1;3624;4ª Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;627;384;320932;835.7604166666666
TJAC;G1;3625;1ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;914;137;133962;977.8248175182489
TJAC;G1;3626;Vara de Delitos de Organizações Criminosas;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;663;120;116087;967.391666666667
TJAC;G1;3627;3ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1136;100;114157;1141.5700000000002
TJAC;G1;3628;4ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;708;135;116428;862.4296296296295
TJAC;G1;3629;Vara de Execuções Penais;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Médio;Acervo Médio;2520;9;19774;2197.111111111111
TJAC;G1;3630;1ª Vara de Família;Estadual;AC;Cível;PEQUENO;Cível;Acervo Pequeno;Acervo Pequeno;325;11;4060;369.09090909090907
TJAC;G1;3631;3ª Vara de Família;Estadual;AC;Cível;PEQUENO;Cível;Acervo Pequeno;Acervo Pequeno;151;4;2444;611
TJAC;G1;3632;1ª Vara da Fazenda Pública;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;622;403;371490;921.8114143920585
TJAC;G1;3633;2ª Vara da Fazenda Pública;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;457;296;200199;676.3479729729733
TJAC;G1;3635;Vara de Ófãoe e Sucessões;Estadual;AC;Cível;PEQUENO;Cível;Acervo Médio;Acervo Médio;518;53;34784;656.3018867924524
TJAC;G1;3636;Vara de Registros Públicos, Órfãos e Sucessões e de Cartas Precatórias Cíveis;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;206;88;23922;271.840909090909
TJAC;G1;3638;1ª Vara do Tribunal do Juri;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;813;44;43100;979.5454545454545
TJAC;G1;3639;1º Juizado Especial Civel;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;2443;1;2443;2443
TJAC;G1;6379;Vara de Proteção à Mulher;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1065;63;71658;1137.4285714285709
TJAC;G1;74300;Vara de Proteção à Mulher e Execuções Penais;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;128;2;292;146
TJAC;G1;74302;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;130;1;130;130
TJAC;G1;8148;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;134;4;4709;1177.25
TJAC;G1;8148;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1890;3;4099;1366.3333333333333
TJAC;G1;8149;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1509;17;21910;1288.8235294117646
TJAC;G1;8149;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1031;37;37161;1004.3513513513515
TJAC;G1;8150;Vara Única;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;195;6;5139;856.5
TJAC;G1;8150;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;138;4;4281;1070.25
TJAC;G1;8151;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;500;10;9546;954.6
TJAC;G1;8151;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;673;35;29223;834.9428571428571
TJAC;G1;8152;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;2042;2;4404;2202
TJAC;G1;8152;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1801;4;7589;1897.25
TJAC;G1;8153;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1901;52;99130;1906.3461538461527
TJAC;G1;8154;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1941;12;24701;2058.4166666666665
TJAC;G1;8155;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;2066;27;53355;1976.111111111111
TJAC;G1;8156;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;190;10;11948;1194.8000000000002
TJAC;G1;81694;2ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1204;41;49061;1196.6097560975616
TJAC;G2;33548;CÂMARA CRIMINAL;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;232;206;98542;478.3592233009711
TJAC;G2;33549;1ª CÂMARA CÍVEL;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;322;127;65657;516.9842519685043
TJAC;G2;33550;2ª CÂMARA CÍVEL;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;147;17;2554;150.23529411764707
TJAC;G2;33563;TRIBUNAL PLENO JURISDICIONAL;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Grande;Acervo Grande;547;7;4220;602.8571428571429
TJAC;G2;33563;TRIBUNAL PLENO JURISDICIONAL;Estadual;AC;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;394;21;8535;406.4285714285713
TJAC;G2;74296;Gabinete da Vice-Presidência;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Grande;Acervo Grande;142;5;743;148.6
TJAC;JE;11674;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;230;131;37596;286.9923664122135
TJAC;JE;16426;2ª Vara do Tribunal do Juri;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Médio;Acervo Médio;120;1;120;120
TJAC;JE;17049;Vara Única;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;224;23;7973;346.6521739130435
TJAC;JE;17049;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;168;64;14695;229.6093749999999
TJAC;JE;17050;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;455;7;3720;531.4285714285714
TJAC;JE;17050;Vara Única;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;245;18;7837;435.3888888888889
TJAC;JE;17050;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;227;27;8320;308.1481481481481
TJAC;JE;17053;Juizado Especial da Fazenda Pública;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;132;50;7073;141.45999999999987
TJAC;JE;17054;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;131;4;550;137.5
TJAC;JE;17054;Vara Única;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;261;56;25847;461.55357142857133
TJAC;JE;17054;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;184;52;16064;308.9230769230768
TJAC;JE;3588;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;181;24;6155;256.4583333333333
TJAC;JE;3604;Vara Civel;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;2327;1;2327;2327
TJAC;JE;3604;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;276;71;35003;492.99999999999994
TJAC;JE;3605;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;616;43;34526;802.9302325581396
TJAC;JE;3608;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;366;241;112137;465.2987551867222
TJAC;JE;3609;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;398;47;23416;498.2127659574467
TJAC;JE;3614;1ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;423;49;31478;642.408163265306
TJAC;JE;3616;Juizado Especial Civel e de Fazenda Publica;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1201;9;10267;1140.7777777777776
TJAC;JE;3616;Juizado Especial Civel e de Fazenda Pública;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;190;36;19559;543.3055555555552
TJAC;JE;3639;1º Juizado Especial Civel;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;265;975;372230;381.7743589743599
TJAC;JE;3639;1º Juizado Especial Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;232;118;33165;281.0593220338985
TJAC;JE;3641;2º Juizado Especial Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;296;1413;532130;376.59589525831524
TJAC;JE;3642;3º Juizado Especial Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;308;1327;576376;434.3451394122072
TJAC;JE;3644;1º Juizado Especial Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;231;172;55654;323.56976744186073
TJAC;JE;3645;2º Juizado Especial Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;206;260;94847;364.796153846154
TJAC;JE;74302;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;149;1;149;149
TJAC;JE;8148;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;880;24;24697;1029.0416666666665
TJAC;JE;8148;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;480;53;30604;577.4339622641508
TJAC;JE;8149;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;569;13;8157;627.4615384615383
TJAC;JE;8149;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;241;29;9223;318.0344827586206
TJAC;JE;8150;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;504;18;10256;569.7777777777776
TJAC;JE;8150;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;194;1;194;194
TJAC;JE;8150;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;297;170;68337;401.9823529411765
TJAC;JE;8151;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;654;20;13736;686.7999999999998
TJAC;JE;8151;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;327;49;19261;393.0816326530611
TJAC;JE;8152;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;399;60;33353;555.883333333333
TJAC;JE;8152;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;366;61;25888;424.39344262295066
TJAC;JE;8153;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;192;245;67983;277.4816326530614
TJAC;JE;8154;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;251;57;23940;419.9999999999999
TJAC;JE;8155;Vara Civel;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;463;4;3782;945.5
TJAC;JE;8155;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;324;201;84353;419.6666666666664
TJAC;JE;8156;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;476;50;35990;719.8
TJAC;TR;33567;1ª TURMA RECURSAL;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;145;30;10346;344.8666666666665
TJAC;TR;33572;2ª TURMA RECURSAL;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;177;36;6995;194.30555555555554
TJAL;G1;17056;Foro de Coruripe - 2º Vara de Coruripe;Estadual;AL;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;122;2;271;135.5
TJAL;G1;17056;Foro de Coruripe - 2º Vara de Coruripe;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;125;1;125;125
TJAL;G1;5735;Foro de Boca da Mata - Vara do Único Ofício de Boca da Mata;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;136;1;136;136
TJAL;G1;5756;Foro de Campo Alegre - Vara do Único Ofício de Campo Alegre;Estadual;AL;Criminal;PEQUENO;Mista;Acervo Grande;Acervo Grande;127;1;127;127
TJAL;G1;5756;Foro de Campo Alegre - Vara do Único Ofício de Campo Alegre;Estadual;AL;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;126;4;494;123.5
TJAL;G1;5774;Foro de Batalha - Vara do Único Ofício de Batalha;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;122;1;122;122
TJAL;G1;5789;Foro Colônia Leopoldina - Vara do Único Ofício Colônia Leopoldina;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;116;1;116;116
TJAL;G1;5794;Foro de Feira Grande - Vara do Único Ofício de Feira Grande;Estadual;AL;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;120;1;120;120
TJAL;G1;5862;Foro de Joaquim Gomes - Vara do Único Ofício de Joaquim Gomes;Estadual;AL;Criminal;PEQUENO;Mista;Acervo Grande;Acervo Grande;123;1;123;123
TJAL;G1;5862;Foro de Joaquim Gomes - Vara do Único Ofício de Joaquim Gomes;Estadual;AL;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;153;3;457;152.33333333333331
TJAL;G1;5872;Foro de Matriz de Camaragibe - Vara do Único Ofício de Matriz de Camaragibe;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;116;1;116;116
TJAL;G1;5895;Foro de Passo de Camaragibe - Vara  de Único Ofício de Passo de Camaragibe;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;119;1;119;119
TJAL;G1;5904;Foro de São Sebastião - Vara do Único Ofício do São Sebastião;Estadual;AL;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;122;2;244;122
TJAL;G1;5904;Foro de São Sebastião - Vara do Único Ofício do São Sebastião;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;123;4;492;123
TJAL;G1;5907;Foro de Taquarana - Vara do Único Ofício de Taquarana;Estadual;AL;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;129;1;129;129
TJAL;G1;5909;Foro de Teotônio Vilela - Vara do Único Ofício do Teotônio Vilela;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;141;1;141;141
TJAL;G1;6201;Foro de Marechal Deodoro - 1ª Vara Cível e Criminal/Inf. e Juventude de Marechal Deodoro;Estadual;AL;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;147;4;573;143.25
TJAL;G1;6201;Foro de Marechal Deodoro - 1ª Vara Cível e Criminal/Inf. e Juventude de Marechal Deodoro;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;129;4;524;131
TJAL;G1;6203;Foro de Pilar - Vara do Único Ofício de Pilar;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;146;1;146;146
TJAL;G1;6246;Foro de São José da Laje - Vara do Único Ofício de São José da Laje;Estadual;AL;Criminal;PEQUENO;Mista;Acervo Grande;Acervo Grande;147;1;147;147
TJAL;G1;6246;Foro de São José da Laje - Vara do Único Ofício de São José da Laje;Estadual;AL;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;142;3;418;139.33333333333331
TJAL;G1;6330;Foro de Arapiraca - 3ª Vara de Arapiraca / Cível Residual;Estadual;AL;Cível;PEQUENO;Cível;Acervo Médio;Acervo Médio;135;1;135;135
TJAL;G1;6360;Foro de Arapiraca - 5ª Vara de Arapiraca / Criminal;Estadual;AL;Criminal;PEQUENO;Criminal;Acervo Médio;Acervo Médio;151;4;604;151
TJAL;G1;6368;Foro de Arapiraca - 9ª Vara de Arapiraca / Família e Sucessões;Estadual;AL;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;134;7;940;134.28571428571428
TJAL;G1;6370;Foro de Arapiraca - 10ª Vara de Arapiraca / Família e Sucessões;Estadual;AL;Cível;PEQUENO;Cível;Acervo Médio;Acervo Médio;145;6;854;142.33333333333334
TJAL;G1;6504;Foro de Anadia - Vara do Único Ofício de Anadia;Estadual;AL;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;132;5;679;135.8
TJAL;G1;6504;Foro de Anadia - Vara do Único Ofício de Anadia;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;143;7;990;141.42857142857142
TJAL;G1;6535;Foro de Major Isidoro - Vara do Único Ofício de Major Isidoro;Estadual;AL;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;124;2;271;135.5
TJAL;G1;6535;Foro de Major Isidoro - Vara do Único Ofício de Major Isidoro;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;120;2;272;136
TJAL;G1;6550;Foro de Paripueira - Vara do Único Ofício de Paripueira;Estadual;AL;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;119;1;119;119
TJAL;G1;6550;Foro de Paripueira - Vara do Único Ofício de Paripueira;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;139;2;283;141.5
TJAL;G1;6562;Foro de São José da Tapera - Vara do Único Ofício de São José da Tapera;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;153;1;153;153
TJAL;G1;6572;Foro de Santa Luzia do Norte - Vara do Único Ofício de Santa Luzia do Norte;Estadual;AL;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;153;1;153;153
TJAL;G1;6577;Foro de Delmiro Gouveia - 1º Vara de Delmiro Gouveia / Infância e Juventude;Estadual;AL;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;136;1;136;136
TJAL;G1;6577;Foro de Delmiro Gouveia - 1º Vara de Delmiro Gouveia / Infância e Juventude;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;129;1;129;129
TJAL;G1;6592;Foro de Maragogi - Vara de Único Ofício do Maragogi;Estadual;AL;Criminal;PEQUENO;Mista;Acervo Grande;Acervo Grande;2455;3;5036;1678.6666666666665
TJAL;G1;6649;Foro de Porto Calvo - 1ª Vara de Porto Calvo;Estadual;AL;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;135;1;135;135
TJAL;G1;6696;Foro de Maceió - 2ª Vara Cível da Capital;Estadual;AL;Cível;PEQUENO;Cível;Acervo Grande;Acervo Grande;132;3;382;127.33333333333333
TJAL;G1;6704;Foro de Maceió - 5ª Vara Cível da Capital;Estadual;AL;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;134;1;134;134
TJAL;G1;6710;Foro de Maceió - 8ª Vara Cível da Capital;Estadual;AL;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;126;1;126;126
TJAL;G1;8180;Foro de Maceió - 2ª Vara Criminal da Capital;Estadual;AL;Criminal;PEQUENO;Criminal;Acervo Médio;Acervo Médio;146;5;720;144
TJAL;G1;8183;Foro de Maceió - 4ª Vara Criminal da Capital;Estadual;AL;Criminal;PEQUENO;Criminal;Acervo Médio;Acervo Médio;131;7;913;130.42857142857144
TJAL;G1;8191;Foro de Maceió - 12ª Vara Criminal da Capital;Estadual;AL;Criminal;PEQUENO;Criminal;Acervo Médio;Acervo Médio;128;8;1048;131
TJAM;G1;4780;1ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Grande;Acervo Grande;120;22;2764;125.63636363636365
TJAM;G1;4781;2ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;133;9;1261;140.11111111111114
TJAM;G1;4782;3ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;152;6;900;150
TJAM;G1;4784;5ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;153;2;308;154
TJAM;G1;4785;6ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;122;1;122;122
TJAM;G1;4786;7ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;153;1;153;153
TJAM;G1;4787;8ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Grande;Acervo Grande;145;1;145;145
TJAM;G1;4788;9ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;132;2;291;145.5
TJAM;G1;4789;10ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;144;14;6931;495.0714285714286
TJAM;G1;4790;11ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;155;1;155;155
TJAM;G1;4791;12ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;143;4;567;141.75
TJAM;G1;4792;13ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;139;6;864;144
