codtribunal;grau;cod_orgao_julg;tipo_justica;descricao;uf;Porte_Municipio;Pop_est_2009;PIB_percapita;Classificacao_PIB_per_capita;Porte_Tribunal;Atuacao_Vara;Classificacao_Acervo_2;Median(numero_dias);Count*(npu);Sum(numero_dias);Mean(numero_dias)
TJAC;G1;3625;Estadual;ª VARA CRIMINAL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;914;137;133962;977.8248175182489
TJAC;G1;3626;Estadual;Vara de Delitos de Organizações Criminosas;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;663;120;116087;967.391666666667
TJAC;G1;3627;Estadual;ª VARA CRIMINAL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;1136;100;114157;1141.5700000000002
TJAC;G1;3628;Estadual;ª VARA CRIMINAL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;708;135;116428;862.4296296296295
TJAC;G1;3629;Estadual;VARA DE EXECUÇÕES PENAIS;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Médio;2520;9;19774;2197.111111111111
TJAC;G1;3632;Estadual;ª VARA DA FAZENDA PÚBLICA;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Fazenda;Acervo Grande;622;403;371490;921.8114143920585
TJAC;G1;3633;Estadual;ª VARA DA FAZENDA PÚBLICA;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Fazenda;Acervo Grande;457;296;200199;676.3479729729733
TJAC;G1;3636;Estadual;VARA DE REGISTROS PÚBLICOS, Órfãos e Sucessões e de Cartas Precatórias Cíveis;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;206;88;23922;271.840909090909
TJAC;G1;3638;Estadual;ª VARA DO TRIBUNAL DO JÚRI;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;813;44;43100;979.5454545454545
TJAC;G1;3639;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;2443;1;2443;2443
TJAC;G1;6379;Estadual;VARA DE PROTEÇÃO A MULHER;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;1065;63;71658;1137.4285714285709
TJAC;G1;74300;Estadual;VARA DE PROTEÇÃO À MULHER E EXECUÇÕES PENAIS;AC;Medio_Porte;77004;8887.19042969;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;128;2;292;146
TJAC;G1;74302;Estadual;VARA ÚNICA;AC;Pequeno_Porte;14682;10920.91015625;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;130;1;130;130
TJAC;G1;8148;Estadual;VARA ÚNICA;AC;Pequeno_Porte;14774;6991.66015625;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;1890;7;8808;1258.2857142857142
TJAC;G1;8149;Estadual;VARA ÚNICA;AC;Pequeno_Porte;12241;12345.40039062;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;1193;54;59071;1093.9074074074072
TJAC;G1;8150;Estadual;VARA ÚNICA;AC;Pequeno_Porte;6772;13099.24023438;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;195;10;9420;942
TJAC;G1;8151;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9287;9588.95996094;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;643;45;38769;861.5333333333328
TJAC;G1;8152;Estadual;VARA ÚNICA;AC;Pequeno_Porte;7505;8191.70019531;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;2042;6;11993;1998.8333333333337
TJAC;G1;8153;Estadual;VARA CÍVEL;AC;Medio_Porte;32261;7418.14990234;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;1901;52;99130;1906.3461538461527
TJAC;G1;8154;Estadual;VARA CRIMINAL;AC;Medio_Porte;32261;7418.14990234;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;1941;12;24701;2058.4166666666665
TJAC;G1;8155;Estadual;VARA CÍVEL;AC;Medio_Porte;33883;7629.33984375;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;2066;27;53355;1976.111111111111
TJAC;G1;8156;Estadual;VARA CRIMINAL;AC;Medio_Porte;33883;7629.33984375;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;190;10;11948;1194.8000000000002
TJAC;G1;81694;Estadual; 2ª Vara Criminal;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;1204;41;49061;1196.6097560975616
TJAC;G2;33548;Estadual;CÂMARA CRIMINAL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;232;206;98542;478.3592233009711
TJAC;G2;33549;Estadual;ª CÂMARA CÍVEL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;322;127;65657;516.9842519685043
TJAC;G2;33550;Estadual;ª CÂMARA CÍVEL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;147;17;2554;150.23529411764707
TJAC;G2;33563;Estadual;TRIBUNAL PLENO JURISDICIONAL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;406;28;12755;455.5357142857141
TJAC;G2;74296;Estadual;Gabinete da Vice-Presidência;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;142;5;743;148.6
TJAC;JE;11674;Estadual;VARA CÍVEL;AC;Pequeno_Porte;20238;9634.33984375;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;230;131;37596;286.9923664122135
TJAC;JE;16426;Estadual;ª VARA DO TRIBUNAL DO JÚRI E AUDITORIA MILITAR;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Médio;120;1;120;120
TJAC;JE;17049;Estadual;VARA ÚNICA;AC;Pequeno_Porte;14224;9114.25;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;179;87;22668;260.55172413793093
TJAC;JE;17050;Estadual;VARA ÚNICA;AC;Pequeno_Porte;18235;11209.79003906;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;234;52;19877;382.24999999999994
TJAC;JE;17053;Estadual;JUIZADO ESPECIAL DA FAZENDA PÚBLICA;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Juizados civeis;Acervo Grande;132;50;7073;141.45999999999987
TJAC;JE;17054;Estadual;VARA ÚNICA;AC;Pequeno_Porte;15079;9965.00976562;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;228;112;42461;379.1160714285712
TJAC;JE;3588;Estadual;VARA CRIMINAL;AC;Pequeno_Porte;20238;9634.33984375;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;181;24;6155;256.4583333333333
TJAC;JE;3604;Estadual;VARA CÍVEL;AC;Pequeno_Porte;19697;11024.71972656;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;276;72;37330;518.4722222222223
TJAC;JE;3605;Estadual;VARA CRIMINAL;AC;Pequeno_Porte;19697;11024.71972656;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;616;43;34526;802.9302325581396
TJAC;JE;3608;Estadual;VARA CÍVEL;AC;Medio_Porte;36166;10273.62988281;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;366;241;112137;465.2987551867222
TJAC;JE;3609;Estadual;VARA CRIMINAL;AC;Medio_Porte;36166;10273.62988281;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;398;47;23416;498.2127659574467
TJAC;JE;3614;Estadual;ª VARA CRIMINAL;AC;Medio_Porte;77004;8887.19042969;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;423;49;31478;642.408163265306
TJAC;JE;3616;Estadual;JUIZADO ESPECIAL CÍVEL E DE FAZENDA PÚBLICA;AC;Medio_Porte;77004;8887.19042969;Municipio com médio PIB per capita;PEQUENO;Fazenda;Acervo Grande;896;45;29826;662.7999999999998
TJAC;JE;3639;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;255;1093;405395;370.901189387007
TJAC;JE;3641;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;296;1413;532130;376.59589525831524
TJAC;JE;3642;Estadual;º JUIZADO ESPECIAL CÍVEL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;308;1327;576376;434.3451394122072
TJAC;JE;3644;Estadual;º JUIZADO ESPECIAL CRIMINAL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;231;172;55654;323.56976744186073
TJAC;JE;3645;Estadual;º JUIZADO ESPECIAL CRIMINAL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;206;260;94847;364.796153846154
TJAC;JE;74302;Estadual;VARA ÚNICA;AC;Pequeno_Porte;14682;10920.91015625;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;149;1;149;149
TJAC;JE;8148;Estadual;VARA ÚNICA;AC;Pequeno_Porte;14774;6991.66015625;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;593;77;55301;718.1948051948051
TJAC;JE;8149;Estadual;VARA ÚNICA;AC;Pequeno_Porte;12241;12345.40039062;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;286;42;17380;413.8095238095237
TJAC;JE;8150;Estadual;VARA ÚNICA;AC;Pequeno_Porte;6772;13099.24023438;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;298;189;78787;416.862433862434
TJAC;JE;8151;Estadual;VARA ÚNICA;AC;Pequeno_Porte;9287;9588.95996094;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;440;69;32997;478.21739130434776
TJAC;JE;8152;Estadual;VARA ÚNICA;AC;Pequeno_Porte;7505;8191.70019531;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;379;121;59241;489.5950413223143
TJAC;JE;8153;Estadual;VARA CÍVEL;AC;Medio_Porte;32261;7418.14990234;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;192;245;67983;277.4816326530614
TJAC;JE;8154;Estadual;VARA CRIMINAL;AC;Medio_Porte;32261;7418.14990234;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;251;57;23940;419.9999999999999
TJAC;JE;8155;Estadual;VARA CÍVEL;AC;Medio_Porte;33883;7629.33984375;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;336;205;88135;429.92682926829235
TJAC;JE;8156;Estadual;VARA CRIMINAL;AC;Medio_Porte;33883;7629.33984375;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;476;50;35990;719.8
TJAC;TR;33567;Estadual;ª TURMA RECURSAL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;145;30;10346;344.8666666666665
TJAC;TR;33572;Estadual;ª TURMA RECURSAL;AC;Grande_Porte;305954;12542.30957031;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;177;36;6995;194.30555555555554
TJAL;G1;5756;Estadual;VARA DO ÚNICO OFÍCIO DE CAMPO ALEGRE;AL;Medio_Porte;47209;3862.84008789;Municipio com baixo PIB per capita;PEQUENO;Geral;Acervo Grande;126;5;621;124.2
TJAL;G1;5789;Estadual;VARA DO ÚNICO OFÍCIO DE COLÔNIA LEOPOLDINA;AL;Pequeno_Porte;20181;5281.18017578;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Médio;116;1;116;116
TJAL;G1;5794;Estadual;VARA DO ÚNICO OFÍCIO DE FEIRA GRANDE;AL;Pequeno_Porte;21824;3070.32006836;Municipio com baixo PIB per capita;PEQUENO;Geral;Acervo Médio;120;1;120;120
TJAL;G1;5862;Estadual;VARA DO ÚNICO OFÍCIO DE JOAQUIM GOMES;AL;Pequeno_Porte;22436;2988.67993164;Municipio com baixo PIB per capita;PEQUENO;Geral;Acervo Grande;146;4;580;145
TJAL;G1;5872;Estadual;VARA DO ÚNICO OFÍCIO DE MATRIZ DE CAMARAGIBE;AL;Pequeno_Porte;25493;4005.42993164;Municipio com baixo PIB per capita;PEQUENO;Geral;Acervo Médio;116;1;116;116
TJAL;G1;5904;Estadual;VARA DO ÚNICO OFÍCIO DO SÃO SEBASTIÃO;AL;Medio_Porte;32181;3822.81005859;Municipio com baixo PIB per capita;PEQUENO;Geral;Acervo Médio;122;6;736;122.66666666666667
TJAL;G1;5907;Estadual;VARA DO ÚNICO OFÍCIO DE TAQUARANA;AL;Pequeno_Porte;18848;3580.76000977;Municipio com baixo PIB per capita;PEQUENO;Geral;Acervo Médio;129;1;129;129
TJAL;G1;6201;Estadual;ª VARA CÍVEL E CRIMINAL/INF. E JUVENTUDE DE MARECHAL DEODORO;AL;Medio_Porte;47623;13028.95019531;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Médio;133;8;1097;137.125
TJAL;G1;6203;Estadual;VARA DO ÚNICO OFÍCIO DE PILAR;AL;Medio_Porte;32655;5332.68994141;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Médio;146;1;146;146
TJAL;G1;6246;Estadual;VARA DO ÚNICO OFÍCIO DE SÃO JOSÉ DA LAJE;AL;Pequeno_Porte;23112;6393.02001953;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Grande;142;4;565;141.25
TJAL;G1;6330;Estadual;ª VARA DE ARAPIRACA / CÍVEL RESIDUAL;AL;Grande_Porte;210521;7880.33984375;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Médio;135;1;135;135
TJAL;G1;6360;Estadual;ª VARA DE ARAPIRACA / CRIMINAL;AL;Grande_Porte;210521;7880.33984375;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Médio;151;4;604;151
TJAL;G1;6368;Estadual;ª VARA DE ARAPIRACA / FAMÍLIA E SUCESSÕES;AL;Grande_Porte;210521;7880.33984375;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Grande;134;7;940;134.28571428571428
TJAL;G1;6504;Estadual;VARA DO ÚNICO OFÍCIO DE ANADIA;AL;Pequeno_Porte;17740;4068.25;Municipio com baixo PIB per capita;PEQUENO;Geral;Acervo Médio;132;12;1669;139.08333333333331
TJAL;G1;6550;Estadual;VARA DO ÚNICO OFÍCIO DE PARIPUEIRA;AL;Pequeno_Porte;10222;4321.06005859;Municipio com baixo PIB per capita;PEQUENO;Geral;Acervo Médio;139;3;402;134
TJAL;G1;6572;Estadual;VARA DO ÚNICO OFÍCIO DE SANTA LUZIA DO NORTE;AL;Pequeno_Porte;7572;7058.52001953;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Médio;153;1;153;153
TJAL;G1;6592;Estadual;VARA DE ÚNICO OFÍCIO DO MARAGOGI;AL;Medio_Porte;26978;4266.33984375;Municipio com baixo PIB per capita;PEQUENO;Geral;Acervo Grande;2455;3;5036;1678.6666666666665
TJAL;G1;6696;Estadual;ª VARA CÍVEL DA CAPITAL;AL;Grande_Porte;936314;10962.37011719;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;132;3;382;127.33333333333333
TJAL;G1;6704;Estadual;ª VARA CÍVEL DA CAPITAL;AL;Grande_Porte;936314;10962.37011719;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;134;1;134;134
TJAL;G1;6710;Estadual;ª VARA CÍVEL DA CAPITAL;AL;Grande_Porte;936314;10962.37011719;Municipio com médio PIB per capita;PEQUENO;Civel Pura;Acervo Grande;126;1;126;126
TJAL;G1;8180;Estadual;ª VARA CRIMINAL DA CAPITAL;AL;Grande_Porte;936314;10962.37011719;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Médio;146;5;720;144
TJAL;G1;8191;Estadual;ª VARA CRIMINAL DA CAPITAL;AL;Grande_Porte;936314;10962.37011719;Municipio com médio PIB per capita;PEQUENO;Criminal Pura;Acervo Médio;128;8;1048;131
TJAM;G1;4780;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;120;22;2764;125.63636363636365
TJAM;G1;4781;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;133;9;1261;140.11111111111114
TJAM;G1;4782;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;152;6;900;150
TJAM;G1;4784;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;153;2;308;154
TJAM;G1;4785;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;122;1;122;122
TJAM;G1;4786;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;153;1;153;153
TJAM;G1;4787;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;145;1;145;145
TJAM;G1;4788;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;132;2;291;145.5
TJAM;G1;4789;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;144;14;6931;495.0714285714286
TJAM;G1;4790;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;155;1;155;155
TJAM;G1;4791;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;143;4;567;141.75
TJAM;G1;4792;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;139;6;864;144
TJAM;G1;4793;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;132;33;4268;129.33333333333334
TJAM;G1;4794;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;137;12;1649;137.41666666666666
TJAM;G1;4795;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;141;1;141;141
TJAM;G1;4796;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;151;9;1305;144.99999999999997
TJAM;G1;4797;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;135;2;287;143.5
TJAM;G1;4798;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;139;4;563;140.75
TJAM;G1;4799;Estadual;ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;AM;Grande_Porte;1738641;23286.06054688;Municipio com alto PIB per capita;PEQUENO;Civel Pura;Acervo Grande;145;4;558;139.5
TJAM;G1;5052;Estadual;VARA DA COMARCA DE AUTAZES;AM;Medio_Porte;31774;4288.72021484;Municipio com baixo PIB per capita;PEQUENO;Geral;Acervo Médio;125;1;125;125
TJAM;G1;5073;Estadual;VARA DA COMARCA DE COARI;AM;Medio_Porte;66991;16470.11914062;Municipio com alto PIB per capita;PEQUENO;Geral;Acervo Médio;123;1;123;123
TJAM;G1;5075;Estadual;ª VARA DA COMARCA DE TEFÉ;AM;Medio_Porte;64671;4539.33984375;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Médio;115;2;231;115.5
TJAM;G1;5076;Estadual;ª VARA DA COMARCA DE TEFÉ;AM;Medio_Porte;64671;4539.33984375;Municipio com médio PIB per capita;PEQUENO;Geral;Acervo Médio;132;1;132;132
TJAM;G1;5079;Estadual;ª VARA DA COMARCA DE TABATINGA;AM;Medio_Porte;47948;4226.68017578;Municipio com baixo PIB per capita;PEQUENO;Geral;Acervo Médio;1970;9;16813;1868.1111111111106
TJAM;G1;5084;Estadual;VARA DA COMARCA DE SANTO ANTÔNIO DO IÇÁ;AM;Pequeno_Porte;30351;3097.5300293;Municipio com baixo PIB per capita;PEQUENO;Criminal Pura;Acervo Médio;139;1;139;139
TJAM;G1;5091;Estadual;ª VARA DA COMARCA DE PARINTINS;AM;Grande_Porte;107250;4293.91015625;Municipio com baixo PIB per capita;PEQUENO;Geral;Acervo Médio;1851;16;30176;1886
