codtribunal;grau;cod_orgao_julg;desc_orgao_julg;tipo_justica;uf;tipo_processo_classificacao_2;Porte;atuacao_class_2;Classificacao_Arcevo_1;Classificacao_Acervo_2;Median(numero_dias);Count*(npu)
TJAC;G1;3632;1ª Vara da Fazenda Pública;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;622;403
TJAC;G1;3633;2ª Vara da Fazenda Pública;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;457;296
TJAC;G1;3635;Vara de Ófãoe e Sucessões;Estadual;AC;Cível;PEQUENO;Cível;Acervo Médio;Acervo Médio;518;53
TJAC;G1;3636;Vara de Registros Públicos, Órfãos e Sucessões e de Cartas Precatórias Cíveis;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;206;88
TJAC;G1;3638;1ª Vara do Tribunal do Juri;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;813;44
TJAC;G1;6379;Vara de Proteção à Mulher;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1065;63
TJAC;G1;8149;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1031;37
TJAC;G1;8151;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;673;35
TJAC;G1;8153;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1901;52
TJAC;G1;8155;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;2066;27
TJAC;G1;81694;2ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1204;41
TJAC;G2;33548;CÂMARA CRIMINAL;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;232;206
TJAC;G2;33549;1ª CÂMARA CÍVEL;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;322;127
TJAC;G2;33563;TRIBUNAL PLENO JURISDICIONAL;Estadual;AC;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;394;21
TJAC;JE;11674;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;230;131
TJAC;JE;17049;Vara Única;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;224;23
TJAC;JE;17049;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;168;64
TJAC;JE;17050;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;227;27
TJAC;JE;17053;Juizado Especial da Fazenda Pública;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;132;50
TJAC;JE;17054;Vara Única;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;261;56
TJAC;JE;17054;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;184;52
TJAC;JE;3588;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;181;24
TJAC;JE;3604;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;276;71
TJAC;JE;3605;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;616;43
TJAC;JE;3608;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;366;241
TJAC;JE;3609;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;398;47
TJAC;JE;3614;1ª Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;423;49
TJAC;JE;3616;Juizado Especial Civel e de Fazenda Pública;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;190;36
TJAC;JE;3639;1º Juizado Especial Civel;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;265;975
TJAC;JE;3639;1º Juizado Especial Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;232;118
TJAC;JE;3641;2º Juizado Especial Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;296;1413
TJAC;JE;3642;3º Juizado Especial Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;308;1327
TJAC;JE;3644;1º Juizado Especial Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;231;172
TJAC;JE;3645;2º Juizado Especial Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;206;260
TJAC;JE;8148;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;880;24
TJAC;JE;8148;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;480;53
TJAC;JE;8149;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;241;29
TJAC;JE;8150;Vara Única;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;297;170
TJAC;JE;8151;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;327;49
TJAC;JE;8152;Vara Unica;Estadual;AC;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;399;60
TJAC;JE;8152;Vara Unica;Estadual;AC;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;366;61
TJAC;JE;8153;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;192;245
TJAC;JE;8154;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;251;57
TJAC;JE;8155;Vara Cível;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;324;201
TJAC;JE;8156;Vara Criminal;Estadual;AC;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;476;50
TJAC;TR;33567;1ª TURMA RECURSAL;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;145;30
TJAC;TR;33572;2ª TURMA RECURSAL;Estadual;AC;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;177;36
TJAM;G1;4780;1ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Grande;Acervo Grande;120;22
TJAM;G1;4793;14ª VARA CÍVEL E DE ACIDENTES DE TRABALHO;Estadual;AM;Cível;PEQUENO;Cível;Acervo Grande;Acervo Grande;132;33
TJAM;G1;74447;CENTRAL DE PRECATÓRIAS;Estadual;AM;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;135;42
TJAM;G1;74447;CENTRAL DE PRECATÓRIAS;Estadual;AM;Cível;PEQUENO;Mista;Acervo Médio;Acervo Médio;156;40
TJAM;G1;76533;Central de Inquéritos Policiais da Comarca de Manaus;Estadual;AM;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;142;23
TJAM;JE;13092;JUIZADO ESPECIAL CIVEL E CRIMINAL DE MANACAPURU;Estadual;AM;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1791;77
TJAM;JE;13092;JUIZADO ESPECIAL CIVEL E CRIMINAL DE MANACAPURU;Estadual;AM;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;2017;79
TJAM;JE;4908;8º VARA DO JUIZADO ESPECIAL CÍVEL;Estadual;AM;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;152;44
TJAM;JE;5060;VARA DO JUIZADO ESPECIAL CÍVEL E CRIMINAL DE PARINTINS;Estadual;AM;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1860;36
TJAM;JE;5065;VARA DO JUIZADO ESPECIAL CÍVEL E CRIMINAL DE COARI;Estadual;AM;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;1860;33
TJAM;JE;5079;1ª VARA DA COMARCA DE TABATINGA;Estadual;AM;Criminal;PEQUENO;Mista;Acervo Médio;Acervo Médio;2335;31
TJAP;G1;13396;5ª VARA CRIMINAL DE MACAPÁ;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1827;103
TJAP;G1;13605;4ª VARA CRIMINAL DE MACAPÁ;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1469;259
TJAP;G1;13697;JUIZADO DE VIOLÊNCIA DOMÉSTICA - MCP;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1513;27
TJAP;G1;13703;2ª VARA DA COMARCA DE OIAPOQUE;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1555;121
TJAP;G1;13716;3ª VARA CÍVEL DE SANTANA;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1540;190
TJAP;G1;13718;6ª VARA CÍVEL E DE FAZENDA PÚBLICA DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1847;620
TJAP;G1;13719;4ª VARA DE FAMÍLIA, ORFÃOS E SUCESSÕES DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Médio;Acervo Médio;1565;24
TJAP;G1;16409;VARA ÚNICA DE PEDRA BRANCA DO AMAPARI;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1674;52
TJAP;G1;16409;VARA ÚNICA DE PEDRA BRANCA DO AMAPARI;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1834;96
TJAP;G1;43864;2ª VARA DO TRIBUNAL DO JÚRI DE MACAPÁ;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Pequeno;Acervo Pequeno;1354;30
TJAP;G1;6147;VARA ÚNICA DE AMAPÁ;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1510;48
TJAP;G1;6147;VARA ÚNICA DE AMAPÁ;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1980;60
TJAP;G1;6151;VARA ÚNICA DE CALÇOENE;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Grande;Acervo Grande;1594;46
TJAP;G1;6151;VARA ÚNICA DE CALÇOENE;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1637;74
TJAP;G1;6155;VARA ÚNICA DE FERREIRA GOMES;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1465;70
TJAP;G1;6155;VARA ÚNICA DE FERREIRA GOMES;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1811;73
TJAP;G1;6157;1ª VARA DE LARANJAL DO JARI;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Grande;Acervo Grande;1507;37
TJAP;G1;6157;1ª VARA DE LARANJAL DO JARI;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1612;34
TJAP;G1;6160;2ª VARA DE LARANJAL DO JARI;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Grande;Acervo Grande;1561;36
TJAP;G1;6160;2ª VARA DE LARANJAL DO JARI;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1666;37
TJAP;G1;6162;1ª VARA CÍVEL E DE FAZENDA PÚBLICA DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1262;1329
TJAP;G1;6164;2ª VARA CÍVEL E DE FAZENDA PÚBLICA DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1848;785
TJAP;G1;6165;3ª VARA CÍVEL E DE FAZENDA PÚBLICA DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1854;675
TJAP;G1;6166;4ª VARA CÍVEL E DE FAZENDA PÚBLICA DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1823;522
TJAP;G1;6167;5ª VARA CÍVEL E DE FAZENDA PÚBLICA DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1823;826
TJAP;G1;6171;1ª VARA CRIMINAL DE MACAPÁ;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1355;229
TJAP;G1;6172;2ª VARA CRIMINAL DE MACAPÁ;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1609;445
TJAP;G1;6177;1ª VARA DE FAMÍLIA, ÓRFÃOS E SUCESSÕES DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Médio;Acervo Médio;1651;25
TJAP;G1;6396;3ª VARA DE FAMÍLIA, ÓRFÃOS E SUCESSÕES DE MACAPÁ;Estadual;AP;Cível;PEQUENO;Cível;Acervo Médio;Acervo Médio;1487;22
TJAP;G1;6398;1ª VARA DO TRIBUNAL DO JÚRI DE MACAPÁ;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;1807;83
TJAP;G1;6399;EXECUÇÃO PENAL;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;2111;73
TJAP;G1;6404;VARA UNICA DE MAZAGAO;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1705;98
TJAP;G1;6404;VARA UNICA DE MAZAGAO;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1597;81
TJAP;G1;6406;1ª VARA DA COMARCA DE OIAPOQUE;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1525;114
TJAP;G1;6407;VARA ÚNICA DE PORTO GRANDE;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1626;147
TJAP;G1;6407;VARA ÚNICA DE PORTO GRANDE;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1685;83
TJAP;G1;6409;1ª VARA CÍVEL DE SANTANA;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1660;208
TJAP;G1;6410;2ª VARA CÍVEL DE SANTANA;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1499;257
TJAP;G1;6411;1ª VARA CRIMINAL DE SANTANA;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1627;262
TJAP;G1;6412;2ª VARA CRIMINAL DE SANTANA;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Grande;Acervo Grande;1638;136
TJAP;G1;6416;VARA ÚNICA DE TARTARUGALZINHO;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1256;22
TJAP;G1;6416;VARA ÚNICA DE TARTARUGALZINHO;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1605;52
TJAP;G1;6417;VARA ÚNICA DE VITÓRIA DO JARI;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Grande;Acervo Grande;1517;30
TJAP;G1;6417;VARA ÚNICA DE VITÓRIA DO JARI;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1613;94
TJAP;G1;75533;3ª VARA CRIMINAL E DE AUDITORIA MILITAR;Estadual;AP;Criminal;PEQUENO;Criminal;Acervo Inadministrável;Acervo Grande;1694;462
TJAP;G1;78603;3ª VARA DE LARANJAL DO JARI;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1782;75
TJAP;G2;43924;SECÇÃO ÚNICA;Estadual;AP;Criminal;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;121;32
TJAP;G2;43929;TRIBUNAL PLENO;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1636;52
TJAP;JE;11712;JUIZADO MICRO EMPRESA E EMPRESA DE PEQUENO PORTE;Estadual;AP;Cível;PEQUENO;Cível;Acervo Pequeno;Acervo Pequeno;1015;366
TJAP;JE;11714;VARA DO JUIZADO ESPECIAL CÍVEL, CRIMINAL E FAZENDA PÚBLICA;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;964;146
TJAP;JE;13703;2ª VARA DA COMARCA DE OIAPOQUE;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;864;23
TJAP;JE;16268;4ª VARA DO JUIZADO ESPECIAL CÍVEL - CENTRO-MICRO;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1414;154
TJAP;JE;16272;3ª VARA DO JUIZADO ESPECIAL CÍVEL - CENTRO;Estadual;AP;Cível;PEQUENO;Cível;Acervo Grande;Acervo Grande;1417;150
TJAP;JE;16273;2ª VARA DO JUIZADO ESPECIAL CÍVEL - CENTRO;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1039;223
TJAP;JE;16275;1º JUIZADO ESPECIAL DE FAZENDA PÚBLICA;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1092;1273
TJAP;JE;16276;1ª VARA DO JUIZADO ESPECIAL CÍVEL - CENTRO;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1080;168
TJAP;JE;43865;5ª VARA DO JUIZADO ESPECIAL CÍVEL - NORTE;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1323;1293
TJAP;JE;6147;VARA ÚNICA DE AMAPÁ;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1390;43
TJAP;JE;6151;VARA ÚNICA DE CALÇOENE;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1288;24
TJAP;JE;6155;VARA ÚNICA DE FERREIRA GOMES;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1241;56
TJAP;JE;6401;6ª VARA DO JUIZADO ESPECIAL CÍVEL - SUL;Estadual;AP;Cível;PEQUENO;Cível;Acervo Grande;Acervo Grande;1366;254
TJAP;JE;6402;7ª VARA DO JUIZADO ESPECIAL CÍVEL - UNIFAP;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1186;198
TJAP;JE;6404;VARA UNICA DE MAZAGAO;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1121;56
TJAP;JE;6407;VARA ÚNICA DE PORTO GRANDE;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;772;48
TJAP;JE;6414;JUIZADO ESPECIAL CIVEL E CRIMINAL;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1122;293
TJAP;JE;6416;VARA ÚNICA DE TARTARUGALZINHO;Estadual;AP;Cível;PEQUENO;Mista;Acervo Inadministrável;Acervo Grande;1090;30
TJAP;JE;6417;VARA ÚNICA DE VITÓRIA DO JARI;Estadual;AP;Cível;PEQUENO;Mista;Acervo Grande;Acervo Grande;1190;55
TJAP;JE;78853;2º JUIZADO ESPECIAL DE FAZENDA PÚBLICA;Estadual;AP;Cível;PEQUENO;Cível;Acervo Inadministrável;Acervo Grande;1531;102
TJBA;G2;49971;PRIMEIRA CÂMARA CRIMINAL 1ª TURMA;Estadual;BA;Criminal;MÉDIO;Criminal;Acervo Médio;Acervo Médio;119;50
TJBA;G2;49972;PRIMEIRA CÂMARA CRIMINAL 2ª TURMA;Estadual;BA;Criminal;MÉDIO;Criminal;Acervo Médio;Acervo Médio;118;24
TJBA;TR;49959;2ª TURMA RECURSAL;Estadual;BA;Cível;MÉDIO;Cível;Acervo Inadministrável;Acervo Grande;145;24
TJBA;TR;49964;4ª TURMA RECURSAL;Estadual;BA;Cível;MÉDIO;Cível;Acervo Inadministrável;Acervo Grande;145;33
TJCE;G1;14170;2ª VARA DA COMARCA DE MOMBAÇA;Estadual;CE;Criminal;MÉDIO;Mista;Acervo Inadministrável;Acervo Grande;2366;24
TJCE;G1;8393;VARA UNICA DA COMARCA DE PEDRA BRANCA;Estadual;CE;Criminal;MÉDIO;Mista;Acervo Médio;Acervo Médio;1984;40
TJCE;G1;8393;VARA UNICA DA COMARCA DE PEDRA BRANCA;Estadual;CE;Cível;MÉDIO;Mista;Acervo Médio;Acervo Médio;2013;25
TJCE;G1;8537;VARA UNICA DA COMARCA DE GUARACIABA DO NORTE;Estadual;CE;Cível;MÉDIO;Mista;Acervo Médio;Acervo Médio;2258;42
TJCE;G1;8566;2� VARA CIVEL DA COMARCA DE CAUCAIA;Estadual;CE;Cível;MÉDIO;Cível;Acervo Médio;Acervo Médio;181;22
TJCE;G1;8676;VARA UNICA DA COMARCA DE TAMBORIL;Estadual;CE;Cível;MÉDIO;Mista;Acervo Grande;Acervo Grande;1993;21
TJCE;G1;8727;2� VARA DA COMARCA DE TIANGUA;Estadual;CE;Criminal;MÉDIO;Mista;Acervo Médio;Acervo Médio;1953;21
TJCE;G1;8740;2� VARA DA COMARCA DE NOVA RUSSAS;Estadual;CE;Cível;MÉDIO;Mista;Acervo Médio;Acervo Médio;2024;24
TJCE;G2;50913;1ª CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2063;49
TJCE;G2;50913;1� CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2046;76
TJCE;G2;50914;2ª CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2059;74
TJCE;G2;50915;3ª CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2057;46
TJCE;G2;50915;3� CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2050;36
TJCE;G2;50916;4ª CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2215;63
TJCE;G2;50916;4� CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2213;73
TJCE;G2;50918;6ª CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2056;61
TJCE;G2;50918;6� CAMARA CIVEL;Estadual;CE;Cível;MÉDIO;Cível;Acervo Pequeno;Acervo Pequeno;2039;21
TJCE;G2;50921;1� CAMARA CRIMINAL;Estadual;CE;Criminal;MÉDIO;Criminal;Acervo Grande;Acervo Grande;166;60
TJCE;G2;50922;2� CAMARA CRIMINAL;Estadual;CE;Criminal;MÉDIO;Criminal;Acervo Grande;Acervo Grande;163;53
TJCE;G2;81560;3� CAMARA CRIMINAL;Estadual;CE;Criminal;MÉDIO;Criminal;Acervo Grande;Acervo Grande;166;33
TJCE;TR;50867;1ª TURMA RECURSAL - JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS;Estadual;CE;Cível;MÉDIO;Mista;Acervo Grande;Acervo Grande;2108;55
TJCE;TR;50867;1� TURMA RECURSAL - JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS;Estadual;CE;Cível;MÉDIO;Mista;Acervo Grande;Acervo Grande;2079;25
TJCE;TR;50868;2� TURMA RECURSAL - JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS;Estadual;CE;Cível;MÉDIO;Mista;Acervo Grande;Acervo Grande;2075;96
TJCE;TR;72208;3� TURMA RECURSAL - JUIZADO ESPECIAL DA FAZENDA PUBLICA;Estadual;CE;Cível;MÉDIO;Cível;Acervo Inadministrável;Acervo Grande;2084;46
TJDFT;G1;12923;VARA DE EXECU??ES DAS PENAS E MEDIDAS ALTERNATIVAS DO DF;Estadual;DF;Criminal;MÉDIO;Criminal;Acervo Inadministrável;Acervo Grande;2252;124
TJDFT;G1;43067;VARA DE EXECU??ES DAS PENAS EM REGIME ABERTO;Estadual;DF;Criminal;MÉDIO;Criminal;Acervo Inadministrável;Acervo Grande;2352;52
